x,y,theta
0.997169,-1.80634,6.41972
0.997491,-1.80834,6.41852
0.998616,-1.81267,6.41683
0.999295,-1.81686,6.41444
0.999384,-1.81885,6.41298
0.999493,-1.82087,6.41153
0.999817,-1.82301,6.4106
1.00016,-1.82517,6.40968
1.00053,-1.82738,6.40876
1.00089,-1.82951,6.40788
1.00129,-1.83169,6.40699
1.00123,-1.83367,6.40539
1.0012,-1.83566,6.4038
1.0014,-1.84006,6.40097
1.00093,-1.8419,6.39863
1.00009,-1.84357,6.39566
1.00024,-1.84823,6.39298
0.999756,-1.85023,6.3908
0.999403,-1.85223,6.38898
0.999083,-1.85431,6.38716
0.998781,-1.85641,6.38533
0.998982,-1.86141,6.38278
0.999457,-1.86666,6.38094
0.999479,-1.87176,6.37839
0.999173,-1.87399,6.37697
0.998884,-1.87624,6.37555
0.999149,-1.88165,6.37361
0.998878,-1.88393,6.37216
0.998626,-1.88622,6.37071
0.998892,-1.89178,6.36874
0.999393,-1.89757,6.36743
0.999428,-1.90009,6.36662
0.999749,-1.90278,6.36653
1.00086,-1.91211,6.36532
1.00112,-1.91479,6.36511
1.00139,-1.91748,6.3649
1.00167,-1.92017,6.36469
1.00229,-1.92623,6.36397
1.0032,-1.93252,6.36407
1.00335,-1.93526,6.36394
1.0035,-1.93785,6.36384
1.00368,-1.94059,6.36371
1.00387,-1.94318,6.36361
1.00429,-1.94925,6.36299
1.00448,-1.9519,6.36286
1.00438,-1.95439,6.36224
1.00431,-1.95696,6.3616
1.00424,-1.9594,6.36097
1.00462,-1.96557,6.36064
1.00449,-1.96808,6.3602
1.00438,-1.97066,6.35974
1.00418,-1.97304,6.35912
1.00399,-1.97552,6.35849
1.0039,-1.98159,6.35732
1.00379,-1.98756,6.35615
1.00365,-1.99363,6.35494
1.00348,-1.99974,6.3537
1.00329,-2.0059,6.35244
1.00315,-2.00848,6.35168
1.00302,-2.01106,6.3509
1.0028,-2.01732,6.3496
1.00268,-2.01992,6.3488
1.00265,-2.02259,6.34819
1.00219,-2.02502,6.34685
1.00189,-2.03141,6.34581
1.00175,-2.03408,6.34526
1.00142,-2.04053,6.34419
1.00106,-2.04702,6.34309
1.00109,-2.04985,6.34289
1.0007,-2.05244,6.34197
1.00004,-2.05887,6.34052
0.999582,-2.06145,6.33942
0.998944,-2.06809,6.33819
0.998282,-2.0706,6.33685
0.997646,-2.07304,6.3355
0.997027,-2.0756,6.33413
0.996419,-2.07817,6.33274
0.995828,-2.08076,6.33134
0.995256,-2.08337,6.32993
0.994702,-2.08601,6.32851
0.993719,-2.09273,6.32655
0.992706,-2.09952,6.32454
0.992173,-2.10224,6.32302
0.991657,-2.10499,6.32149
0.991153,-2.10777,6.31994
0.990668,-2.11057,6.31838
0.989702,-2.11769,6.31646
0.989295,-2.12059,6.31502
0.988905,-2.12353,6.31357
0.98791,-2.13082,6.31157
0.987628,-2.13389,6.31033
0.987361,-2.13699,6.30908
0.987333,-2.14029,6.30848
0.987318,-2.14361,6.30787
0.986745,-2.15151,6.30717
0.986883,-2.15498,6.30696
0.98703,-2.15846,6.30675
0.986391,-2.16642,6.30601
0.985698,-2.17441,6.30525
0.984959,-2.18243,6.30447
0.985085,-2.18599,6.30418
0.985223,-2.18957,6.30389
0.984496,-2.19784,6.30335
0.984338,-2.20117,6.3026
0.984168,-2.20461,6.30183
0.982991,-2.21262,6.30054
0.982023,-2.221,6.30004
0.982153,-2.22464,6.30005
0.982271,-2.22839,6.30006
0.982397,-2.23215,6.30006
0.982535,-2.23593,6.30006
0.981504,-2.2443,6.29954
0.980502,-2.25277,6.29926
0.979443,-2.26126,6.29897
0.979581,-2.26536,6.29916
0.979433,-2.26883,6.29867
0.979242,-2.2725,6.29815
0.979033,-2.27629,6.29762
0.977507,-2.28452,6.29659
0.977322,-2.28826,6.29605
0.977141,-2.29202,6.29551
0.975512,-2.30044,6.29444
0.975576,-2.30447,6.29464
0.975615,-2.30861,6.29483
0.974181,-2.31723,6.29453
0.974243,-2.32131,6.29473
0.974312,-2.32541,6.29493
0.972733,-2.33425,6.29461
0.972907,-2.33836,6.29506
0.973049,-2.34258,6.2955
0.97319,-2.3468,6.29595
0.973333,-2.35103,6.2964
0.971728,-2.35989,6.29636
0.970058,-2.36876,6.29633
0.970283,-2.37315,6.29716
0.97051,-2.37754,6.298
0.970738,-2.38194,6.29885
0.970585,-2.38604,6.299
0.968508,-2.39471,6.29864
0.968347,-2.39886,6.29879
0.968448,-2.40327,6.29978
0.966529,-2.4122,6.30028
0.966611,-2.41663,6.30129
0.966488,-2.4209,6.30191
0.96637,-2.42519,6.30255
0.966252,-2.42947,6.30321
0.966133,-2.43376,6.30387
0.963847,-2.44249,6.30405
0.963711,-2.4468,6.30475
0.963533,-2.4512,6.30545
0.961436,-2.46007,6.30652
0.961159,-2.46434,6.30737
0.958665,-2.47305,6.3081
0.956107,-2.48174,6.30886
0.953483,-2.49042,6.30964
0.953253,-2.49482,6.31095
0.953024,-2.49923,6.31228
0.952427,-2.50333,6.31291
0.951784,-2.50752,6.31354
0.948697,-2.51571,6.31372
0.945506,-2.52398,6.3139
0.944885,-2.52814,6.31461
0.944261,-2.53229,6.31534
0.94364,-2.53646,6.31609
0.943021,-2.54063,6.31686
0.942405,-2.54483,6.31766
0.941792,-2.54902,6.31848
0.941183,-2.55323,6.31933
0.940574,-2.55745,6.3202
0.939966,-2.56168,6.3211
0.939359,-2.56592,6.32202
0.938751,-2.57016,6.32298
0.938143,-2.57441,6.32396
0.937475,-2.57874,6.32496
0.936931,-2.58292,6.32605
0.933394,-2.59103,6.32667
0.932771,-2.59531,6.32782
0.931821,-2.5993,6.32834
0.927982,-2.60721,6.32884
0.926789,-2.61104,6.32914
0.925601,-2.6149,6.32946
0.92442,-2.61878,6.32981
0.923239,-2.62267,6.33019
0.921751,-2.6263,6.32995
0.920269,-2.62995,6.32972
0.915626,-2.63731,6.32903
0.914145,-2.64103,6.32885
0.909095,-2.64811,6.32747
0.907495,-2.65181,6.32741
0.905899,-2.65554,6.32739
0.904244,-2.65937,6.32737
0.899398,-2.6667,6.32689
0.89779,-2.67048,6.32692
0.896186,-2.67429,6.32698
0.894585,-2.67811,6.32706
0.892991,-2.68196,6.32717
0.888074,-2.68955,6.32721
0.886571,-2.69356,6.32778
0.885069,-2.69758,6.32838
0.879717,-2.70481,6.32779
0.87786,-2.70853,6.32773
0.875681,-2.71194,6.32697
0.873437,-2.71547,6.32623
0.871344,-2.71889,6.32554
