x,y,theta
1.0053,-1.83122,6.4314
1.00549,-1.83304,6.43025
1.00634,-1.83701,6.42859
1.00682,-1.84086,6.42637
1.00685,-1.84271,6.42505
1.0069,-1.84458,6.42374
1.00715,-1.84657,6.42291
1.00742,-1.84857,6.42208
1.00771,-1.85062,6.42127
1.008,-1.8526,6.42048
1.00833,-1.85463,6.4197
1.00823,-1.85646,6.41824
1.00815,-1.85831,6.41679
1.00817,-1.86234,6.41412
1.00767,-1.86403,6.41196
1.00686,-1.86558,6.40925
1.00686,-1.86986,6.40675
1.00637,-1.87172,6.40473
1.00601,-1.87358,6.40308
1.00568,-1.87551,6.40142
1.00537,-1.87747,6.39976
1.00543,-1.88206,6.39738
1.00571,-1.88689,6.3956
1.00562,-1.89159,6.39323
1.00531,-1.89367,6.39191
1.00501,-1.89577,6.3906
1.00514,-1.90075,6.38876
1.00486,-1.90288,6.38743
1.00461,-1.90503,6.3861
1.00475,-1.91016,6.38425
1.00508,-1.91549,6.38297
1.00507,-1.91784,6.3822
1.00531,-1.92034,6.38202
1.0061,-1.92891,6.38073
1.00627,-1.9314,6.38044
1.00646,-1.9339,6.38016
1.00665,-1.9364,6.37988
1.00709,-1.942,6.3791
1.00777,-1.94781,6.37904
1.00782,-1.95035,6.37878
1.00788,-1.95276,6.37855
1.00796,-1.9553,6.37831
1.00805,-1.95772,6.37808
1.00828,-1.96333,6.37734
1.00838,-1.96581,6.3771
1.00822,-1.96814,6.37641
1.00808,-1.97055,6.37572
1.00796,-1.97284,6.37504
1.00813,-1.97856,6.37449
1.00793,-1.98091,6.37393
1.00775,-1.98333,6.37335
1.00749,-1.98558,6.37262
1.00724,-1.98791,6.37188
1.00701,-1.99359,6.37061
1.00675,-1.99917,6.36933
1.00647,-2.00486,6.36803
1.00617,-2.01059,6.36671
1.00585,-2.01637,6.36537
1.00566,-2.01882,6.36452
1.00547,-2.02128,6.36368
1.00514,-2.02717,6.36231
1.00496,-2.02966,6.36144
1.00488,-2.0322,6.36077
1.0044,-2.03453,6.35942
1.00397,-2.04055,6.35826
1.00377,-2.0431,6.3576
1.00332,-2.04919,6.35642
1.00284,-2.05533,6.35522
1.0028,-2.05804,6.3549
1.00236,-2.06051,6.35389
1.00158,-2.0666,6.35235
1.00107,-2.06907,6.35116
1.00032,-2.07537,6.34983
0.999653,-2.0778,6.34847
0.999012,-2.08018,6.34712
0.998387,-2.08265,6.34574
0.997773,-2.08515,6.34436
0.997176,-2.08766,6.34297
0.996599,-2.0902,6.34157
0.996039,-2.09277,6.34017
0.995004,-2.09919,6.33822
0.993941,-2.10568,6.33625
0.993404,-2.10833,6.33476
0.992883,-2.11101,6.33327
0.992375,-2.11372,6.33177
0.991885,-2.11644,6.33026
0.990873,-2.12326,6.32838
0.990461,-2.12609,6.327
0.990066,-2.12895,6.32561
0.989029,-2.13594,6.32369
0.988739,-2.13893,6.32251
0.988463,-2.14195,6.32132
0.988392,-2.14515,6.3207
0.988333,-2.14837,6.32008
0.987673,-2.15591,6.31934
0.987756,-2.15927,6.31909
0.987848,-2.16265,6.31884
0.987125,-2.17026,6.31808
0.986352,-2.1779,6.3173
0.985534,-2.18558,6.3165
0.985609,-2.18903,6.31621
0.985694,-2.19249,6.31591
0.984888,-2.20041,6.31536
0.984681,-2.20363,6.31461
0.98446,-2.20697,6.31386
0.983215,-2.21463,6.31258
0.982123,-2.22261,6.31194
0.982148,-2.22611,6.31181
0.98216,-2.2297,6.31168
0.982181,-2.23331,6.31155
0.982214,-2.23694,6.31142
0.981069,-2.24495,6.31078
0.979953,-2.25304,6.31038
0.978782,-2.26116,6.30997
0.978816,-2.26511,6.31004
0.97861,-2.26847,6.30952
0.978361,-2.27204,6.30897
0.978093,-2.27571,6.30842
0.976508,-2.28361,6.30737
0.976265,-2.28724,6.30682
0.976027,-2.29089,6.30626
0.974341,-2.29898,6.30519
0.974301,-2.30286,6.30525
0.974236,-2.30684,6.3053
0.972703,-2.3151,6.30487
0.972662,-2.31903,6.30494
0.972628,-2.32298,6.30501
0.970955,-2.33146,6.30457
0.971026,-2.33543,6.30489
0.971064,-2.3395,6.30521
0.971102,-2.34357,6.30553
0.971142,-2.34766,6.30587
0.969448,-2.35617,6.30571
0.967691,-2.3647,6.30556
0.967809,-2.36894,6.30627
0.967929,-2.37319,6.30698
0.96805,-2.37744,6.30771
0.96783,-2.38143,6.30781
0.965704,-2.38979,6.30741
0.965476,-2.39382,6.30753
0.965455,-2.39806,6.30831
0.963436,-2.40665,6.3086
0.963396,-2.41091,6.30942
0.963165,-2.41503,6.30987
0.962938,-2.41916,6.31034
0.962712,-2.4233,6.31082
0.962485,-2.42744,6.31132
0.960119,-2.43585,6.31133
0.959877,-2.44002,6.31186
0.959593,-2.44428,6.3124
0.957379,-2.45281,6.31318
0.956983,-2.45692,6.31379
0.954398,-2.46532,6.31427
0.951751,-2.47372,6.31477
0.949042,-2.4821,6.3153
0.94869,-2.48635,6.31635
0.948341,-2.49061,6.31743
0.94763,-2.49457,6.31782
0.946875,-2.49862,6.31821
0.943715,-2.50655,6.31814
0.940455,-2.51458,6.31809
0.939723,-2.5186,6.31855
0.93899,-2.52263,6.31904
0.938259,-2.52667,6.31955
0.93753,-2.53072,6.32008
0.936806,-2.53479,6.32063
0.936085,-2.53887,6.32121
0.935368,-2.54296,6.32181
0.934653,-2.54707,6.32244
0.933937,-2.55118,6.3231
0.933224,-2.55531,6.32378
0.93251,-2.55944,6.32448
0.931797,-2.56359,6.32522
0.931025,-2.56781,6.32597
0.930376,-2.5719,6.32681
0.92679,-2.57986,6.32718
0.926064,-2.58404,6.32808
0.925064,-2.58799,6.32846
0.92122,-2.59581,6.32878
0.919969,-2.59959,6.32891
0.918724,-2.6034,6.32906
0.917484,-2.60723,6.32924
0.916246,-2.61107,6.32945
0.914746,-2.61469,6.32913
0.913254,-2.61834,6.32884
0.908658,-2.62568,6.32807
0.907164,-2.62939,6.32783
0.902218,-2.6365,6.3265
0.900621,-2.64021,6.32637
0.899029,-2.64395,6.32627
0.897377,-2.64778,6.32619
0.892592,-2.6551,6.32563
0.890985,-2.65889,6.32559
0.889383,-2.6627,6.32557
0.887782,-2.66653,6.32559
0.886188,-2.67038,6.32563
0.881323,-2.67796,6.32557
0.879812,-2.68197,6.32604
0.878302,-2.68599,6.32655
0.873026,-2.69324,6.32592
0.871185,-2.69698,6.32582
0.86908,-2.70048,6.32516
0.866909,-2.70408,6.32451
0.864886,-2.70757,6.32391
0.862799,-2.71116,6.32332
0.860721,-2.71479,6.32276
0.855211,-2.72216,6.32232
0.853276,-2.72602,6.32241
0.851342,-2.72989,6.32253
0.845742,-2.73725,6.3222
0.840085,-2.74461,6.3219
