x,y,theta
1.51035,-1.66425,6.59722
1.5104,-1.66542,6.59575
1.5112,-1.66803,6.59379
1.51158,-1.67059,6.59117
1.51148,-1.67181,6.58948
1.51142,-1.67304,6.58782
1.51161,-1.67438,6.5867
1.51185,-1.67573,6.5856
1.51213,-1.67712,6.58453
1.51243,-1.67847,6.5835
1.51279,-1.67986,6.58249
1.51249,-1.68107,6.58047
1.51223,-1.68232,6.57847
1.51198,-1.68513,6.57481
1.51105,-1.68624,6.57165
1.50974,-1.6873,6.56787
1.50967,-1.69047,6.56456
1.50889,-1.6918,6.56176
1.50829,-1.69315,6.55934
1.50774,-1.69457,6.55692
1.50724,-1.69601,6.55452
1.50743,-1.69961,6.55141
1.50797,-1.70343,6.54902
1.50807,-1.70719,6.54594
1.50769,-1.70881,6.544
1.50736,-1.71045,6.54208
1.50784,-1.71453,6.53965
1.50757,-1.71622,6.53773
1.50735,-1.71794,6.53582
1.50795,-1.72222,6.53341
1.50885,-1.72668,6.53168
1.50901,-1.72859,6.53046
1.5095,-1.73062,6.52998
1.51145,-1.73795,6.52839
1.51192,-1.74,6.52782
1.51243,-1.74206,6.52726
1.51297,-1.74413,6.52673
1.51423,-1.74894,6.5257
1.5159,-1.75395,6.52567
1.51621,-1.75606,6.52507
1.51654,-1.75806,6.52451
1.51693,-1.76018,6.52394
1.51732,-1.76219,6.52341
1.51837,-1.76709,6.52238
1.51881,-1.76917,6.52185
1.51898,-1.77116,6.52085
1.51918,-1.77323,6.51984
1.5194,-1.7752,6.51887
1.52056,-1.78029,6.51821
1.52077,-1.78234,6.51745
1.52102,-1.78446,6.51669
1.52117,-1.78644,6.51579
1.52138,-1.78851,6.5149
1.52217,-1.79366,6.51348
1.52294,-1.79875,6.51208
1.52373,-1.80394,6.51067
1.52451,-1.8092,6.50924
1.52531,-1.81451,6.50781
1.52569,-1.81672,6.50689
1.52609,-1.81894,6.50598
1.52694,-1.82438,6.50457
1.52739,-1.82663,6.50367
1.52795,-1.82893,6.50298
1.52792,-1.83105,6.50134
1.52869,-1.83665,6.50015
1.5291,-1.83897,6.49946
1.52989,-1.84466,6.49827
1.53068,-1.8504,6.49707
1.53134,-1.85286,6.4968
1.53133,-1.8551,6.49546
1.53164,-1.8608,6.4936
1.53159,-1.86307,6.4921
1.53201,-1.86901,6.4905
1.53179,-1.87127,6.48879
1.53161,-1.87349,6.4871
1.53147,-1.87581,6.4854
1.53137,-1.87815,6.4837
1.5313,-1.88053,6.48201
1.53127,-1.88293,6.48032
1.53127,-1.88536,6.47864
1.53151,-1.89158,6.47643
1.53175,-1.8979,6.4742
1.53184,-1.90044,6.47248
1.53196,-1.90301,6.47075
1.53212,-1.90561,6.46903
1.53231,-1.90824,6.46732
1.53273,-1.91494,6.46526
1.53305,-1.91767,6.4637
1.5334,-1.92043,6.46215
1.53388,-1.92733,6.46008
1.53439,-1.93022,6.45877
1.53494,-1.93315,6.45747
1.53577,-1.93622,6.45684
1.53663,-1.93932,6.45623
1.53771,-1.94676,6.45554
1.53878,-1.94998,6.45536
1.53987,-1.95322,6.45519
1.54094,-1.96075,6.45452
1.54197,-1.96832,6.45384
1.54297,-1.97595,6.45317
1.54412,-1.97929,6.453
1.54529,-1.98265,6.45286
1.5464,-1.99052,6.45248
1.54697,-1.9936,6.45142
1.54756,-1.9968,6.45037
1.54792,-2.00444,6.44881
1.54858,-2.0124,6.44806
1.54956,-2.01577,6.44784
1.55056,-2.01925,6.44763
1.55159,-2.02274,6.44744
1.55264,-2.02626,6.44726
1.55333,-2.03431,6.44658
1.55408,-2.04245,6.44615
1.5548,-2.05064,6.44573
1.55597,-2.0545,6.44581
1.55668,-2.0578,6.44508
1.5574,-2.06131,6.44435
1.55813,-2.06494,6.44362
1.55833,-2.07302,6.44241
1.55911,-2.07662,6.4417
1.55991,-2.08025,6.441
1.56009,-2.08858,6.4398
1.56121,-2.09243,6.43989
1.56234,-2.09641,6.43997
1.5628,-2.10492,6.4396
1.56397,-2.10885,6.43973
1.56516,-2.11281,6.43988
1.56556,-2.12159,6.43953
1.56689,-2.12556,6.43996
1.56822,-2.12963,6.44041
1.56956,-2.13373,6.44088
1.57092,-2.13783,6.44137
1.57137,-2.14667,6.44138
1.57177,-2.15555,6.44142
1.57328,-2.15981,6.44235
1.5748,-2.16409,6.4433
1.57634,-2.16837,6.44428
1.57737,-2.17242,6.44441
1.5773,-2.18117,6.44407
1.57836,-2.18528,6.44424
1.57974,-2.18959,6.44527
1.57992,-2.1986,6.44583
1.58131,-2.20294,6.44693
1.58248,-2.20719,6.44765
1.58368,-2.21145,6.44841
1.58488,-2.21573,6.44919
1.58609,-2.22,6.45001
1.58595,-2.22892,6.45037
1.58718,-2.23324,6.45126
1.58839,-2.23767,6.45218
1.58854,-2.24671,6.45357
1.58955,-2.25098,6.45454
1.58917,-2.25989,6.4554
1.58873,-2.26881,6.45631
1.58823,-2.27773,6.45728
1.58937,-2.28215,6.45878
1.59053,-2.28659,6.46033
1.59101,-2.29067,6.46073
1.59147,-2.29486,6.46115
1.59023,-2.30332,6.46113
1.58893,-2.31189,6.46114
1.58945,-2.31608,6.46169
1.58998,-2.32029,6.46228
1.59053,-2.32451,6.4629
1.5911,-2.32875,6.46357
1.5917,-2.33301,6.46428
1.5923,-2.33729,6.46503
1.59293,-2.34159,6.46582
1.59357,-2.3459,6.46665
1.59423,-2.35024,6.46753
1.59491,-2.35459,6.46846
1.59559,-2.35895,6.46943
1.5963,-2.36333,6.47045
1.59697,-2.36781,6.47151
1.59775,-2.37213,6.47267
1.59628,-2.38078,6.47338
1.59702,-2.38523,6.47465
1.59739,-2.38947,6.4753
1.59562,-2.39803,6.47596
1.59545,-2.40203,6.47591
1.59531,-2.40608,6.47589
1.59519,-2.41015,6.47592
1.59509,-2.41425,6.47599
1.59465,-2.41817,6.47546
1.59423,-2.42214,6.47497
1.59136,-2.43031,6.47402
1.59098,-2.43437,6.47362
1.58766,-2.44238,6.47198
1.58719,-2.44649,6.47179
1.58675,-2.45064,6.47164
1.58628,-2.45489,6.47152
1.58329,-2.4632,6.47095
1.58288,-2.46743,6.47092
1.58249,-2.47169,6.47093
1.58211,-2.47597,6.47099
1.58176,-2.4803,6.4711
1.57881,-2.48893,6.47116
1.5786,-2.4934,6.47177
1.57841,-2.4979,6.47243
1.57486,-2.50624,6.47169
1.57415,-2.51047,6.4715
1.57308,-2.5145,6.47064
1.57197,-2.51866,6.46982
1.571,-2.52269,6.46905
1.57,-2.52685,6.46832
1.56903,-2.53106,6.46764
1.56532,-2.53967,6.46721
1.56459,-2.54412,6.46733
1.56389,-2.54859,6.4675
1.56011,-2.55725,6.46724
1.55629,-2.56593,6.46706
1.55558,-2.57049,6.46742
1.55488,-2.57508,6.46785
1.5542,-2.57969,6.46832
1.5506,-2.58865,6.46934
1.55022,-2.59353,6.47091
1.55001,-2.59853,6.47304
1.54981,-2.60354,6.47524
1.54961,-2.60855,6.47751
1.54927,-2.61347,6.47958
1.54886,-2.61845,6.48172
1.54858,-2.62327,6.48395
1.54472,-2.63194,6.48578
1.54077,-2.64056,6.48772
