x,y,theta
-0.203505,-1.92141,6.15014
-0.203292,-1.92302,6.14965
-0.202875,-1.92631,6.14865
-0.202497,-1.92965,6.14765
-0.202293,-1.9314,6.14732
-0.202101,-1.93316,6.14699
-0.201896,-1.93496,6.14676
-0.201702,-1.93676,6.14653
-0.20151,-1.93861,6.14634
-0.201339,-1.94038,6.14615
-0.201176,-1.94219,6.14595
-0.201024,-1.944,6.14576
-0.200886,-1.94581,6.14555
-0.200675,-1.94936,6.14485
-0.200569,-1.95116,6.14464
-0.200474,-1.95297,6.14443
-0.200344,-1.95655,6.14373
-0.200283,-1.95841,6.1435
-0.200197,-1.96028,6.1435
-0.200127,-1.96217,6.14347
-0.20007,-1.96405,6.14344
-0.200097,-1.96762,6.14276
-0.200163,-1.97121,6.14208
-0.200269,-1.97482,6.14139
-0.200338,-1.97664,6.14122
-0.200423,-1.97846,6.14105
-0.200615,-1.9821,6.14037
-0.200739,-1.9839,6.14017
-0.200877,-1.9857,6.13997
-0.201159,-1.98934,6.13927
-0.20148,-1.99301,6.13855
-0.201672,-1.99482,6.13834
-0.201873,-1.99663,6.13812
-0.202504,-2.00214,6.13679
-0.20279,-2.0039,6.13645
-0.203091,-2.00567,6.1361
-0.203404,-2.00742,6.13574
-0.203982,-2.01109,6.13487
-0.204601,-2.01479,6.13399
-0.204971,-2.0166,6.1336
-0.20534,-2.01833,6.13321
-0.205735,-2.02015,6.1328
-0.206129,-2.02187,6.1324
-0.206879,-2.0256,6.13147
-0.207315,-2.02735,6.13103
-0.207767,-2.02909,6.13056
-0.208238,-2.03087,6.13008
-0.208711,-2.03256,6.1296
-0.209596,-2.03631,6.1286
-0.210103,-2.03806,6.12809
-0.210629,-2.03986,6.12757
-0.211199,-2.0415,6.12692
-0.211794,-2.04319,6.12624
-0.212868,-2.047,6.12504
-0.213966,-2.05074,6.12383
-0.215117,-2.05455,6.12259
-0.21631,-2.05839,6.12133
-0.217548,-2.06226,6.12005
-0.218255,-2.06401,6.11926
-0.218976,-2.06576,6.11846
-0.220307,-2.06968,6.11714
-0.221066,-2.07142,6.11629
-0.221804,-2.07322,6.11561
-0.222551,-2.07504,6.11492
-0.223963,-2.0791,6.11371
-0.224745,-2.08093,6.11298
-0.226233,-2.08503,6.11173
-0.227769,-2.08915,6.11046
-0.228579,-2.09107,6.10985
