x,y,theta
-0.0949387,-1.99262,6.19315
-0.0949824,-1.99391,6.19266
-0.0950838,-1.99658,6.19167
-0.0952184,-1.99928,6.19066
-0.0952883,-2.00068,6.19023
-0.0953655,-2.00208,6.18979
-0.0954424,-2.0035,6.18939
-0.0955251,-2.00493,6.18899
-0.0956103,-2.00641,6.18862
-0.0957017,-2.00783,6.18828
-0.0958028,-2.00929,6.18792
-0.095913,-2.01076,6.18755
-0.0960339,-2.01223,6.18719
-0.0963166,-2.01514,6.18633
-0.0964628,-2.01661,6.18596
-0.0966206,-2.01809,6.18558
-0.0969708,-2.02104,6.18471
-0.0971591,-2.02257,6.18433
-0.0973293,-2.02408,6.18406
-0.0975153,-2.02563,6.18378
-0.0977123,-2.02717,6.1835
-0.0981963,-2.03014,6.1826
-0.0987105,-2.03315,6.18172
-0.0992609,-2.03619,6.18082
-0.0995554,-2.03772,6.18045
-0.0998628,-2.03925,6.18007
-0.100483,-2.04233,6.17919
-0.100821,-2.04386,6.17881
-0.10117,-2.04539,6.17842
-0.101864,-2.04852,6.17753
-0.102589,-2.05167,6.17665
-0.102978,-2.05324,6.17626
-0.103372,-2.05482,6.17589
-0.104588,-2.05959,6.17442
-0.105061,-2.06113,6.17394
-0.105546,-2.06268,6.17345
-0.10604,-2.06423,6.17296
-0.106986,-2.06745,6.17196
-0.107967,-2.0707,6.17096
-0.108515,-2.07231,6.17045
-0.109051,-2.07386,6.16995
-0.109618,-2.07548,6.16942
-0.110175,-2.07704,6.16891
-0.111269,-2.08035,6.16788
-0.111866,-2.08193,6.16735
-0.112478,-2.08351,6.16679
-0.113112,-2.08512,6.16621
-0.113736,-2.08667,6.16565
-0.114949,-2.09004,6.16458
-0.115612,-2.09164,6.164
-0.116295,-2.09328,6.16341
-0.117009,-2.09479,6.16271
-0.117749,-2.09635,6.16199
-0.119137,-2.09979,6.16074
-0.120536,-2.10319,6.15951
-0.121985,-2.10664,6.15825
-0.12347,-2.11013,6.15699
-0.124995,-2.11366,6.15572
-0.125829,-2.1153,6.15495
-0.126675,-2.11694,6.15417
-0.128281,-2.12053,6.15288
-0.12916,-2.12217,6.15208
-0.130018,-2.12388,6.15142
-0.130885,-2.1256,6.15076
-0.132561,-2.12931,6.1496
-0.133459,-2.13104,6.14892
-0.135204,-2.1348,6.14773
-0.13699,-2.13857,6.14653
-0.137928,-2.14036,6.14589
-0.138876,-2.14216,6.14525
-0.140734,-2.14602,6.14408
-0.14176,-2.14775,6.1433
-0.143734,-2.15164,6.14206
-0.144781,-2.15342,6.14131
-0.145818,-2.15516,6.14056
-0.146882,-2.15695,6.13979
-0.147962,-2.15874,6.13902
-0.149053,-2.16053,6.13823
-0.150153,-2.16232,6.13743
-0.151263,-2.16412,6.13662
-0.153417,-2.16808,6.13529
-0.155619,-2.17207,6.13395
-0.156786,-2.17388,6.13309
-0.157963,-2.1757,6.13222
-0.159156,-2.17753,6.13134
-0.160359,-2.17936,6.13045
-0.162674,-2.1835,6.12919
-0.163883,-2.18542,6.12842
-0.165105,-2.18734,6.12764
-0.167513,-2.19153,6.12634
-0.168741,-2.19352,6.12568
-0.169982,-2.19552,6.12501
-0.17123,-2.19753,6.12435
-0.172491,-2.19954,6.12367
-0.175001,-2.2039,6.12255
-0.176285,-2.20594,6.12192
-0.177583,-2.20799,6.12127
-0.180195,-2.21237,6.12011
-0.182858,-2.21675,6.11894
-0.185572,-2.22115,6.11774
-0.186957,-2.22321,6.11705
-0.188353,-2.22526,6.11634
-0.191167,-2.22981,6.11525
-0.192546,-2.23189,6.11468
-0.19397,-2.234,6.11408
-0.196854,-2.23852,6.11297
-0.199816,-2.2431,6.11184
-0.201259,-2.24519,6.11123
-0.202742,-2.24733,6.1106
-0.204237,-2.24947,6.10997
-0.205746,-2.25162,6.10933
-0.208825,-2.25621,6.10817
-0.21193,-2.26087,6.10715
-0.215089,-2.26553,6.10611
-0.216725,-2.26785,6.10555
-0.218243,-2.26998,6.10503
-0.219843,-2.27221,6.10448
-0.22149,-2.27449,6.1039
-0.224747,-2.27918,6.10298
-0.226374,-2.28145,6.10254
-0.228012,-2.28373,6.10211
-0.231406,-2.28847,6.10116
-0.233079,-2.29075,6.10072
-0.234804,-2.29308,6.10026
-0.238269,-2.29777,6.09931
-0.239999,-2.30005,6.09884
-0.241739,-2.30233,6.09836
-0.245383,-2.30711,6.09735
-0.247104,-2.3094,6.09701
-0.248877,-2.31172,6.09665
-0.250668,-2.31404,6.09628
-0.252473,-2.31635,6.09591
-0.256222,-2.32112,6.09502
-0.260026,-2.32588,6.09412
-0.261884,-2.32822,6.09381
-0.263756,-2.33055,6.09348
-0.265639,-2.33287,6.09316
-0.267536,-2.33518,6.09282
-0.271481,-2.33994,6.09197
-0.273416,-2.34224,6.09162
-0.275362,-2.34455,6.09127
-0.27941,-2.3493,6.09041
-0.281395,-2.3516,6.09005
-0.283402,-2.35388,6.08965
-0.285424,-2.35616,6.08924
-0.287459,-2.35843,6.08882
-0.289506,-2.36068,6.0884
-0.293746,-2.36536,6.08746
-0.295826,-2.36762,6.08704
-0.297966,-2.36993,6.08661
-0.302262,-2.37456,6.0857
-0.304395,-2.37682,6.08526
-0.3088,-2.38152,6.08442
-0.313258,-2.38621,6.08357
-0.317768,-2.39088,6.0827
-0.319979,-2.39315,6.08234
-0.322204,-2.39542,6.08196
-0.324442,-2.39768,6.08158
-0.326737,-2.39998,6.08118
-0.331355,-2.40455,6.08029
-0.33607,-2.40916,6.0794
-0.33838,-2.4114,6.079
-0.340704,-2.41362,6.07859
-0.343041,-2.41583,6.07817
-0.345389,-2.41804,6.07776
-0.34775,-2.42026,6.07735
-0.350103,-2.42253,6.07708
-0.352468,-2.4248,6.0768
-0.354846,-2.42706,6.07652
-0.357239,-2.42931,6.07624
-0.359646,-2.43156,6.07594
-0.362068,-2.43379,6.07564
-0.3645,-2.43603,6.07535
-0.366997,-2.43829,6.07504
-0.369398,-2.44047,6.07477
-0.374498,-2.44497,6.07399
-0.376989,-2.44717,6.07371
-0.379494,-2.44936,6.07341
-0.384689,-2.45384,6.07266
-0.387224,-2.45603,6.07241
-0.389773,-2.45822,6.07216
-0.392335,-2.46041,6.07189
-0.39491,-2.46258,6.07163
-0.397498,-2.46474,6.07135
-0.400095,-2.4669,6.07108
-0.405487,-2.47127,6.07031
-0.408119,-2.47342,6.07006
-0.413584,-2.47776,6.0693
-0.416252,-2.4799,6.06905
-0.418934,-2.48203,6.06879
-0.421685,-2.48419,6.06852
-0.427215,-2.48839,6.06773
-0.429934,-2.49052,6.06755
-0.432666,-2.49264,6.06736
-0.435408,-2.49474,6.06717
-0.438165,-2.49685,6.06697
-0.443875,-2.50108,6.06635
