time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.odom_x,.odom_y,.odom_theta,.meas_rho,.meas_beta,.meas_theta,.delta_t,.gt_rho,.gt_beta,.gt_theta,.case0_x,.case0_y,.case0_t,rho,bearing,.case1_t,.case2_x,.case2_y,.case2_t,.case3_x,.case3_y,.case3_t,.case4_x,.case4_y,.case4_t,.case4_vj,.case4_wj
1970/01/01/09:00:04.824000,65,4,723000000,0,1.333568574,0.3588258282,0.01523872947,1.381000042,15.06000042,355.8508461,0.05,-0.088961,1.994141,6.21076891,-0.09416373074,-2.076323986,6.210724354,-0.2132946446,1.795852061,0.7031488419,-0.03440479934,-1.838265538,6.008424137,-0.1026235595,-2.080445051,6.124407176,-0.000162512064,-2.110604525,0.7695331205,0.05434211344,0.08354449272
1970/01/01/09:00:04.873000,66,4,773000000,0,1.317647256,0.403348196,0.01559180534,1.378000021,17.02000046,355.9916064,0.05,-0.103495,1.993721,6.213225641,-0.09233792871,-2.059169769,6.210936546,-0.2328742252,1.791944939,0.7554158568,-0.03851911426,-1.847864389,6.005813513,-0.1001025364,-2.063425779,6.130833853,-0.05713956058,-2.018388748,0.7748214681,0.07640941441,0.08577352762
1970/01/01/09:00:04.874000,67,4,873000000,0,1.334522298,0.3851900785,0.01573121766,1.389000058,16.10000038,355.7823235,0.1,-0.120625,1.993284,6.209572966,-0.07372210175,-2.075776815,6.209557056,-0.244651462,1.790829866,0.7108839154,-0.01032739878,-1.839086652,6.019641314,-0.08128573,-2.081274748,6.128767286,0.08510187268,-2.110488653,0.7801447223,0.05430281162,0.06870477647
1970/01/01/09:00:04.974000,68,4,973000000,0,1.319642189,0.4138037443,0.01622468684,1.383000016,17.40999985,355.6682011,0.1,-0.134535,1.99327,6.207581153,-0.0677081719,-2.087011576,6.208165646,-0.2521062862,1.784590291,0.6823911071,-0.006481106859,-1.845681906,6.021093074,-0.07514186203,-2.093370914,6.126293037,0.02147043683,-2.11084342,0.7863057346,0.048833251,0.07032479346
1970/01/01/09:00:05.074000,69,5,73000000,0,1.326806253,0.4498735723,0.01622064425,1.401000023,18.72999954,355.6107413,0.1,-0.151771,1.992844,6.206578291,-0.07257900387,-2.082389116,6.207282543,-0.2639932153,1.78187434,0.7183801532,-0.0230593998,-1.874107003,6.007976387,-0.07965146005,-2.088958502,6.129414518,-0.09378495067,-2.068339109,0.7940549965,0.05169631913,0.07625128329
1970/01/01/09:00:05.174000,70,5,123000000,0,1.331976108,0.4343278838,0.01584361034,1.401000023,18.05999947,355.6005541,0.05,-0.165503,1.992295,6.206400492,-0.06294608861,-2.081263065,6.206955433,-0.2811854463,1.785376337,0.7294402719,-0.01166731026,-1.867734432,6.014646743,-0.06940671057,-2.086521626,6.133059237,0.013189964,-2.078252077,0.8025372967,0.05879690498,0.07206691056
1970/01/01/09:00:05.224000,71,5,173000000,0,1.334973089,0.4150311518,0.01546174113,1.398000002,17.27000046,355.5840787,0.05,-0.180167,1.991434,6.206112941,-0.06695824862,-2.073448658,6.206485748,-0.2876027273,1.780854462,0.7596348524,-0.02569811232,-1.888130426,6.004863564,-0.0729566142,-2.078347921,6.136593256,-0.08354885131,-2.051292419,0.8127300195,0.05773150548,0.07602012157
1970/01/01/09:00:05.273000,72,5,223000000,0,1.323321338,0.418765649,0.01507407642,1.388000011,17.55999947,355.5655948,0.05,-0.195046,1.990298,6.205790336,-0.07469490916,-2.06656003,6.206223488,-0.301337744,1.779917252,0.7786596417,-0.04527966678,-1.906860828,5.993643109,-0.08024223149,-2.070618629,6.138209719,-0.1442086101,-2.044101954,0.8234288878,0.05553336814,0.07764609903
1970/01/01/09:00:05.323000,73,5,273000000,0,1.328731901,0.4047131046,0.01539165214,1.389000058,16.94000053,355.5207435,0.05,-0.209184,1.989486,6.205007533,-0.07895772159,-2.107664347,6.204587936,-0.3113839043,1.768704478,0.6708606482,-0.05519157276,-1.920375466,5.988119427,-0.0849320516,-2.112761497,6.122260068,-0.1402237415,-2.198218822,0.8343546489,0.01619948447,0.07326169312
1970/01/01/09:00:05.373000,74,5,323000000,0,1.336872225,0.3914354006,0.01554301227,1.393000007,16.31999969,355.502572,0.05,-0.22515,1.988849,6.204690381,-0.07013300806,-2.11014986,6.204318523,-0.3162478777,1.765032131,0.6722878218,-0.04124009982,-1.91623795,5.994352583,-0.07568918914,-2.11456275,6.123881195,-0.005507647991,-2.12655592,0.8423482569,0.03608830273,0.07089315355
1970/01/01/09:00:05.424000,75,5,373000000,0,1.338312975,0.3792090078,0.01599636863,1.391000032,15.81999969,355.4884839,0.05,-0.239592,1.988001,6.204444498,-0.07977230847,-2.069633007,6.204619884,-0.3260462655,1.75821222,0.7915533781,-0.06265868247,-1.939291954,5.982199375,-0.08453978598,-2.073549747,6.137801219,-0.1500993222,-1.970363975,0.8486488955,0.06534186751,0.07682587951
1970/01/01/09:00:05.473000,76,5,424000000,0,1.34139816,0.3793245657,0.01582347434,1.394000053,15.78999996,355.4728684,0.051,-0.254447,1.986363,6.204171956,-0.08651415259,-2.060411453,6.204426289,-0.3347353325,1.761714693,0.8079974055,-0.0767981559,-1.950356007,5.975680504,-0.09089631587,-2.063724041,6.140006978,-0.1613830328,-2.024763346,0.8534834575,0.05681205168,0.07607578486
1970/01/01/09:00:05.573000,77,5,473000000,0,1.32586205,0.4038389882,0.01579579931,1.386000037,16.94000053,355.4054236,0.049,-0.269293,1.984771,6.202994821,-0.07977487147,-2.052953005,6.203850746,-0.3468320179,1.762361236,0.831520021,-0.06588826329,-1.952017665,5.980275247,-0.08376768231,-2.056288958,6.144624401,-0.04526263475,-2.03340745,0.8585100058,0.06697572768,0.06821109354
1970/01/01/09:00:05.574000,78,5,573000000,0,1.321921351,0.3855552751,0.01594078139,1.376999974,16.26000023,355.3103952,0.1,-0.283544,1.98312,6.201336264,-0.06573934853,-2.035602093,6.203200817,-0.357762865,1.760553488,0.8961481452,-0.04231086373,-1.944374561,5.993771676,-0.06913537532,-2.038894653,6.15641712,0.05459208786,-1.988616467,0.8629082355,0.1044077426,0.05700611323
1970/01/01/09:00:05.674000,79,5,673000000,0,1.31112617,0.4108820259,0.01590946012,1.373999953,17.39999962,355.3011884,0.1,-0.298174,1.981929,6.201175573,-0.08488946408,-2.059393644,6.201295376,-0.3754766992,1.759276109,0.8068014979,-0.0818253085,-1.997183561,5.964614753,-0.08882501721,-2.06411314,6.141162131,-0.2125358731,-2.112054586,0.8684409292,0.008112683892,0.0797239244
1970/01/01/09:00:05.774000,80,5,773000000,0,1.321698665,0.3827385124,0.01579514705,1.376000047,16.14999962,355.2320446,0.1,-0.312302,1.980753,6.199968788,-0.08442877233,-2.065663338,6.200130463,-0.3877450364,1.758401545,0.7912986875,-0.08139418811,-2.006742001,5.965191011,-0.08835564554,-2.070829391,6.139464516,-0.1136150509,-2.082277536,0.8759283917,0.04003689438,0.07376806438
