xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0545829,-2.05932,6.22335,0.400504,0.0891014,-0.0448762,-2.04669,6.21669
-0.0549184,-2.05943,6.22281,0.400504,0.0891014,-0.0446926,-2.0482,6.2162
-0.0553108,-2.05981,6.22226,0.400505,0.0891015,-0.0443987,-2.04895,6.21597
-0.0557371,-2.06042,6.22172,0.400505,0.0891015,-0.0450086,-2.05043,6.21534
-0.0562426,-2.06159,6.22117,0.400505,0.0891016,-0.0447583,-2.0512,6.21539
-0.0565342,-2.06289,6.22063,0.400505,0.0891016,-0.0456874,-2.05271,6.21464
-0.0568147,-2.06468,6.22008,0.400505,0.0891017,-0.0469834,-2.05344,6.21376
-0.0573149,-2.06601,6.21954,0.400506,0.0891018,-0.0480264,-2.05498,6.21263
-0.0582606,-2.06701,6.21899,0.400506,0.0891018,-0.04833,-2.05572,6.21222
-0.0592476,-2.06744,6.21845,0.400507,0.0891019,-0.0489682,-2.05732,6.21181
-0.0603466,-2.06793,6.2179,0.400509,0.089102,-0.0491836,-2.0581,6.21153
-0.0612038,-2.0683,6.21736,0.40051,0.0891021,-0.0490381,-2.0597,6.21114
-0.0618991,-2.06917,6.21681,0.400512,0.0891022,-0.0492054,-2.06047,6.21077
-0.0628575,-2.06963,6.21626,0.400514,0.0891023,-0.0364051,-2.06305,6.21323
-0.0636332,-2.07038,6.21572,0.400517,0.0891025,-0.050123,-2.06454,6.20957
-0.0648731,-2.07199,6.21463,0.400519,0.0891027,-0.0526615,-2.06692,6.20758
-0.0662918,-2.07324,6.21354,0.400523,0.0891031,-0.0537364,-2.06942,6.20658
-0.0676042,-2.0746,6.21245,0.400527,0.0891035,-0.0540177,-2.07028,6.2064
-0.0688112,-2.07491,6.2119,0.400532,0.0891041,-0.0538971,-2.07196,6.20611
-0.0699358,-2.07546,6.21135,0.400537,0.0891047,-0.0537377,-2.07283,6.20579
-0.0708671,-2.07629,6.21081,0.400542,0.0891054,-0.0545855,-2.07452,6.20501
-0.0716772,-2.07578,6.21026,0.400547,0.0891062,-0.0548047,-2.07537,6.20469
-0.0727154,-2.07488,6.20971,0.400553,0.0891071,-0.0553052,-2.07713,6.20444
-0.0735343,-2.07501,6.20917,0.400559,0.0891081,-0.0555757,-2.07799,6.20417
-0.0740496,-2.07566,6.20861,0.400566,0.0891093,-0.0569696,-2.07971,6.20299
-0.0747164,-2.07673,6.20807,0.400572,0.0891106,-0.0590637,-2.0823,6.20134
-0.0756267,-2.07923,6.20698,0.400578,0.0891121,-0.0589219,-2.08503,6.20118
-0.0760898,-2.08139,6.20589,0.400584,0.0891139,-0.060211,-2.0877,6.19997
-0.0765875,-2.08365,6.2048,0.40059,0.0891159,-0.0610972,-2.09043,6.19931
-0.0769585,-2.08655,6.20371,0.400595,0.0891182,-0.0621511,-2.0932,6.19829
-0.0775635,-2.08929,6.20262,0.4006,0.0891208,-0.0483528,-2.09617,6.20047
-0.0778513,-2.09096,6.20205,0.400605,0.0891234,-0.0653193,-2.09687,6.19602
-0.0779603,-2.09247,6.20153,0.400609,0.0891261,-0.0653289,-2.09878,6.19607
-0.0787512,-2.09451,6.20044,0.400614,0.0891291,-0.0656997,-2.09971,6.19567
-0.0792898,-2.09532,6.19988,0.400618,0.0891322,-0.066429,-2.10161,6.19495
-0.0799969,-2.09651,6.19934,0.400623,0.0891354,-0.0667829,-2.10256,6.19461
-0.0810538,-2.09748,6.1988,0.400628,0.0891387,-0.067498,-2.10449,6.19397
-0.0823822,-2.09802,6.19825,0.400633,0.0891422,-0.0678759,-2.10544,6.19398
-0.0833461,-2.09921,6.19771,0.400638,0.0891457,-0.068656,-2.10737,6.19323
-0.0840965,-2.10068,6.19716,0.400644,0.0891495,-0.042852,-2.11063,6.19878
-0.0849947,-2.10181,6.19662,0.40065,0.0891533,-0.0718217,-2.11121,6.19109
