xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0580066,-2.05826,6.22328,0.40125,0.0893002,-0.0448762,-2.04669,6.21669
-0.0583101,-2.05835,6.22275,0.40125,0.0893002,-0.0446926,-2.0482,6.2162
-0.0586931,-2.05872,6.22221,0.40125,0.0893002,-0.0443987,-2.04895,6.21597
-0.0591297,-2.05933,6.22168,0.40125,0.0893002,-0.0450086,-2.05043,6.21534
-0.0596791,-2.06052,6.22114,0.401251,0.0893003,-0.0447583,-2.0512,6.21539
-0.0600116,-2.06185,6.22061,0.401251,0.0893004,-0.0456874,-2.05271,6.21464
-0.0603553,-2.06369,6.22007,0.401251,0.0893005,-0.0469834,-2.05344,6.21376
-0.0609269,-2.06507,6.21954,0.401252,0.0893006,-0.0480264,-2.05498,6.21263
-0.061972,-2.06608,6.219,0.401253,0.0893006,-0.04833,-2.05572,6.21222
-0.0630584,-2.06653,6.21847,0.401254,0.0893007,-0.0489682,-2.05732,6.21181
-0.0642764,-2.06704,6.21793,0.401256,0.0893008,-0.0491836,-2.0581,6.21153
-0.0652462,-2.06741,6.2174,0.401258,0.089301,-0.0490381,-2.0597,6.21114
-0.0660624,-2.06832,6.21686,0.40126,0.0893011,-0.0492054,-2.06047,6.21077
-0.0671547,-2.06881,6.21632,0.401263,0.0893013,-0.0364051,-2.06305,6.21323
-0.0682474,-2.06929,6.21579,0.401266,0.0893015,-0.050123,-2.06454,6.20957
-0.0696639,-2.07078,6.21472,0.40127,0.0893018,-0.0526615,-2.06692,6.20758
-0.0712674,-2.07189,6.21365,0.401275,0.0893022,-0.0537364,-2.06942,6.20658
-0.0727706,-2.0731,6.21258,0.401281,0.0893027,-0.0540177,-2.07028,6.2064
-0.0742247,-2.07326,6.21204,0.401287,0.0893034,-0.0538971,-2.07196,6.20611
-0.0756101,-2.07367,6.2115,0.401294,0.0893041,-0.0537377,-2.07283,6.20579
-0.0768062,-2.07435,6.21097,0.401301,0.089305,-0.0545855,-2.07452,6.20501
-0.0778596,-2.07364,6.21043,0.401309,0.0893059,-0.0548047,-2.07537,6.20469
-0.0791564,-2.07253,6.20989,0.401317,0.089307,-0.0553052,-2.07713,6.20444
-0.0802351,-2.07257,6.20935,0.401326,0.0893082,-0.0555757,-2.07799,6.20417
-0.0811153,-2.07297,6.20881,0.401335,0.0893096,-0.0569696,-2.07971,6.20299
-0.0821875,-2.07378,6.20828,0.401344,0.0893112,-0.0590637,-2.0823,6.20134
-0.0836241,-2.07569,6.20721,0.401354,0.0893131,-0.0589219,-2.08503,6.20118
-0.084569,-2.07722,6.20613,0.401364,0.0893153,-0.060211,-2.0877,6.19997
-0.0855576,-2.07878,6.20506,0.401375,0.0893179,-0.0610972,-2.09043,6.19931
-0.0864223,-2.081,6.20399,0.401385,0.0893209,-0.0621511,-2.0932,6.19829
-0.0875325,-2.08297,6.20292,0.401396,0.0893243,-0.0483528,-2.09617,6.20047
-0.0883994,-2.08386,6.20236,0.401408,0.0893279,-0.0653193,-2.09687,6.19602
-0.0890996,-2.08453,6.20184,0.401419,0.0893317,-0.0653289,-2.09878,6.19607
-0.090414,-2.08557,6.20077,0.401431,0.0893359,-0.0656997,-2.09971,6.19567
-0.0915684,-2.08535,6.20022,0.401443,0.0893405,-0.066429,-2.10161,6.19495
