null_x,null_y,null_theta
-0.29724,-2.49694,6.11455
-0.299016,-2.49822,6.11384
-0.304349,-2.50197,6.113
-0.308248,-2.50435,6.11227
-0.310316,-2.50564,6.11187
-0.316195,-2.50927,6.11028
-0.319572,-2.51176,6.10982
-0.319548,-2.5133,6.11028
-0.322508,-2.51577,6.10992
-0.324412,-2.51707,6.10927
-0.329976,-2.52071,6.10826
-0.335737,-2.5229,6.10688
-0.337494,-2.52414,6.10656
-0.344151,-2.52765,6.10479
-0.348168,-2.53004,6.10415
-0.349981,-2.5313,6.10391
-0.353772,-2.5337,6.10334
-0.35572,-2.53493,6.10285
-0.359509,-2.53734,6.10191
-0.361498,-2.53857,6.10164
-0.365783,-2.54089,6.10091
-0.37417,-2.54417,6.09865
-0.37632,-2.54533,6.09814
-0.382359,-2.54892,6.09721
-0.372605,-2.55384,6.09973
-0.392355,-2.55484,6.09522
-0.394456,-2.55609,6.09486
-0.398475,-2.55839,6.09432
-0.400815,-2.55955,6.09393
-0.40959,-2.5627,6.09152
-0.413855,-2.565,6.09074
-0.415742,-2.56618,6.09055
-0.419905,-2.56849,6.08998
-0.395808,-2.57474,6.09522
-0.413346,-2.57453,6.09148
-0.402092,-2.57826,6.09425
-0.419656,-2.57802,6.09062
-0.440428,-2.57866,6.08608
-0.448084,-2.58185,6.08419
-0.450062,-2.58305,6.08401
-0.456665,-2.58642,6.08341
-0.461063,-2.58868,6.08272
-0.46755,-2.592,6.0818
-0.46982,-2.59312,6.08175
-0.474366,-2.59527,6.08115
-0.477533,-2.59621,6.08042
-0.483204,-2.59818,6.07923
-0.485208,-2.59934,6.07897
-0.489677,-2.60143,6.07869
-0.491999,-2.60252,6.07841
-0.483216,-2.60737,6.08076
-0.503315,-2.60781,6.07667
-0.505713,-2.60891,6.07654
-0.496938,-2.61371,6.07917
-0.486459,-2.61741,6.08173
-0.50607,-2.61643,6.07731
-0.525602,-2.61681,6.07366
-0.528022,-2.61783,6.0735
-0.532702,-2.61982,6.07283
-0.535108,-2.62084,6.07247
-0.539768,-2.62282,6.07176
-0.542236,-2.62386,6.07141
-0.549272,-2.62678,6.07086
-0.557668,-2.62945,6.06931
-0.565242,-2.63221,6.06842
-0.570097,-2.63407,6.06778
-0.572199,-2.63511,6.06752
-0.577414,-2.63687,6.06673
-0.58472,-2.63966,6.06604
-0.587244,-2.64063,6.06578
-0.591434,-2.64257,6.06532
-0.60052,-2.64482,6.06356
-0.603149,-2.64575,6.06322
-0.610683,-2.64833,6.06248
-0.618231,-2.65093,6.06141
-0.623188,-2.65264,6.06076
-0.625734,-2.65351,6.06076
-0.62991,-2.65537,6.06031
-0.632026,-2.65637,6.06015
-0.637931,-2.65775,6.05908
-0.641452,-2.65836,6.05835
-0.646581,-2.65996,6.05798
-0.649244,-2.66077,6.05751
-0.654388,-2.66234,6.0568
-0.657109,-2.66318,6.05643
-0.664739,-2.66553,6.05545
-0.668944,-2.66729,6.05531
-0.671035,-2.66825,6.05519
-0.675978,-2.66981,6.05458
-0.685589,-2.67155,6.05288
-0.687953,-2.67237,6.05276
-0.693715,-2.67373,6.05196
-0.696436,-2.67446,6.0516
-0.701615,-2.67586,6.05089
-0.704362,-2.67661,6.05053
-0.708562,-2.67829,6.05048
-0.7106,-2.67913,6.05036
-0.71553,-2.68058,6.04981
-0.725135,-2.68216,6.04812
-0.728084,-2.68283,6.04772
-0.733445,-2.68408,6.04722
-0.736323,-2.68475,6.04685
-0.744386,-2.68664,6.04578
-0.748632,-2.6882,6.04551
-0.750701,-2.68898,6.04555
-0.755406,-2.69041,6.0451
-0.763892,-2.69213,6.04398
-0.767992,-2.69235,6.04304
-0.773844,-2.69342,6.04247
-0.776626,-2.69397,6.04212
-0.782171,-2.69507,6.04141
-0.784981,-2.69564,6.04105
-0.789221,-2.69709,6.04061
-0.791428,-2.69782,6.0407
