xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0489776,-2.05595,6.21932,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.0493209,-2.05614,6.21882,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.0497216,-2.05658,6.21832,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.0501535,-2.05724,6.21782,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.0506745,-2.05845,6.21732,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.0509553,-2.05979,6.21682,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.051223,-2.06161,6.21632,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.0516983,-2.06295,6.21582,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.0526264,-2.0639,6.21532,0.3,0.05,-0.04833,-2.05572,6.21222
-0.0535747,-2.06426,6.21482,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.0546304,-2.06466,6.21432,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.0554131,-2.06489,6.21381,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.056014,-2.06565,6.21331,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.0568673,-2.06595,6.21281,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.0577119,-2.0668,6.21231,0.3,0.05,-0.050123,-2.06454,6.20957
-0.0594103,-2.06832,6.21131,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.0612716,-2.06943,6.21031,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0630058,-2.0706,6.20931,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0646085,-2.07059,6.20881,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.066116,-2.07078,6.2083,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.0674075,-2.07122,6.2078,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.0685361,-2.07023,6.2073,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.0698845,-2.06881,6.20679,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.0709839,-2.0685,6.20629,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.0718827,-2.06855,6.20578,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.0729439,-2.06896,6.20528,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.074848,-2.07146,6.20428,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.0762491,-2.07351,6.20327,0.3,0.05,-0.060211,-2.0877,6.19997
-0.0776825,-2.07555,6.20227,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.0789788,-2.07819,6.20127,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.0805109,-2.08055,6.20026,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.0817275,-2.08172,6.19974,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.0827589,-2.08263,6.19925,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0844649,-2.08397,6.19825,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.0859336,-2.08394,6.19773,0.3,0.05,-0.066429,-2.10161,6.19495
-0.0875956,-2.08418,6.19724,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.0896257,-2.08407,6.19673,0.3,0.05,-0.067498,-2.10449,6.19397
-0.0916491,-2.08395,6.19623,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.0919806,-2.08679,6.19572,0.3,0.05,-0.068656,-2.10737,6.19323
-0.0921193,-2.0898,6.19522,0.3,0.05,-0.042852,-2.11063,6.19878
-0.092437,-2.09238,6.19471,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.0928524,-2.09478,6.19421,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.0937697,-2.09854,6.1932,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.0941613,-2.10127,6.1927,0.3,0.05,-0.0735937,-2.11716,6.18967
