ceres_tukey_x,ceres_tukey_y,ceres_tukey_theta
-0.331229,-2.48522,6.09424
-0.333872,-2.4873,6.09381
-0.336526,-2.48937,6.09339
-0.341998,-2.49354,6.09246
-0.344691,-2.49562,6.09203
-0.350235,-2.49976,6.0911
-0.35296,-2.50183,6.09066
-0.355698,-2.50389,6.09022
-0.358505,-2.50599,6.08977
-0.364108,-2.51005,6.08883
-0.366892,-2.51209,6.08838
-0.369687,-2.51413,6.08793
-0.372493,-2.51616,6.08748
-0.375314,-2.51819,6.08702
-0.381099,-2.52231,6.08625
-0.383933,-2.52441,6.08597
-0.386781,-2.52649,6.0857
-0.392662,-2.53056,6.08492
-0.395543,-2.53262,6.08465
-0.398434,-2.53467,6.08437
-0.401403,-2.53676,6.08409
-0.404258,-2.53875,6.08382
-0.40719,-2.54079,6.08355
-0.410132,-2.54282,6.08327
-0.416201,-2.54677,6.08249
-0.419177,-2.54878,6.08222
-0.422164,-2.55077,6.08194
-0.428321,-2.55464,6.08116
-0.434526,-2.55847,6.08039
-0.437579,-2.56042,6.08011
-0.440645,-2.56236,6.07984
-0.44372,-2.56429,6.07956
-0.450044,-2.56803,6.07879
-0.453155,-2.56993,6.07852
-0.456279,-2.57181,6.07824
-0.459418,-2.5737,6.07797
-0.462575,-2.57558,6.07769
-0.465743,-2.57746,6.07742
-0.468988,-2.57935,6.07713
-0.472114,-2.58115,6.07687
-0.478648,-2.58472,6.0761
-0.485229,-2.58825,6.07533
-0.488477,-2.59005,6.07506
-0.491738,-2.59183,6.07479
-0.498403,-2.59528,6.07402
-0.505109,-2.5987,6.07325
-0.508426,-2.60045,6.07299
-0.511756,-2.60218,6.07272
-0.515092,-2.6039,6.07246
-0.51844,-2.60561,6.0722
-0.521793,-2.6073,6.07193
-0.525156,-2.60898,6.07167
-0.528529,-2.61065,6.07141
-0.531911,-2.61231,6.07115
-0.538812,-2.61551,6.07039
-0.542226,-2.61715,6.07013
-0.54565,-2.61877,6.06988
-0.549086,-2.62038,6.06962
-0.552533,-2.62197,6.06937
-0.559548,-2.62503,6.06861
-0.563013,-2.62659,6.06836
-0.56657,-2.62813,6.06805
-0.569995,-2.62961,6.06775
-0.57357,-2.63112,6.06744
-0.57701,-2.63257,6.06714
-0.580603,-2.63405,6.06683
-0.591333,-2.63824,6.06554
-0.594892,-2.63966,6.06523
-0.60213,-2.64241,6.06443
-0.605714,-2.6438,6.06413
-0.60931,-2.64516,6.06383
-0.616691,-2.64785,6.06302
-0.620239,-2.64917,6.06273
-0.623869,-2.6505,6.06243
-0.631249,-2.65308,6.06163
-0.634907,-2.65439,6.06134
-0.638651,-2.65571,6.06103
-0.646025,-2.65819,6.06025
-0.653506,-2.66065,6.05945
-0.657219,-2.6619,6.05916
-0.660941,-2.66313,6.05887
-0.664671,-2.66436,6.05859
-0.668486,-2.66559,6.05829
-0.672156,-2.66677,6.05801
-0.675911,-2.66795,6.05773
-0.679677,-2.66912,6.05744
-0.683529,-2.6703,6.05715
-0.687231,-2.67142,6.05688
-0.691018,-2.67254,6.0566
-0.698689,-2.6747,6.05582
-0.702502,-2.6758,6.05554
-0.706399,-2.67691,6.05526
-0.714049,-2.67896,6.05449
-0.71789,-2.68,6.05422
-0.721741,-2.68104,6.05395
-0.725612,-2.68201,6.0536
-0.729491,-2.68298,6.05324
-0.733455,-2.68394,6.05287
-0.737504,-2.68491,6.0525
-0.741164,-2.68578,6.05217
-0.745068,-2.68669,6.05182
-0.752945,-2.68846,6.05097
-0.75687,-2.68934,6.05062
-0.760808,-2.69019,6.05022
-0.764752,-2.69102,6.04982
-0.768703,-2.69185,6.04943
-0.776659,-2.69345,6.04853
-0.780638,-2.69417,6.04804
-0.784624,-2.69489,6.04754
-0.792645,-2.69634,6.04655
-0.796653,-2.69703,6.04605
-0.800664,-2.6977,6.04555
-0.804674,-2.69835,6.04505
-0.80869,-2.69899,6.04455
-0.812708,-2.69961,6.04405
-0.81673,-2.70021,6.04355
-0.820759,-2.70081,6.04305
-0.824791,-2.7014,6.04254
-0.832913,-2.70262,6.04154
-0.837044,-2.7032,6.04102
-0.841015,-2.70374,6.04052
-0.845156,-2.70429,6.04
-0.853248,-2.7054,6.039
-0.857322,-2.70591,6.03848
-0.861404,-2.70641,6.03797
-0.865491,-2.70691,6.03745
-0.869581,-2.70739,6.03693
-0.873674,-2.70787,6.03642
-0.882003,-2.70887,6.03539
-0.890183,-2.7098,6.03437
-0.894385,-2.71025,6.03384
-0.898427,-2.71067,6.03332
-0.902557,-2.71109,6.0328
-0.906705,-2.71142,6.03215
-0.91086,-2.71175,6.03149
-0.91502,-2.71208,6.03084
-0.923381,-2.71281,6.02967
-0.927559,-2.71311,6.02901
-0.931741,-2.71339,6.02835
-0.940224,-2.71406,6.02717
-0.944333,-2.71431,6.02651
-0.948526,-2.71455,6.02583
-0.956957,-2.71513,6.02465
-0.961164,-2.71535,6.02397
-0.965375,-2.71555,6.02329
-0.973844,-2.71607,6.0221
-0.978072,-2.71626,6.02141
-0.982305,-2.71644,6.02072
-0.990806,-2.71694,6.01966
-0.995046,-2.71715,6.0191
-0.999296,-2.71735,6.01854
-1.00355,-2.71753,6.01798
-1.00781,-2.71772,6.01742
-1.01636,-2.7181,6.01635
-1.02063,-2.71825,6.01578
-1.0249,-2.71839,6.01522
-1.02918,-2.71852,6.01465
-1.03345,-2.71863,6.01408
-1.04213,-2.71888,6.01299
-1.05065,-2.71908,6.01193
-1.05927,-2.71926,6.01085
-1.0679,-2.71938,6.00977
-1.07655,-2.71946,6.00869
-1.08085,-2.71944,6.00811
-1.08516,-2.71942,6.00752
-1.09382,-2.7194,6.00643
-1.09814,-2.71933,6.00584
-1.10255,-2.71927,6.00524
-1.10679,-2.71925,6.00481
-1.11113,-2.71923,6.00437
-1.11983,-2.71913,6.00343
-1.12418,-2.71906,6.00299
-1.12861,-2.71898,6.00255
-1.13287,-2.71888,6.00212
-1.13731,-2.71877,6.00167
-1.14158,-2.71865,6.00124
-1.14594,-2.71853,6.0008
-1.15039,-2.71838,6.00034
-1.15475,-2.71822,5.9999
-1.16342,-2.71787,5.99897
-1.1678,-2.71768,5.99853
-1.17226,-2.71747,5.99808
-1.18095,-2.71702,5.99714
-1.18534,-2.71678,5.9967
-1.18972,-2.71653,5.99626
-1.19411,-2.71626,5.99582
-1.19851,-2.71598,5.99538
-1.20739,-2.71537,5.99443
-1.21179,-2.71505,5.99398
-1.21609,-2.71473,5.99355
-1.2249,-2.71401,5.99261
-1.2293,-2.71364,5.99217
-1.2337,-2.71325,5.99173
-1.23819,-2.71284,5.99128
-1.2425,-2.71244,5.99085
-1.24691,-2.71202,5.9904
-1.25132,-2.71158,5.98996
-1.26023,-2.71066,5.98901
-1.26456,-2.71021,5.98858
-1.26897,-2.70974,5.98814
-1.27348,-2.70925,5.98769
-1.27781,-2.70876,5.98727
-1.28664,-2.7077,5.98633
-1.29547,-2.70658,5.98539
-1.29989,-2.70601,5.98496
-1.30871,-2.70481,5.98402
-1.31312,-2.70418,5.98359
-1.32193,-2.70288,5.98265
-1.33075,-2.70151,5.98172
-1.33515,-2.70081,5.98128
-1.33956,-2.7001,5.98085
-1.34837,-2.69864,5.97991
-1.35277,-2.69789,5.97948
-1.35717,-2.69712,5.97905
-1.36157,-2.69635,5.97861
-1.36596,-2.69555,5.97818
-1.37475,-2.69392,5.97724
-1.38353,-2.69223,5.97631
-1.38792,-2.69137,5.97587
-1.3923,-2.69049,5.97544
-1.39669,-2.6896,5.975
-1.40107,-2.68869,5.97457
-1.40545,-2.68776,5.97413
-1.40982,-2.68682,5.9737
-1.41867,-2.68489,5.97275
-1.42295,-2.68393,5.97232
-1.42732,-2.68294,5.97189
-1.43179,-2.68192,5.97144
-1.43607,-2.68093,5.97101
-1.44481,-2.67882,5.97001
-1.44918,-2.67773,5.9695
-1.45354,-2.67663,5.96899
-1.46226,-2.67442,5.96798
-1.46661,-2.67327,5.96747
-1.47096,-2.6721,5.96696
-1.47531,-2.67093,5.96645
-1.484,-2.6686,5.96543
-1.48844,-2.66738,5.9649
-1.49703,-2.66501,5.9639
-1.5057,-2.66258,5.96288
-1.51004,-2.66133,5.96236
-1.51437,-2.66006,5.96184
-1.51871,-2.65878,5.96132
-1.52303,-2.65749,5.96079
-1.52735,-2.65619,5.96027
-1.53166,-2.65487,5.95974
-1.54028,-2.65223,5.95872
-1.54458,-2.65087,5.95819
-1.55317,-2.64816,5.95716
-1.55746,-2.64676,5.95663
-1.56603,-2.64397,5.95559
-1.5703,-2.64253,5.95506
-1.57466,-2.64105,5.95451
-1.57893,-2.6396,5.95397
-1.58311,-2.63817,5.95344
-1.58737,-2.63669,5.9529
-1.59163,-2.6352,5.95235
-1.60013,-2.63214,5.95116
-1.60437,-2.63054,5.95047
-1.6086,-2.62893,5.94977
-1.61302,-2.62732,5.94924
-1.61709,-2.62583,5.94874
-1.62133,-2.62427,5.94822
-1.62557,-2.62269,5.94769
-1.6298,-2.6211,5.94717
-1.63411,-2.61947,5.94664
-1.63825,-2.61788,5.94612
-1.64247,-2.61626,5.94559
-1.64668,-2.61463,5.94506
-1.6509,-2.61298,5.94453
-1.65931,-2.60972,5.9435
-1.6635,-2.60795,5.9428
-1.67188,-2.60453,5.9416
-1.67606,-2.60273,5.9409
-1.68024,-2.60093,5.9402
-1.68442,-2.59912,5.93949
-1.6887,-2.59734,5.93895
-1.69696,-2.59394,5.93793
-1.70114,-2.59216,5.9374
-1.70945,-2.58865,5.93637
-1.71361,-2.58685,5.93584
-1.71785,-2.58499,5.93529
-1.72604,-2.58142,5.93426
-1.73429,-2.57778,5.93322
-1.7385,-2.57586,5.93267
-1.74253,-2.57401,5.93214
-1.75073,-2.57027,5.93109
-1.75483,-2.56835,5.93054
-1.75892,-2.56642,5.92999
-1.76707,-2.5626,5.92894
-1.77114,-2.56063,5.92838
-1.77924,-2.55673,5.92733
-1.78337,-2.55469,5.92676
-1.79145,-2.55074,5.92569
-1.79541,-2.54876,5.92514
-1.79944,-2.54671,5.92457
-1.80347,-2.54467,5.92399
-1.80756,-2.54257,5.92341
-1.8115,-2.54053,5.92284
-1.81558,-2.5384,5.92225
-1.82348,-2.53434,5.92118
-1.82747,-2.53222,5.92059
-1.83145,-2.53012,5.92004
-1.83938,-2.52594,5.91899
-1.84334,-2.52379,5.91844
-1.84729,-2.52164,5.91789
-1.85124,-2.51948,5.91733
-1.85519,-2.5173,5.91677
-1.85912,-2.51511,5.91621
-1.86305,-2.51291,5.91565
-1.87477,-2.50645,5.91409
-1.87867,-2.50421,5.91352
-1.88256,-2.50197,5.91295
-1.88645,-2.49971,5.91238
-1.8904,-2.4974,5.9118
-1.89419,-2.49516,5.91124
-1.89805,-2.49288,5.91066
-1.90199,-2.49055,5.91007
-1.9096,-2.48608,5.909
-1.91343,-2.48377,5.90842
-1.91727,-2.48145,5.90784
-1.9211,-2.47913,5.90725
-1.92492,-2.47679,5.90667
-1.93252,-2.47218,5.90558
-1.93631,-2.46981,5.90499
-1.94009,-2.46743,5.9044
-1.94386,-2.46504,5.9038
-1.9477,-2.4626,5.9032
-1.95141,-2.46031,5.90279
-1.95525,-2.45791,5.90235
-1.95893,-2.45559,5.90194
-1.96268,-2.45322,5.90152
-1.96642,-2.45083,5.90109
-1.97023,-2.44839,5.90066
-1.97757,-2.44365,5.89974
-1.98128,-2.44122,5.89932
-1.98506,-2.43874,5.89888
-1.98868,-2.43634,5.89846
-1.99236,-2.43388,5.89804
-1.99603,-2.4314,5.89761
-1.9997,-2.42892,5.89718
-2.00335,-2.42641,5.89676
-2.00698,-2.4239,5.89633
-2.0106,-2.42136,5.8959
-2.01422,-2.41882,5.89547
-2.02138,-2.41367,5.8944
-2.02494,-2.41101,5.89383
-2.0285,-2.40835,5.89325
-2.03204,-2.40568,5.89268
-2.03563,-2.40291,5.89202
-2.04262,-2.39775,5.89105
-2.04614,-2.39507,5.89057
-2.04972,-2.39234,5.89008
-2.06012,-2.38453,5.8886
-2.06359,-2.38181,5.88811
-2.06705,-2.37909,5.88762
-2.0705,-2.37637,5.88713
-2.07395,-2.37363,5.88663
-2.07738,-2.3709,5.88614
-2.08081,-2.36816,5.88564
-2.08429,-2.36536,5.88513
-2.08762,-2.36265,5.88464
-2.09101,-2.35988,5.88413
-2.0944,-2.35711,5.88363
-2.09777,-2.35434,5.88312
-2.10783,-2.34615,5.88161
-2.11116,-2.34335,5.88109
-2.11448,-2.34054,5.88058
-2.1178,-2.33772,5.88006
-2.12109,-2.33489,5.87954
-2.12438,-2.33205,5.87902
-2.13099,-2.32639,5.87798
-2.13743,-2.3208,5.87696
-2.14389,-2.31513,5.87592
-2.14709,-2.31223,5.87539
-2.15029,-2.30933,5.87485
-2.15667,-2.30361,5.87381
-2.15983,-2.30068,5.87326
-2.16299,-2.29775,5.87271
-2.16613,-2.29481,5.87216
-2.16926,-2.29186,5.87161
-2.17237,-2.2889,5.87105
-2.17548,-2.28594,5.8705
-2.17859,-2.28298,5.86994
-2.18174,-2.27996,5.86936
-2.18785,-2.27417,5.86831
-2.19097,-2.27113,5.86773
-2.19402,-2.26815,5.86715
-2.19699,-2.26521,5.86659
-2.20001,-2.2622,5.86601
-2.20603,-2.25629,5.86493
-2.20901,-2.25326,5.86434
-2.21198,-2.25023,5.86375
-2.21494,-2.24719,5.86316
-2.21794,-2.24409,5.86256
-2.22376,-2.23814,5.86142
-2.22668,-2.23512,5.86094
-2.23,-2.23168,5.86039
-2.2325,-2.22905,5.85998
-2.23538,-2.22601,5.85949
-2.24116,-2.22001,5.85851
-2.24401,-2.21696,5.85801
-2.24977,-2.21087,5.85701
-2.25253,-2.20786,5.85652
-2.25817,-2.20179,5.85552
-2.26095,-2.19871,5.85502
-2.26371,-2.19561,5.85451
-2.26926,-2.18951,5.8535
-2.27199,-2.1864,5.85298
-2.27471,-2.18329,5.85246
-2.28017,-2.17715,5.85144
-2.28285,-2.17402,5.85092
-2.28552,-2.17089,5.85039
-2.28818,-2.16775,5.84986
-2.29082,-2.1646,5.84932
-2.29345,-2.16144,5.84879
-2.29612,-2.15822,5.84824
-2.30132,-2.15207,5.8472
-2.30653,-2.14583,5.84615
-2.3117,-2.13959,5.84509
-2.31424,-2.1364,5.84453
-2.31675,-2.1332,5.84397
-2.32182,-2.12693,5.8429
-2.3243,-2.12373,5.84232
-2.3293,-2.11744,5.84124
-2.33175,-2.11423,5.84066
-2.33669,-2.10792,5.83957
-2.3391,-2.10469,5.83895
-2.34154,-2.1014,5.83831
-2.34638,-2.09506,5.83718
-2.34869,-2.09188,5.83656
-2.35104,-2.08865,5.83592
-2.35337,-2.08541,5.83527
-2.3557,-2.08218,5.83463
-2.35801,-2.07895,5.83398
-2.36036,-2.07566,5.83331
-2.36261,-2.07249,5.83266
-2.36489,-2.06926,5.832
-2.36715,-2.06602,5.83133
-2.3694,-2.06279,5.83066
-2.37164,-2.05955,5.82998
-2.37387,-2.05631,5.8293
-2.3761,-2.05309,5.82862
-2.37831,-2.04985,5.82793
-2.38052,-2.04663,5.82724
-2.38499,-2.0403,5.82604
-2.38716,-2.03707,5.82533
-2.39157,-2.03075,5.82412
-2.39371,-2.02753,5.8234
-2.39588,-2.02424,5.82267
-2.40019,-2.01804,5.82161
-2.40232,-2.01487,5.82104
-2.40448,-2.01177,5.82066
-2.40667,-2.0086,5.82026
-2.40877,-2.00556,5.81989
-2.41304,-1.99935,5.819
-2.41514,-1.99624,5.81861
-2.41724,-1.99313,5.81822
-2.42143,-1.9869,5.81733
-2.4256,-1.9806,5.81643
-2.42761,-1.97753,5.81604
-2.42964,-1.9744,5.81565
-2.43165,-1.97126,5.81525
-2.43366,-1.96812,5.81485
-2.43565,-1.96498,5.81445
