ceres_tukey_x,ceres_tukey_y,ceres_tukey_theta
-2.61025,-1.35451,5.71836
-2.61012,-1.35218,5.71801
-2.60999,-1.34986,5.71765
-2.60986,-1.34755,5.71729
-2.60972,-1.34524,5.71694
-2.60952,-1.34284,5.71646
-2.60932,-1.34053,5.71599
-2.60912,-1.33818,5.71551
-2.60891,-1.33585,5.71504
-2.60852,-1.33124,5.71406
-2.6083,-1.32893,5.71357
-2.60807,-1.32659,5.71308
-2.60764,-1.3221,5.71211
-2.60718,-1.31756,5.71111
-2.60693,-1.31536,5.71063
-2.60667,-1.31311,5.71014
-2.60616,-1.30869,5.70915
-2.60587,-1.30644,5.70865
-2.60559,-1.30428,5.70816
-2.60503,-1.2999,5.70716
-2.60446,-1.29565,5.70617
-2.60416,-1.2935,5.70567
-2.60385,-1.29137,5.70517
-2.60353,-1.28924,5.70467
-2.60321,-1.28712,5.70417
-2.60288,-1.28502,5.70367
-2.60258,-1.28292,5.70324
-2.60197,-1.27887,5.70234
-2.60133,-1.27476,5.70141
-2.60102,-1.27276,5.701
-2.60071,-1.2708,5.7006
-2.60038,-1.26881,5.70018
-2.60005,-1.26683,5.69977
-2.59971,-1.26486,5.69936
-2.59936,-1.2629,5.69894
-2.59864,-1.25898,5.69803
-2.59828,-1.25701,5.69761
-2.59793,-1.25513,5.6972
-2.59717,-1.25124,5.69628
-2.5968,-1.24938,5.69588
-2.59642,-1.24749,5.69547
-2.59598,-1.24553,5.6949
-2.59554,-1.24358,5.69433
-2.59509,-1.24165,5.69377
-2.59464,-1.23972,5.69319
-2.59419,-1.2378,5.69262
-2.59373,-1.2359,5.69205
-2.59327,-1.23401,5.69147
-2.59279,-1.23213,5.69089
-2.59231,-1.23026,5.69031
-2.59182,-1.2284,5.68973
-2.59132,-1.22651,5.68913
-2.59039,-1.22295,5.68805
-2.58988,-1.22113,5.68746
-2.58938,-1.21934,5.68687
-2.58887,-1.21755,5.68627
-2.58836,-1.21578,5.68568
-2.58739,-1.21233,5.68458
-2.58687,-1.21059,5.68397
-2.58634,-1.20886,5.68337
-2.58581,-1.20714,5.68276
-2.58481,-1.20381,5.68164
-2.58427,-1.2021,5.68102
-2.58374,-1.20047,5.68041
-2.58273,-1.19724,5.67928
-2.58218,-1.19561,5.67866
-2.58163,-1.194,5.67803
-2.58109,-1.1924,5.6774
-2.58055,-1.19081,5.67676
-2.58,-1.18924,5.67613
-2.57945,-1.18768,5.67549
-2.57891,-1.18614,5.67484
-2.57837,-1.18461,5.6742
-2.57733,-1.18165,5.67305
-2.57678,-1.18016,5.67239
-2.57622,-1.17866,5.67173
-2.57567,-1.17722,5.67108
-2.57511,-1.17578,5.67042
-2.57408,-1.17298,5.66925
-2.57353,-1.17157,5.66859
-2.57298,-1.17017,5.66791
-2.57242,-1.16878,5.66724
-2.57186,-1.16741,5.66656
-2.57083,-1.16477,5.66538
-2.56985,-1.16223,5.66439
-2.56935,-1.16099,5.6639
-2.56886,-1.15975,5.66341
-2.56789,-1.1573,5.66242
-2.56739,-1.15609,5.66193
-2.56641,-1.15369,5.66093
-2.56592,-1.15251,5.66044
-2.56542,-1.15135,5.65994
-2.56493,-1.1502,5.65944
-2.56394,-1.14791,5.65844
-2.56343,-1.14678,5.65793
-2.56293,-1.14567,5.65743
-2.56195,-1.14348,5.65642
-2.56097,-1.14132,5.65541
-2.56048,-1.14027,5.65492
-2.55997,-1.13921,5.65442
-2.55902,-1.13717,5.65343
-2.55853,-1.13616,5.65294
-2.55805,-1.13517,5.65244
-2.55756,-1.13418,5.65194
-2.55708,-1.13319,5.65144
-2.55658,-1.13222,5.65094
-2.55609,-1.13125,5.65044
-2.55559,-1.13029,5.64993
-2.55508,-1.12935,5.64942
-2.55458,-1.12839,5.6489
-2.55364,-1.12658,5.64796
-2.55316,-1.12569,5.64751
-2.55268,-1.12482,5.64705
-2.5522,-1.12394,5.6466
-2.55125,-1.12219,5.64563
-2.55032,-1.12051,5.64468
-2.54985,-1.11968,5.64422
-2.54937,-1.11886,5.64376
-2.5489,-1.11805,5.64329
-2.54843,-1.11724,5.64283
-2.54796,-1.11644,5.64236
-2.54749,-1.11565,5.64189
-2.54702,-1.11486,5.6414
-2.54658,-1.11411,5.64094
-2.54614,-1.11336,5.64046
-2.54569,-1.11261,5.63999
-2.54479,-1.11114,5.63901
-2.54435,-1.11042,5.63853
-2.5439,-1.10971,5.63804
-2.54346,-1.10901,5.63756
-2.54302,-1.10832,5.63707
-2.54259,-1.10764,5.63658
-2.54174,-1.10631,5.63559
-2.54131,-1.10567,5.6351
-2.54089,-1.10503,5.63461
-2.54006,-1.10378,5.63361
-2.53965,-1.10318,5.63312
-2.53925,-1.10259,5.63262
-2.53885,-1.10201,5.63212
-2.53845,-1.10143,5.63162
