x,y,theta
0.836098,-2.7206,6.37403
0.833902,-2.7235,6.37451
0.831389,-2.72609,6.37432
0.828809,-2.72875,6.37414
0.826388,-2.73134,6.37403
0.823901,-2.73399,6.37394
0.821426,-2.73667,6.37388
0.815189,-2.74167,6.37338
0.812715,-2.74438,6.37341
0.810247,-2.7471,6.37348
0.803965,-2.75209,6.3731
0.797649,-2.75706,6.37278
0.795166,-2.75981,6.373
0.792686,-2.76258,6.37326
0.790211,-2.76535,6.37356
0.783825,-2.77028,6.37343
0.781343,-2.77307,6.37383
0.778986,-2.77603,6.37477
0.776635,-2.77899,6.37575
0.774281,-2.78197,6.37679
0.77181,-2.78481,6.37761
0.769257,-2.78769,6.37847
0.766863,-2.79048,6.37939
0.76034,-2.79524,6.37988
0.753777,-2.79995,6.38044
0.751276,-2.80277,6.38156
0.748774,-2.80558,6.38273
0.742138,-2.81015,6.38347
0.735464,-2.81467,6.3843
0.732934,-2.81746,6.38569
0.729888,-2.81967,6.38592
0.726851,-2.82189,6.38619
0.723818,-2.8241,6.38651
0.720793,-2.82632,6.38688
0.717775,-2.82854,6.38729
0.714936,-2.831,6.38846
0.712099,-2.83345,6.38968
0.70498,-2.83734,6.39048
0.701885,-2.83948,6.39124
0.698793,-2.84162,6.39204
0.695701,-2.84375,6.39289
0.692613,-2.84588,6.39379
0.685176,-2.84925,6.39427
0.68209,-2.85134,6.39529
0.678735,-2.85324,6.39591
0.675561,-2.85508,6.39659
0.672217,-2.85696,6.3973
0.669052,-2.85879,6.39808
0.665715,-2.86066,6.39889
0.653675,-2.86452,6.39881
0.650417,-2.86633,6.39978
0.64269,-2.86906,6.40032
0.639391,-2.87079,6.40131
0.636092,-2.87251,6.40235
0.6282,-2.87505,6.40297
0.624994,-2.87673,6.40415
0.621222,-2.87781,6.40419
0.612922,-2.8796,6.40378
0.609168,-2.88069,6.40392
0.605336,-2.8818,6.40409
0.597139,-2.88351,6.40384
0.588847,-2.88518,6.40363
0.584818,-2.88587,6.4032
0.580804,-2.88656,6.4028
0.576523,-2.88691,6.40173
0.57217,-2.88728,6.40067
0.567629,-2.88715,6.39867
0.563021,-2.88706,6.39669
0.558437,-2.88701,6.39473
0.553786,-2.887,6.39277
0.549345,-2.88699,6.39086
0.545052,-2.88736,6.38992
0.536228,-2.88834,6.3885
0.531973,-2.88873,6.38761
0.527269,-2.88864,6.38577
0.518231,-2.88915,6.38346
0.513669,-2.8891,6.38166
0.50913,-2.88907,6.37988
0.50458,-2.88902,6.37803
0.500087,-2.88906,6.37634
0.495527,-2.88913,6.37466
0.490899,-2.88924,6.373
0.486403,-2.88884,6.3705
0.481889,-2.88888,6.36902
0.472885,-2.88964,6.36704
0.468417,-2.88971,6.36557
0.463797,-2.88957,6.36367
0.459202,-2.88944,6.36178
0.454633,-2.88935,6.35991
0.445588,-2.89002,6.35753
0.440922,-2.88976,6.35528
0.436282,-2.88953,6.35304
0.427174,-2.89011,6.35029
0.422581,-2.88993,6.34806
0.418014,-2.88978,6.34583
0.413473,-2.88964,6.34362
0.408956,-2.88953,6.34141
0.404462,-2.88944,6.33922
0.399991,-2.88937,6.33704
0.395678,-2.88957,6.33551
0.391386,-2.88979,6.334
0.382714,-2.89109,6.33234
0.378444,-2.89147,6.33119
0.374369,-2.89182,6.33007
0.370131,-2.89221,6.32895
0.361783,-2.89382,6.3282
0.357451,-2.89393,6.32689
0.353139,-2.89405,6.3256
0.348849,-2.89419,6.32432
0.344579,-2.89433,6.32305
0.340332,-2.89449,6.3218
0.331529,-2.89562,6.32003
0.322921,-2.89669,6.31829
0.318641,-2.89689,6.31703
0.31456,-2.89706,6.31582
0.310409,-2.89726,6.3146
0.306226,-2.8974,6.31326
0.302063,-2.89756,6.31193
0.297468,-2.89703,6.30931
0.288412,-2.8975,6.30617
0.283643,-2.89668,6.30287
0.278903,-2.8959,6.29956
0.269628,-2.89625,6.2957
0.265038,-2.89553,6.29235
0.260387,-2.89485,6.28897
0.251296,-2.89541,6.28505
0.246703,-2.89482,6.28162
0.242271,-2.89454,6.2789
0.233294,-2.89543,6.27534
0.228807,-2.89505,6.27226
0.224344,-2.89471,6.26917
0.215523,-2.89598,6.26602
0.211193,-2.89588,6.26335
0.206881,-2.8958,6.26068
0.202591,-2.89576,6.258
0.198323,-2.89576,6.25532
0.189596,-2.89734,6.2521
0.185369,-2.89739,6.24937
0.181161,-2.89747,6.24663
0.176971,-2.8976,6.24389
0.1728,-2.89774,6.24114
0.164061,-2.89966,6.23784
0.155508,-2.90156,6.23452
0.146967,-2.90376,6.23169
0.138423,-2.90598,6.22883
0.129882,-2.90823,6.22594
0.125904,-2.90871,6.22354
0.121943,-2.90922,6.22114
0.11342,-2.91161,6.2182
0.109484,-2.91216,6.21576
0.105467,-2.91279,6.2133
0.10168,-2.91344,6.21104
0.0978101,-2.91416,6.20875
0.0893319,-2.91688,6.20594
0.0854787,-2.91764,6.20362
0.081675,-2.91875,6.20204
0.0780684,-2.9198,6.20048
0.0744312,-2.92126,6.19973
0.0709881,-2.92265,6.19901
0.0674993,-2.92417,6.19853
0.0639261,-2.92573,6.19805
0.0604549,-2.92724,6.19758
0.0523758,-2.93073,6.19662
0.0489098,-2.93223,6.19616
0.045359,-2.93376,6.19569
0.0373384,-2.93738,6.19523
0.0339653,-2.93905,6.19528
0.0306007,-2.9407,6.19533
0.0272426,-2.94234,6.1954
0.0238898,-2.94397,6.19547
0.0156537,-2.9475,6.19505
0.0123093,-2.9491,6.19514
0.00906905,-2.95064,6.19525
0.000910841,-2.95401,6.19487
-0.00242194,-2.95555,6.19499
-0.0057457,-2.95708,6.19513
-0.00915875,-2.95863,6.19526
-0.0123686,-2.9601,6.19544
-0.0158327,-2.96126,6.19504
-0.0192859,-2.96243,6.19465
-0.0277152,-2.96531,6.19374
-0.0310552,-2.96644,6.19336
-0.0344828,-2.96761,6.19298
-0.0379997,-2.9688,6.1926
-0.0413098,-2.96992,6.19224
-0.0496361,-2.97269,6.19137
-0.0579728,-2.97543,6.1905
-0.0613601,-2.97656,6.19014
-0.0697022,-2.97923,6.18927
-0.0730754,-2.98032,6.18891
-0.0814253,-2.98293,6.18805
-0.0897917,-2.9855,6.18718
-0.0931506,-2.98655,6.18683
-0.0964982,-2.98761,6.18648
-0.10516,-2.98948,6.1845
-0.108784,-2.9899,6.18302
-0.112394,-2.99034,6.18153
-0.115986,-2.9908,6.18005
-0.119562,-2.99127,6.17856
-0.128183,-2.99325,6.17655
-0.136811,-2.99524,6.17451
-0.140355,-2.99575,6.17296
-0.143888,-2.99627,6.17141
-0.147409,-2.99681,6.16986
-0.150917,-2.99737,6.16831
-0.154409,-2.99794,6.16675
-0.158049,-2.99816,6.16455
-0.166786,-3.00038,6.16269
-0.170183,-3.00097,6.16135
-0.173673,-3.0016,6.15999
-0.177257,-3.00228,6.15862
-0.180619,-3.00292,6.15727
-0.189347,-3.00497,6.15494
-0.1929,-3.00542,6.1531
-0.19644,-3.0059,6.15125
-0.205165,-3.00806,6.14887
-0.208683,-3.00857,6.14697
-0.21219,-3.0091,6.14507
-0.215684,-3.00966,6.14315
-0.224308,-3.01229,6.14149
-0.227792,-3.01325,6.14032
-0.23632,-3.01587,6.13865
-0.244968,-3.01852,6.13694
-0.248331,-3.01948,6.13572
-0.251686,-3.02046,6.13451
-0.255032,-3.02144,6.13329
-0.258369,-3.02244,6.13207
-0.261694,-3.02346,6.13084
-0.265008,-3.02448,6.12961
-0.273664,-3.02727,6.12786
-0.276964,-3.02831,6.1266
-0.285639,-3.03111,6.12482
-0.288932,-3.03218,6.12353
-0.297627,-3.03501,6.12173
-0.300909,-3.0361,6.12042
-0.304293,-3.03726,6.11909
-0.307562,-3.0384,6.11777
-0.310713,-3.03953,6.11646
-0.313966,-3.04072,6.11514
-0.317214,-3.04192,6.11381
-0.325985,-3.04483,6.11178
-0.329265,-3.04597,6.11025
-0.332537,-3.04714,6.10871
-0.336,-3.04851,6.10738
-0.339015,-3.04974,6.10608
-0.342248,-3.05108,6.10477
-0.345476,-3.05244,6.10345
-0.348698,-3.05381,6.10212
-0.352029,-3.05525,6.10079
-0.355033,-3.05702,6.10043
-0.358144,-3.05883,6.10007
-0.361253,-3.06065,6.09972
-0.36436,-3.06248,6.09937
-0.373113,-3.06616,6.09852
-0.376283,-3.06784,6.0979
-0.385132,-3.07136,6.09678
-0.388309,-3.07306,6.09616
-0.391483,-3.07477,6.09554
-0.394654,-3.0765,6.09493
-0.397914,-3.07838,6.09456
-0.40669,-3.08197,6.09371
-0.409842,-3.08383,6.09335
-0.418772,-3.08742,6.09249
-0.421931,-3.08929,6.09215
-0.425204,-3.09118,6.0918
-0.434065,-3.09472,6.09097
-0.443074,-3.09826,6.09014
-0.446296,-3.10047,6.09055
-0.449283,-3.1026,6.09099
