x,y,theta
-0.386301,-2.47503,6.06726
-0.388941,-2.4773,6.06691
-0.394445,-2.4819,6.06606
-0.397123,-2.48415,6.06571
-0.399816,-2.4864,6.06535
-0.402577,-2.48868,6.06497
-0.408155,-2.49317,6.06409
-0.410887,-2.49542,6.0638
-0.413631,-2.49766,6.0635
-0.416387,-2.49989,6.0632
-0.419154,-2.50211,6.0629
-0.424919,-2.50663,6.06217
-0.427715,-2.50887,6.06194
-0.43051,-2.51115,6.06183
-0.43636,-2.51566,6.06122
-0.439192,-2.51791,6.06111
-0.442037,-2.52015,6.061
-0.444954,-2.52243,6.0609
-0.447757,-2.52461,6.06081
-0.450638,-2.52683,6.0607
-0.45353,-2.52904,6.06059
-0.459571,-2.53339,6.06
-0.462495,-2.53557,6.0599
-0.46543,-2.53774,6.0598
-0.471563,-2.542,6.0592
-0.477746,-2.54622,6.0586
-0.480749,-2.54833,6.05849
-0.483766,-2.55043,6.05838
-0.486793,-2.55251,6.05826
-0.493097,-2.55662,6.05765
-0.496159,-2.55867,6.05754
-0.499227,-2.56074,6.05748
-0.502307,-2.56278,6.05741
-0.505404,-2.56482,6.05734
-0.50853,-2.5668,6.05718
-0.511735,-2.56879,6.05701
-0.514818,-2.57068,6.05686
-0.521344,-2.57452,6.05619
-0.527918,-2.57832,6.05551
-0.531126,-2.58021,6.05535
-0.534357,-2.58206,6.05513
-0.541021,-2.58577,6.05447
-0.547727,-2.58944,6.05381
-0.551008,-2.59126,6.05364
-0.554299,-2.59308,6.05347
-0.557596,-2.59488,6.0533
-0.560905,-2.59666,6.05313
-0.56422,-2.59843,6.05295
-0.567548,-2.60018,6.05275
-0.570884,-2.60192,6.05257
-0.57423,-2.60364,6.05238
-0.581134,-2.60707,6.0517
-0.584511,-2.60876,6.0515
-0.587887,-2.6105,6.05142
-0.591295,-2.61215,6.05124
-0.594708,-2.61381,6.0511
-0.601736,-2.61708,6.05046
-0.605166,-2.61875,6.05044
-0.608682,-2.62042,6.05039
-0.612065,-2.62201,6.05035
-0.615599,-2.62365,6.05029
-0.618997,-2.6252,6.05025
-0.62255,-2.6268,6.05019
-0.633313,-2.63133,6.04915
-0.636829,-2.63284,6.04909
-0.644061,-2.6358,6.04857
-0.647618,-2.63723,6.04844
