x,y,theta
0.85494,-1.57432,6.28711
0.856543,-1.57821,6.28592
0.860637,-1.58658,6.28506
0.86419,-1.5948,6.28351
0.865816,-1.59885,6.28287
0.86744,-1.6029,6.28224
0.869269,-1.60704,6.28211
0.871097,-1.61115,6.28199
0.872975,-1.61535,6.28191
0.874774,-1.61935,6.28184
0.876609,-1.62342,6.28177
0.877951,-1.62727,6.28098
0.879291,-1.63111,6.28019
0.881992,-1.6392,6.27817
0.882824,-1.64285,6.27663
0.883223,-1.64632,6.27444
0.885736,-1.65458,6.27256
0.886492,-1.65836,6.27116
0.88732,-1.66203,6.27011
0.888182,-1.6658,6.26904
0.889043,-1.66955,6.26796
0.891417,-1.67797,6.26614
0.894028,-1.68661,6.26502
0.896115,-1.69509,6.26316
0.896863,-1.69888,6.26243
0.897612,-1.70266,6.26168
0.899847,-1.71134,6.26039
0.900572,-1.71511,6.25958
0.9013,-1.71887,6.25875
0.902967,-1.72741,6.25667
0.904843,-1.73617,6.25522
0.905342,-1.7399,6.25425
0.906128,-1.74378,6.25397
0.90941,-1.75784,6.25252
0.910406,-1.76188,6.25286
0.911407,-1.7659,6.25318
0.912406,-1.76989,6.25349
0.914555,-1.77901,6.25325
0.91696,-1.78835,6.25381
0.917806,-1.79238,6.25413
0.918618,-1.79618,6.25446
0.919474,-1.80017,6.25474
0.920294,-1.80393,6.25503
0.92211,-1.81293,6.25475
0.922929,-1.81674,6.25496
0.923441,-1.82039,6.25464
0.923976,-1.82413,6.25428
0.924477,-1.82764,6.25392
0.926168,-1.83665,6.25381
0.926597,-1.84024,6.25357
0.927363,-1.84413,6.25413
0.927996,-1.84772,6.25451
0.928656,-1.85142,6.25486
0.929631,-1.86018,6.25392
0.930526,-1.86876,6.25294
0.931381,-1.87747,6.25189
0.932453,-1.88638,6.2515
0.933471,-1.8953,6.25106
0.934221,-1.89915,6.25193
0.934973,-1.90296,6.25278
0.936212,-1.91202,6.25307
0.936948,-1.91579,6.25383
0.937764,-1.91957,6.25478
0.938147,-1.92309,6.25498
0.939229,-1.93205,6.25546
0.939912,-1.93575,6.25642
0.940927,-1.94466,6.25682
0.941887,-1.95355,6.25717
0.94271,-1.95731,6.2584
0.943105,-1.96081,6.2589
0.943708,-1.96948,6.25884
0.944013,-1.9729,6.25911
0.944616,-1.98172,6.25923
0.944694,-1.98501,6.25921
0.945081,-1.9884,6.26
0.945052,-1.99163,6.26004
0.945028,-1.99484,6.26004
0.945015,-1.99804,6.26001
0.945018,-2.00123,6.25996
0.945034,-2.00441,6.25986
0.945043,-2.01277,6.2592
0.945003,-2.02115,6.25846
0.945021,-2.02433,6.2582
0.945053,-2.02751,6.25789
0.945093,-2.03069,6.25756
0.944723,-2.0336,6.25647
0.944267,-2.04184,6.25498
0.943554,-2.04457,6.25323
0.942859,-2.04732,6.25144
0.941946,-2.05544,6.24905
0.941365,-2.05832,6.24738
0.9408,-2.06122,6.24567
0.940481,-2.06432,6.24458
0.940177,-2.06744,6.24345
0.939699,-2.07618,6.24217
0.939483,-2.07939,6.24123
0.93928,-2.08262,6.24024
0.938667,-2.09141,6.23867
0.938001,-2.10025,6.23701
0.937286,-2.10915,6.23526
0.937362,-2.11269,6.23481
0.937314,-2.11614,6.23409
0.936766,-2.12547,6.23305
0.93642,-2.12867,6.23178
0.93607,-2.13199,6.23046
0.935062,-2.14107,6.22855
0.93427,-2.15055,6.22737
0.93423,-2.15406,6.22668
0.934466,-2.15793,6.22678
0.934714,-2.16179,6.22684
0.934975,-2.16567,6.22687
0.934398,-2.17536,6.22633
0.933845,-2.18514,6.22597
0.933229,-2.19494,6.22554
0.933784,-2.1994,6.22639
0.934028,-2.20311,6.22654
0.934241,-2.20706,6.22664
0.934443,-2.21113,6.2267
0.933704,-2.22084,6.22647
0.934009,-2.22488,6.22671
0.934593,-2.22915,6.22775
0.934015,-2.2392,6.22823
0.934842,-2.24368,6.22996
0.93565,-2.24827,6.23165
0.935254,-2.25832,6.23282
0.936077,-2.26277,6.23446
0.936908,-2.26721,6.23608
0.936042,-2.27713,6.23653
0.936647,-2.28127,6.23771
0.937228,-2.28552,6.23887
0.937859,-2.2898,6.24016
0.938497,-2.29407,6.24143
0.937761,-2.30396,6.24246
0.936858,-2.31376,6.24327
0.937585,-2.31814,6.24491
0.938317,-2.32252,6.24655
0.939055,-2.32687,6.24817
0.939413,-2.33093,6.24905
0.938121,-2.34036,6.2494
0.938479,-2.34443,6.25022
0.939105,-2.34874,6.25186
0.937607,-2.35808,6.25224
0.937846,-2.36211,6.2531
0.937886,-2.36597,6.25354
0.937937,-2.36984,6.25397
0.937995,-2.37372,6.25437
0.938058,-2.37759,6.25476
0.936245,-2.38675,6.25461
0.936487,-2.39082,6.25552
0.936698,-2.39499,6.2564
0.935274,-2.40444,6.2576
0.935395,-2.40845,6.25857
0.933592,-2.41775,6.25936
0.931356,-2.42673,6.25939
0.929066,-2.43571,6.25938
0.928898,-2.43957,6.25986
0.928739,-2.44345,6.26033
0.92822,-2.44703,6.26007
0.927668,-2.45073,6.25977
0.924964,-2.45935,6.25895
0.922405,-2.46836,6.25886
0.921764,-2.47196,6.25854
0.921131,-2.47558,6.25821
0.920508,-2.47922,6.25785
0.920141,-2.48313,6.2583
0.919784,-2.48706,6.25874
0.919497,-2.49105,6.25936
0.919219,-2.49506,6.25998
0.919086,-2.49921,6.26105
0.918957,-2.50337,6.26211
0.918837,-2.50753,6.26317
0.91872,-2.51169,6.26422
0.918846,-2.5161,6.26608
0.918924,-2.52059,6.26793
0.919116,-2.52488,6.26984
0.916334,-2.53386,6.27061
0.91616,-2.53797,6.27188
0.91566,-2.5418,6.27248
0.912593,-2.55058,6.273
0.911861,-2.55425,6.2733
0.911142,-2.55794,6.27359
0.910434,-2.56165,6.27388
0.909733,-2.56536,6.27416
0.908725,-2.56882,6.27379
0.90792,-2.5725,6.27407
0.904271,-2.58094,6.27382
0.903653,-2.58486,6.2747
0.899771,-2.59317,6.27433
0.899038,-2.59705,6.27527
0.898311,-2.60094,6.27621
0.897533,-2.60493,6.27714
0.893851,-2.61334,6.27756
0.893208,-2.61734,6.27879
0.89257,-2.62134,6.28002
0.891938,-2.62533,6.28126
0.890963,-2.62901,6.28178
