x,y,theta
-0.484976,-2.42986,6.0299
-0.487446,-2.43221,6.02953
-0.489932,-2.43454,6.02915
-0.492486,-2.43692,6.02875
-0.497771,-2.44174,6.02782
-0.50029,-2.44411,6.02757
-0.502824,-2.44648,6.02731
-0.505369,-2.44883,6.02703
-0.507926,-2.45117,6.02675
-0.513385,-2.45612,6.02614
-0.515964,-2.45851,6.02602
-0.518535,-2.46098,6.02609
-0.524079,-2.46593,6.02566
-0.526689,-2.46837,6.02573
-0.52931,-2.4708,6.02579
-0.532003,-2.47327,6.02584
-0.534586,-2.47562,6.0259
-0.537246,-2.478,6.02594
-0.539917,-2.48038,6.02597
-0.54566,-2.48513,6.0255
-0.548367,-2.48747,6.02551
-0.551085,-2.48979,6.02552
-0.556924,-2.49444,6.02502
-0.562816,-2.49905,6.02451
-0.565605,-2.50131,6.02449
-0.568409,-2.50355,6.02446
-0.571223,-2.50578,6.02442
-0.577243,-2.51026,6.02387
-0.580093,-2.51246,6.02382
-0.582942,-2.5147,6.0239
-0.585803,-2.51692,6.02398
-0.588682,-2.51913,6.02405
-0.591602,-2.52123,6.02396
-0.594599,-2.52335,6.02385
-0.597479,-2.52536,6.02375
-0.603733,-2.52955,6.02313
-0.610034,-2.5337,6.02249
-0.613034,-2.53574,6.02241
-0.616072,-2.53767,6.02218
-0.622472,-2.54174,6.02161
-0.628918,-2.54578,6.02103
-0.632002,-2.54773,6.02094
-0.635095,-2.54968,6.02084
-0.638195,-2.55161,6.02074
-0.641307,-2.55352,6.02062
-0.644425,-2.55541,6.0205
-0.647555,-2.55728,6.02036
-0.650695,-2.55914,6.02022
-0.653845,-2.56099,6.02006
-0.660498,-2.56477,6.0194
-0.663679,-2.56659,6.01923
-0.666856,-2.56848,6.01925
-0.670069,-2.57026,6.01912
-0.673282,-2.57208,6.01912
-0.680057,-2.57574,6.01862
-0.683284,-2.57761,6.01881
-0.686599,-2.57947,6.01894
-0.689782,-2.58123,6.01908
-0.693116,-2.58304,6.01919
-0.696315,-2.58476,6.01932
-0.699667,-2.58653,6.01942
-0.710132,-2.59163,6.01852
-0.713451,-2.59331,6.01862
-0.720435,-2.59665,6.01828
-0.723791,-2.59825,6.01834
-0.727155,-2.59983,6.01839
-0.734296,-2.60303,6.01792
-0.737607,-2.60456,6.01803
-0.741,-2.6061,6.01812
-0.748133,-2.60917,6.01771
-0.751563,-2.61064,6.01774
-0.755078,-2.61214,6.01776
-0.762227,-2.61498,6.0172
-0.769484,-2.61779,6.01661
-0.772981,-2.61914,6.01653
-0.776484,-2.62047,6.01644
-0.779994,-2.62179,6.01635
-0.783589,-2.62312,6.01625
-0.787038,-2.62438,6.01616
-0.79057,-2.62565,6.01605
-0.794122,-2.62687,6.01588
-0.797761,-2.6281,6.01569
-0.80125,-2.62927,6.01551
-0.804823,-2.63044,6.01532
-0.812267,-2.63287,6.01462
-0.81586,-2.63402,6.01441
-0.819538,-2.63517,6.0142
-0.826962,-2.63749,6.01349
-0.830585,-2.63858,6.01326
-0.834213,-2.63966,6.01304
-0.83786,-2.64067,6.01271
-0.841511,-2.64173,6.01251
-0.845245,-2.6428,6.0123
-0.849065,-2.64388,6.01208
-0.852496,-2.64484,6.01191
-0.85617,-2.64585,6.0117
-0.863812,-2.64794,6.01098
-0.867511,-2.64892,6.01075
-0.871219,-2.64987,6.01048
-0.87493,-2.65084,6.0103
-0.878646,-2.6518,6.01012
-0.886365,-2.65374,6.00943
-0.890109,-2.6546,6.00915
-0.893859,-2.65545,6.00887
-0.901643,-2.65724,6.00808
-0.905417,-2.65805,6.00779
-0.909197,-2.65886,6.00749
-0.912978,-2.65964,6.00719
-0.916764,-2.66041,6.00688
-0.920553,-2.66116,6.00657
-0.924347,-2.66189,6.00625
-0.928145,-2.66262,6.00593
-0.931949,-2.66333,6.00562
-0.939834,-2.66494,6.00499
-0.943733,-2.66572,6.00484
-0.947472,-2.66646,6.00471
-0.951383,-2.6672,6.00455
-0.95924,-2.66864,6.00391
-0.963083,-2.66933,6.00376
-0.966935,-2.67001,6.0036
-0.970791,-2.67068,6.00344
-0.974651,-2.67132,6.00328
-0.978514,-2.67195,6.00311
-0.986608,-2.67322,6.00243
-0.994555,-2.67442,6.00176
-0.998533,-2.675,6.00157
-1.00235,-2.67556,6.00139
-1.00626,-2.67611,6.0012
-1.01018,-2.67657,6.00088
-1.01411,-2.67703,6.00056
-1.01804,-2.67747,6.00023
-1.02617,-2.67839,5.99939
-1.03012,-2.6788,5.99905
-1.03407,-2.67922,5.99878
-1.04231,-2.68008,5.99799
-1.04619,-2.68045,5.99771
-1.05016,-2.68081,5.99742
-1.05835,-2.68154,5.99662
-1.06233,-2.6818,5.99621
-1.06633,-2.68205,5.9958
-1.07456,-2.68253,5.99472
-1.07858,-2.68265,5.99414
-1.08261,-2.68267,5.9934
-1.09089,-2.68304,5.99228
-1.09492,-2.68309,5.99166
-1.09897,-2.68313,5.99102
-1.10302,-2.68317,5.99038
-1.10708,-2.6832,5.98973
-1.1154,-2.68347,5.98857
-1.11947,-2.68348,5.9879
-1.12353,-2.68348,5.98723
-1.1276,-2.68348,5.98654
-1.13168,-2.68343,5.98579
-1.14015,-2.68357,5.9845
-1.14845,-2.68367,5.98322
-1.15685,-2.68379,5.982
-1.16527,-2.68386,5.98076
-1.17371,-2.6839,5.97951
-1.17782,-2.68378,5.97875
-1.18193,-2.68373,5.97818
-1.19039,-2.68378,5.97711
-1.19452,-2.68373,5.97656
-1.19873,-2.68365,5.97597
-1.20278,-2.68361,5.97555
-1.20692,-2.68354,5.97507
-1.21542,-2.6835,5.97409
-1.21957,-2.6834,5.97359
-1.22382,-2.68329,5.97308
-1.22789,-2.68317,5.97259
-1.23214,-2.68304,5.97208
-1.23622,-2.6829,5.97158
