xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0635088,-2.05362,6.21665,0.399715,0.0894449,-0.0448762,-2.04669,6.21669
-0.0638923,-2.05378,6.21613,0.399715,0.089445,-0.0446926,-2.0482,6.2162
-0.0643629,-2.05416,6.2156,0.399715,0.089445,-0.0443987,-2.04895,6.21597
-0.0648953,-2.05474,6.21507,0.399716,0.089445,-0.0450086,-2.05043,6.21534
-0.0655422,-2.05584,6.21454,0.399716,0.0894451,-0.0447583,-2.0512,6.21539
-0.0659872,-2.05703,6.21401,0.399716,0.0894452,-0.0456874,-2.05271,6.21464
-0.0664488,-2.05867,6.21349,0.399717,0.0894452,-0.0469834,-2.05344,6.21376
-0.0671496,-2.0598,6.21296,0.399718,0.0894453,-0.0480264,-2.05498,6.21263
-0.0683194,-2.06053,6.21243,0.399719,0.0894455,-0.04833,-2.05572,6.21222
-0.0695451,-2.06064,6.2119,0.39972,0.0894456,-0.0489682,-2.05732,6.21181
-0.0709098,-2.06074,6.21137,0.399722,0.0894458,-0.0491836,-2.0581,6.21153
-0.0720418,-2.06065,6.21084,0.399725,0.089446,-0.0490381,-2.0597,6.21114
-0.0730291,-2.06103,6.21032,0.399728,0.0894462,-0.0492054,-2.06047,6.21077
-0.0741011,-2.06127,6.20979,0.399731,0.0894465,-0.0364051,-2.06305,6.21323
-0.0749849,-2.06182,6.20926,0.399734,0.0894469,-0.050123,-2.06454,6.20957
-0.0763489,-2.0633,6.2082,0.399738,0.0894474,-0.0526615,-2.06692,6.20758
-0.0773116,-2.06546,6.20714,0.399743,0.0894481,-0.0537364,-2.06942,6.20658
-0.0782059,-2.06766,6.20609,0.399747,0.089449,-0.0540177,-2.07028,6.2064
-0.0790114,-2.06868,6.20556,0.399752,0.0894499,-0.0538971,-2.07196,6.20611
-0.0797646,-2.0699,6.20503,0.399757,0.0894509,-0.0537377,-2.07283,6.20579
-0.0803474,-2.07136,6.2045,0.399761,0.0894519,-0.0545855,-2.07452,6.20501
-0.0808226,-2.07147,6.20397,0.399766,0.0894531,-0.0548047,-2.07537,6.20469
-0.0815536,-2.07117,6.20344,0.399771,0.0894543,-0.0553052,-2.07713,6.20444
-0.0820873,-2.07191,6.20291,0.399777,0.0894557,-0.0555757,-2.07799,6.20417
-0.0823179,-2.0732,6.20237,0.399782,0.0894572,-0.0569696,-2.07971,6.20299
-0.0827355,-2.07489,6.20185,0.399787,0.0894587,-0.0590637,-2.0823,6.20134
-0.0834573,-2.07811,6.2008,0.399792,0.0894605,-0.0589219,-2.08503,6.20118
-0.0837465,-2.081,6.19974,0.399796,0.0894624,-0.060211,-2.0877,6.19997
-0.0841026,-2.08397,6.19869,0.399799,0.0894644,-0.0610972,-2.09043,6.19931
-0.0846405,-2.08677,6.19763,0.399802,0.0894665,-0.0621511,-2.0932,6.19829
-0.0854288,-2.08939,6.19658,0.399805,0.0894688,-0.0483528,-2.09617,6.20047
-0.0858599,-2.09087,6.19603,0.399808,0.0894711,-0.0653193,-2.09687,6.19602
-0.0861198,-2.09219,6.19552,0.39981,0.0894735,-0.0653289,-2.09878,6.19607
-0.0871343,-2.09412,6.19447,0.399813,0.089476,-0.0656997,-2.09971,6.19567
-0.0878594,-2.09475,6.19393,0.399816,0.0894786,-0.066429,-2.10161,6.19495
-0.0887767,-2.09574,6.19341,0.399819,0.0894813,-0.0667829,-2.10256,6.19461
-0.0900653,-2.09652,6.19289,0.399822,0.0894841,-0.067498,-2.10449,6.19397
-0.0916204,-2.09686,6.19236,0.399826,0.089487,-0.0678759,-2.10544,6.19398
-0.092803,-2.09787,6.19183,0.39983,0.08949,-0.068656,-2.10737,6.19323
-0.0937864,-2.09915,6.1913,0.399834,0.0894931,-0.042852,-2.11063,6.19878
-0.0949365,-2.10008,6.19077,0.399839,0.0894963,-0.0718217,-2.11121,6.19109
-0.0961745,-2.1009,6.19025,0.399844,0.0894996,-0.0718684,-2.11324,6.19114
-0.0978355,-2.10339,6.1892,0.399849,0.0895031,-0.0718787,-2.11419,6.1909
-0.0989229,-2.10483,6.18867,0.399855,0.0895068,-0.0735937,-2.11716,6.18967
-0.100619,-2.10664,6.18813,0.399861,0.0895105,-0.0613219,-2.12037,6.19201
-0.10277,-2.1095,6.18709,0.399868,0.0895145,-0.0758058,-2.12225,6.18824
-0.105012,-2.11226,6.18604,0.399876,0.0895187,-0.0762384,-2.12319,6.18793
-0.106191,-2.11402,6.18551,0.399884,0.089523,-0.0786668,-2.1262,6.18638
-0.107306,-2.11555,6.18499,0.399893,0.0895274,-0.0792179,-2.12928,6.18609
-0.108852,-2.11801,6.18394,0.399902,0.089532,-0.0802627,-2.13137,6.18524
-0.11093,-2.12115,6.18288,0.399911,0.0895368,-0.0817557,-2.13446,6.18421
-0.113646,-2.12314,6.18184,0.399922,0.0895419,-0.0822491,-2.13549,6.18388
-0.115494,-2.12404,6.18132,0.399933,0.089547,-0.0833058,-2.13762,6.18342
-0.117474,-2.12485,6.18079,0.399945,0.0895523,-0.084851,-2.14078,6.18232
-0.119707,-2.12798,6.17973,0.399958,0.0895578,-0.0867548,-2.14395,6.18111
-0.121803,-2.13081,6.1787,0.399971,0.0895636,-0.0869013,-2.14502,6.18099
-0.122998,-2.13254,6.17817,0.399985,0.0895695,-0.0885069,-2.14712,6.18014
-0.124053,-2.13385,6.17765,0.399998,0.0895755,-0.0620774,-2.1509,6.18591
-0.125244,-2.13525,6.17711,0.400012,0.0895817,-0.0904248,-2.15146,6.17884
-0.126507,-2.13629,6.17659,0.400027,0.0895879,-0.0919888,-2.1536,6.17822
-0.128335,-2.13918,6.17556,0.400041,0.0895944,-0.0926007,-2.15471,6.17782
-0.129451,-2.14093,6.17503,0.400056,0.0896011,-0.0937031,-2.15691,6.17722
-0.130393,-2.14307,6.1745,0.40007,0.0896078,-0.0948106,-2.16023,6.17647
-0.132134,-2.14623,6.17347,0.400085,0.0896148,-0.0961872,-2.16126,6.17576
-0.13292,-2.14783,6.17295,0.4001,0.0896219,-0.0981588,-2.16458,6.1748
-0.133952,-2.14976,6.17243,0.400114,0.0896291,-0.0995087,-2.16685,6.17409
-0.135835,-2.15225,6.17138,0.400129,0.0896366,-0.100138,-2.16792,6.17376
-0.136534,-2.15311,6.17087,0.400144,0.0896442,-0.0883826,-2.1716,6.17601
-0.137429,-2.15417,6.17035,0.400159,0.0896519,-0.103387,-2.17359,6.17217
-0.139185,-2.15653,6.16931,0.400174,0.0896599,-0.103629,-2.17703,6.17196
-0.140792,-2.15929,6.16826,0.400189,0.0896682,-0.104628,-2.17813,6.17145
-0.141492,-2.16051,6.16775,0.400203,0.0896767,-0.0939125,-2.18187,6.17332
-0.142622,-2.1623,6.16723,0.400218,0.0896853,-0.109229,-2.18383,6.1693
-0.144851,-2.16599,6.1662,0.400233,0.0896943,-0.109961,-2.18497,6.16895
-0.145787,-2.1689,6.16568,0.400248,0.0897033,-0.111439,-2.18728,6.16822
-0.147103,-2.1712,6.16516,0.400264,0.0897125,-0.0852144,-2.19143,6.17404
-0.148321,-2.17316,6.16464,0.400279,0.0897219,-0.113864,-2.19189,6.16715
-0.149454,-2.1748,6.16413,0.400294,0.0897313,-0.101175,-2.19579,6.17003
-0.151073,-2.17898,6.1631,0.400309,0.089741,-0.117085,-2.19774,6.16541
-0.152622,-2.18303,6.16207,0.400323,0.0897508,-0.0918207,-2.20194,6.17126
-0.15344,-2.18626,6.16156,0.400338,0.0897607,-0.120433,-2.2024,6.16426
-0.154401,-2.18902,6.16105,0.400351,0.0897707,-0.12292,-2.20597,6.1631
-0.156506,-2.19344,6.16002,0.400365,0.0897808,-0.124516,-2.20835,6.16246
-0.158833,-2.19757,6.159,0.400379,0.089791,-0.124791,-2.20952,6.16236
-0.159869,-2.19984,6.15849,0.400393,0.0898011,-0.124855,-2.21199,6.1624
-0.161063,-2.20154,6.15798,0.400407,0.0898113,-0.127164,-2.21556,6.16123
-0.163648,-2.20539,6.15696,0.400421,0.0898215,-0.102327,-2.21992,6.16663
-0.165199,-2.20741,6.15645,0.400435,0.0898318,-0.117745,-2.22073,6.16279
-0.166833,-2.20904,6.15594,0.400449,0.089842,-0.105165,-2.22353,6.16551
-0.168571,-2.21058,6.15542,0.400464,0.0898523,-0.120867,-2.22429,6.16159
-0.170157,-2.21253,6.15493,0.400479,0.0898625,-0.136189,-2.22635,6.15738
-0.173067,-2.21614,6.1539,0.400495,0.0898728,-0.13647,-2.22759,6.15752
-0.174444,-2.21859,6.15341,0.40051,0.089883,-0.136695,-2.23007,6.15756
-0.175764,-2.22002,6.1529,0.400525,0.0898933,-0.137463,-2.23132,6.15729
-0.176942,-2.22175,6.15239,0.400541,0.0899036,-0.126,-2.23541,6.15933
-0.178357,-2.22403,6.15188,0.400556,0.0899138,-0.142835,-2.23736,6.15506
-0.181055,-2.22817,6.15088,0.400572,0.089924,-0.145825,-2.24102,6.15401
-0.183822,-2.2317,6.14987,0.400588,0.0899342,-0.146778,-2.24219,6.15365
-0.185193,-2.23376,6.14937,0.400604,0.0899444,-0.149007,-2.24593,6.15256
-0.186156,-2.23552,6.14887,0.400619,0.0899545,-0.149403,-2.24854,6.15275
-0.188042,-2.23906,6.14787,0.400634,0.0899646,-0.150209,-2.24973,6.1525
-0.189014,-2.24066,6.14736,0.400649,0.0899746,-0.151913,-2.25223,6.15191
-0.189655,-2.24296,6.14686,0.400663,0.0899847,-0.152841,-2.25349,6.15129
-0.190655,-2.24464,6.14636,0.400677,0.0899947,-0.15529,-2.25595,6.15041
-0.19134,-2.24698,6.14586,0.400691,0.0900046,-0.156757,-2.25715,6.15
-0.192453,-2.24863,6.14536,0.400705,0.0900146,-0.159952,-2.26083,6.14896
-0.193374,-2.25068,6.14487,0.400718,0.0900245,-0.16233,-2.26466,6.14782
