xji,yji,thetaji,vj,wj
-0.0426788,-2.05665,6.22109,0.3,0.05
-0.0430111,-2.05683,6.22059,0.3,0.05
-0.0433853,-2.05728,6.22009,0.3,0.05
-0.0437754,-2.05795,6.21959,0.3,0.05
-0.0442383,-2.05919,6.21909,0.3,0.05
-0.0444458,-2.06055,6.21859,0.3,0.05
-0.0446238,-2.06241,6.21809,0.3,0.05
-0.044996,-2.06379,6.21759,0.3,0.05
-0.045808,-2.06479,6.21709,0.3,0.05
-0.0466265,-2.06521,6.21659,0.3,0.05
-0.0475368,-2.06568,6.21609,0.3,0.05
-0.0481587,-2.06599,6.21559,0.3,0.05
-0.048581,-2.06684,6.21508,0.3,0.05
-0.0492411,-2.06724,6.21458,0.3,0.05
-0.0498742,-2.06821,6.21408,0.3,0.05
-0.0513521,-2.06987,6.21308,0.3,0.05
-0.0529786,-2.07113,6.21208,0.3,0.05
-0.054462,-2.07248,6.21108,0.3,0.05
-0.0557901,-2.07265,6.21058,0.3,0.05
-0.0570039,-2.07306,6.21008,0.3,0.05
-0.0579822,-2.07373,6.20957,0.3,0.05
-0.0587837,-2.07299,6.20907,0.3,0.05
-0.0597872,-2.07184,6.20857,0.3,0.05
-0.0605162,-2.07185,6.20807,0.3,0.05
-0.0610231,-2.07225,6.20755,0.3,0.05
-0.0616688,-2.07305,6.20706,0.3,0.05
-0.0631528,-2.07601,6.20606,0.3,0.05
-0.0641183,-2.07856,6.20505,0.3,0.05
-0.0650993,-2.08117,6.20405,0.3,0.05
-0.0659237,-2.08444,6.20305,0.3,0.05
-0.0669691,-2.08749,6.20204,0.3,0.05
-0.067649,-2.0894,6.20152,0.3,0.05
-0.0681193,-2.09112,6.20104,0.3,0.05
-0.0692916,-2.0934,6.20004,0.3,0.05
-0.0701649,-2.09438,6.19952,0.3,0.05
-0.0712035,-2.09572,6.19903,0.3,0.05
-0.0725894,-2.09684,6.19853,0.3,0.05
-0.0740526,-2.09745,6.19803,0.3,0.05
-0.0756491,-2.09862,6.19752,0.3,0.05
-0.0770019,-2.10008,6.19702,0.3,0.05
-0.0784891,-2.10118,6.19652,0.3,0.05
-0.0800308,-2.10218,6.19602,0.3,0.05
-0.0820606,-2.10462,6.19501,0.3,0.05
-0.0834915,-2.10605,6.19451,0.3,0.05
-0.0855532,-2.10788,6.194,0.3,0.05
-0.0880257,-2.11072,6.19301,0.3,0.05
-0.0905581,-2.11347,6.192,0.3,0.05
-0.0919707,-2.11528,6.1915,0.3,0.05
-0.0932879,-2.11687,6.191,0.3,0.05
-0.094993,-2.11934,6.19,0.3,0.05
-0.0972448,-2.12253,6.18898,0.3,0.05
-0.0990804,-2.12604,6.18799,0.3,0.05
-0.100356,-2.12838,6.18749,0.3,0.05
-0.10175,-2.13069,6.18699,0.3,0.05
-0.103668,-2.13454,6.18598,0.3,0.05
-0.105431,-2.13817,6.18499,0.3,0.05
-0.10648,-2.14006,6.18449,0.3,0.05
-0.107359,-2.14161,6.18399,0.3,0.05
-0.108345,-2.14331,6.18348,0.3,0.05
-0.109375,-2.14473,6.18298,0.3,0.05
-0.111192,-2.14752,6.18199,0.3,0.05
-0.112233,-2.1493,6.18148,0.3,0.05
-0.112921,-2.15114,6.18097,0.3,0.05
-0.114404,-2.15404,6.17998,0.3,0.05
-0.114863,-2.1555,6.17948,0.3,0.05
-0.115534,-2.15736,6.17898,0.3,0.05
-0.11706,-2.15979,6.17797,0.3,0.05
-0.117325,-2.16069,6.17748,0.3,0.05
-0.11775,-2.16187,6.17698,0.3,0.05
-0.119037,-2.16439,6.17598,0.3,0.05
-0.120314,-2.16682,6.17497,0.3,0.05
-0.120604,-2.16781,6.17448,0.3,0.05
-0.121298,-2.16946,6.17397,0.3,0.05
-0.123081,-2.17307,6.17297,0.3,0.05
-0.124414,-2.17575,6.17247,0.3,0.05
-0.125847,-2.1788,6.17197,0.3,0.05
-0.127151,-2.18155,6.17146,0.3,0.05
-0.128339,-2.18406,6.17097,0.3,0.05
-0.130392,-2.18745,6.16997,0.3,0.05
-0.132321,-2.19077,6.16897,0.3,0.05
-0.133437,-2.19341,6.16847,0.3,0.05
-0.134657,-2.19563,6.16797,0.3,0.05
-0.137012,-2.19952,6.16697,0.3,0.05
-0.139277,-2.20344,6.16597,0.3,0.05
-0.140178,-2.20558,6.16547,0.3,0.05
-0.141207,-2.2072,6.16497,0.3,0.05
-0.143622,-2.21099,6.16397,0.3,0.05
-0.145165,-2.21298,6.16347,0.3,0.05
-0.146758,-2.21465,6.16298,0.3,0.05
-0.148172,-2.21582,6.16247,0.3,0.05
-0.149384,-2.21744,6.16198,0.3,0.05
-0.151824,-2.22059,6.16097,0.3,0.05
-0.153021,-2.22263,6.16048,0.3,0.05
-0.154124,-2.22364,6.15998,0.3,0.05
-0.155417,-2.2247,6.15948,0.3,0.05
-0.156898,-2.22634,6.15897,0.3,0.05
-0.159631,-2.22982,6.15798,0.3,0.05
-0.162385,-2.23268,6.15698,0.3,0.05
-0.16367,-2.2344,6.15648,0.3,0.05
-0.164489,-2.23579,6.15598,0.3,0.05
-0.166181,-2.23892,6.15498,0.3,0.05
-0.166915,-2.24013,6.15448,0.3,0.05
-0.167493,-2.24188,6.15398,0.3,0.05
-0.168321,-2.24352,6.15348,0.3,0.05
-0.169302,-2.24502,6.15298,0.3,0.05
-0.170356,-2.24756,6.15248,0.3,0.05
-0.171045,-2.24969,6.15198,0.3,0.05
-0.172839,-2.25375,6.15098,0.3,0.05
-0.174981,-2.25748,6.14997,0.3,0.05
-0.17758,-2.26154,6.14898,0.3,0.05
-0.180105,-2.26591,6.14797,0.3,0.05
-0.182514,-2.27048,6.14699,0.3,0.05
-0.183509,-2.27348,6.14649,0.3,0.05
-0.184783,-2.27615,6.14599,0.3,0.05
-0.18621,-2.27798,6.14549,0.3,0.05
-0.18761,-2.28015,6.14499,0.3,0.05
-0.190933,-2.28416,6.14399,0.3,0.05
-0.192857,-2.28631,6.1435,0.3,0.05
-0.195072,-2.28848,6.14298,0.3,0.05
-0.198857,-2.29298,6.142,0.3,0.05
-0.200569,-2.2963,6.14148,0.3,0.05
-0.202308,-2.29947,6.141,0.3,0.05
-0.205794,-2.30486,6.14001,0.3,0.05
-0.207467,-2.30826,6.13951,0.3,0.05
-0.208557,-2.31146,6.13901,0.3,0.05
-0.209714,-2.31433,6.13852,0.3,0.05
-0.21082,-2.31684,6.13803,0.3,0.05
-0.21204,-2.32007,6.13753,0.3,0.05
-0.213153,-2.32295,6.13703,0.3,0.05
-0.216124,-2.3272,6.13604,0.3,0.05
-0.219084,-2.33164,6.13505,0.3,0.05
-0.222105,-2.33559,6.13405,0.3,0.05
-0.225257,-2.33935,6.13306,0.3,0.05
-0.228581,-2.34322,6.13206,0.3,0.05
-0.229967,-2.34487,6.13157,0.3,0.05
-0.231589,-2.34646,6.13107,0.3,0.05
-0.233054,-2.34805,6.13058,0.3,0.05
-0.234588,-2.35034,6.13008,0.3,0.05
-0.238275,-2.35475,6.12909,0.3,0.05
-0.240124,-2.35709,6.12859,0.3,0.05
-0.241975,-2.35988,6.1281,0.3,0.05
-0.243705,-2.36208,6.1276,0.3,0.05
-0.245008,-2.36393,6.12711,0.3,0.05
-0.246401,-2.36595,6.12662,0.3,0.05
-0.247894,-2.36761,6.12611,0.3,0.05
