xji,yji,thetaji,vj,wj
-0.0834064,-2.05535,6.21231,0.3,0.05
-0.0836978,-2.05551,6.21181,0.3,0.05
-0.0839973,-2.05593,6.21131,0.3,0.05
-0.0843056,-2.05657,6.21081,0.3,0.05
-0.08464,-2.05778,6.21031,0.3,0.05
-0.0849867,-2.05911,6.20981,0.3,0.05
-0.0853631,-2.06093,6.20931,0.3,0.05
-0.0857323,-2.06227,6.20881,0.3,0.05
-0.0860941,-2.06324,6.20831,0.3,0.05
-0.0864356,-2.06364,6.20781,0.3,0.05
-0.0867781,-2.06408,6.20731,0.3,0.05
-0.0871134,-2.06437,6.2068,0.3,0.05
-0.0874696,-2.06519,6.2063,0.3,0.05
-0.0878092,-2.06556,6.2058,0.3,0.05
-0.0881727,-2.0665,6.2053,0.3,0.05
-0.0889114,-2.06812,6.2043,0.3,0.05
-0.089643,-2.06937,6.2033,0.3,0.05
-0.0903829,-2.07071,6.2023,0.3,0.05
-0.0907145,-2.07088,6.2018,0.3,0.05
-0.0910534,-2.0713,6.20129,0.3,0.05
-0.0914029,-2.07198,6.20079,0.3,0.05
-0.0916888,-2.07125,6.20029,0.3,0.05
-0.0919432,-2.07011,6.19979,0.3,0.05
-0.0922336,-2.07011,6.19928,0.3,0.05
-0.0925437,-2.07051,6.19877,0.3,0.05
-0.0928559,-2.0713,6.19828,0.3,0.05
-0.0936536,-2.07428,6.19727,0.3,0.05
-0.0944665,-2.07685,6.19627,0.3,0.05
-0.0953099,-2.07946,6.19527,0.3,0.05
-0.0962164,-2.08273,6.19426,0.3,0.05
-0.0971533,-2.08578,6.19326,0.3,0.05
-0.0976399,-2.08766,6.19274,0.3,0.05
-0.0980935,-2.08934,6.19226,0.3,0.05
-0.0990674,-2.09161,6.19125,0.3,0.05
-0.0995323,-2.09256,6.19074,0.3,0.05
-0.0999994,-2.09387,6.19025,0.3,0.05
-0.100473,-2.09497,6.18974,0.3,0.05
-0.100926,-2.09557,6.18924,0.3,0.05
-0.101407,-2.09674,6.18874,0.3,0.05
-0.101907,-2.09819,6.18823,0.3,0.05
-0.102398,-2.09928,6.18773,0.3,0.05
-0.102889,-2.10028,6.18723,0.3,0.05
-0.10398,-2.10279,6.18622,0.3,0.05
-0.104507,-2.10421,6.18572,0.3,0.05
-0.105074,-2.10607,6.18521,0.3,0.05
-0.106241,-2.10902,6.18421,0.3,0.05
-0.107447,-2.11189,6.18321,0.3,0.05
-0.108047,-2.11373,6.18271,0.3,0.05
-0.108647,-2.11533,6.1822,0.3,0.05
-0.109906,-2.11791,6.1812,0.3,0.05
-0.111246,-2.12123,6.18019,0.3,0.05
-0.112618,-2.12486,6.1792,0.3,0.05
-0.113326,-2.12722,6.17869,0.3,0.05
-0.114049,-2.12955,6.17819,0.3,0.05
-0.115572,-2.13354,6.17718,0.3,0.05
-0.117105,-2.13729,6.17619,0.3,0.05
-0.117877,-2.13919,6.17568,0.3,0.05
-0.118642,-2.14073,6.17518,0.3,0.05
-0.119438,-2.14243,6.17467,0.3,0.05
-0.120214,-2.14386,6.17417,0.3,0.05
-0.121814,-2.14677,6.17318,0.3,0.05
-0.122631,-2.14855,6.17267,0.3,0.05
-0.123478,-2.15038,6.17216,0.3,0.05
-0.125153,-2.15338,6.17117,0.3,0.05
-0.125986,-2.1548,6.17067,0.3,0.05
-0.12685,-2.15663,6.17017,0.3,0.05
-0.128592,-2.15914,6.16915,0.3,0.05
-0.129397,-2.15999,6.16866,0.3,0.05
-0.130238,-2.16111,6.16816,0.3,0.05
-0.132004,-2.16368,6.16716,0.3,0.05
-0.133801,-2.16615,6.16614,0.3,0.05
-0.134627,-2.16705,6.16565,0.3,0.05
-0.135515,-2.16864,6.16515,0.3,0.05
-0.137421,-2.17229,6.16414,0.3,0.05
-0.138409,-2.17494,6.16364,0.3,0.05
-0.139441,-2.17796,6.16314,0.3,0.05
-0.140494,-2.18068,6.16262,0.3,0.05
-0.141513,-2.18315,6.16213,0.3,0.05
-0.143582,-2.18661,6.16113,0.3,0.05
-0.145683,-2.18998,6.16013,0.3,0.05
-0.146785,-2.19257,6.15962,0.3,0.05
-0.147877,-2.19476,6.15912,0.3,0.05
-0.150116,-2.19872,6.15812,0.3,0.05
-0.152405,-2.20271,6.15712,0.3,0.05
-0.153557,-2.20479,6.15662,0.3,0.05
-0.154685,-2.20635,6.15612,0.3,0.05
-0.157054,-2.21021,6.15511,0.3,0.05
-0.158244,-2.21219,6.15461,0.3,0.05
-0.159423,-2.21385,6.15411,0.3,0.05
-0.160594,-2.215,6.1536,0.3,0.05
-0.161759,-2.2166,6.15311,0.3,0.05
-0.164214,-2.21983,6.15209,0.3,0.05
-0.165432,-2.22184,6.1516,0.3,0.05
-0.166605,-2.22281,6.1511,0.3,0.05
-0.167786,-2.22386,6.1506,0.3,0.05
-0.169038,-2.2255,6.15009,0.3,0.05
-0.171567,-2.22908,6.14909,0.3,0.05
-0.174108,-2.23206,6.14809,0.3,0.05
-0.175382,-2.23377,6.14759,0.3,0.05
-0.176635,-2.23511,6.14709,0.3,0.05
-0.17925,-2.23827,6.14608,0.3,0.05
-0.180505,-2.23941,6.14558,0.3,0.05
-0.181808,-2.24109,6.14508,0.3,0.05
-0.18311,-2.24266,6.14457,0.3,0.05
-0.184409,-2.2441,6.14407,0.3,0.05
-0.185802,-2.24659,6.14357,0.3,0.05
-0.187174,-2.24863,6.14307,0.3,0.05
-0.190011,-2.25267,6.14206,0.3,0.05
-0.192893,-2.25639,6.14105,0.3,0.05
-0.195796,-2.26045,6.14006,0.3,0.05
-0.198829,-2.26481,6.13904,0.3,0.05
-0.201879,-2.26936,6.13805,0.3,0.05
-0.203476,-2.27225,6.13755,0.3,0.05
-0.205064,-2.27483,6.13705,0.3,0.05
-0.206595,-2.2766,6.13655,0.3,0.05
-0.208166,-2.27869,6.13604,0.3,0.05
-0.211366,-2.28273,6.13504,0.3,0.05
-0.212979,-2.28486,6.13454,0.3,0.05
-0.214667,-2.28704,6.13402,0.3,0.05
-0.217963,-2.29163,6.13304,0.3,0.05
-0.219808,-2.29492,6.13252,0.3,0.05
-0.221543,-2.29807,6.13204,0.3,0.05
-0.225128,-2.30351,6.13104,0.3,0.05
-0.227015,-2.30687,6.13054,0.3,0.05
-0.228934,-2.30999,6.13003,0.3,0.05
-0.23078,-2.31278,6.12954,0.3,0.05
-0.23264,-2.3152,6.12904,0.3,0.05
-0.234591,-2.31835,6.12854,0.3,0.05
-0.236528,-2.32113,6.12804,0.3,0.05
-0.240281,-2.32533,6.12704,0.3,0.05
-0.244107,-2.32971,6.12604,0.3,0.05
-0.247932,-2.3336,6.12504,0.3,0.05
-0.251783,-2.3373,6.12405,0.3,0.05
-0.255688,-2.34111,6.12305,0.3,0.05
-0.257636,-2.34266,6.12255,0.3,0.05
-0.259589,-2.34417,6.12205,0.3,0.05
-0.261547,-2.34567,6.12155,0.3,0.05
-0.26359,-2.34786,6.12105,0.3,0.05
-0.267683,-2.35223,6.12005,0.3,0.05
-0.26978,-2.3545,6.11956,0.3,0.05
-0.271945,-2.35723,6.11906,0.3,0.05
-0.274096,-2.35935,6.11855,0.3,0.05
-0.276141,-2.36109,6.11806,0.3,0.05
-0.278253,-2.363,6.11756,0.3,0.05
-0.280373,-2.36457,6.11705,0.3,0.05
-0.28245,-2.36635,6.11657,0.3,0.05
-0.284596,-2.36829,6.11607,0.3,0.05
-0.286813,-2.37042,6.11556,0.3,0.05
-0.288891,-2.37192,6.11507,0.3,0.05
-0.291028,-2.37352,6.11457,0.3,0.05
-0.293178,-2.37517,6.11407,0.3,0.05
-0.297473,-2.37854,6.11307,0.3,0.05
-0.299666,-2.38033,6.11258,0.3,0.05
-0.301853,-2.38169,6.11207,0.3,0.05
-0.306147,-2.3848,6.11108,0.3,0.05
-0.310543,-2.38815,6.11008,0.3,0.05
-0.312735,-2.38957,6.10958,0.3,0.05
-0.314954,-2.39116,6.10908,0.3,0.05
-0.319415,-2.39447,6.10808,0.3,0.05
-0.321638,-2.3959,6.10758,0.3,0.05
-0.324046,-2.39834,6.10707,0.3,0.05
-0.326395,-2.40052,6.10657,0.3,0.05
-0.328634,-2.40181,6.10607,0.3,0.05
-0.333234,-2.40551,6.10508,0.3,0.05
-0.335526,-2.40698,6.10458,0.3,0.05
-0.337883,-2.40886,6.10408,0.3,0.05
-0.340183,-2.41026,6.10358,0.3,0.05
-0.342484,-2.41162,6.10308,0.3,0.05
-0.347298,-2.41571,6.10208,0.3,0.05
-0.349694,-2.41749,6.10158,0.3,0.05
-0.352074,-2.41909,6.10108,0.3,0.05
-0.354497,-2.42093,6.10058,0.3,0.05
-0.356966,-2.42299,6.10009,0.3,0.05
-0.359542,-2.4254,6.09958,0.3,0.05
-0.361988,-2.4274,6.09909,0.3,0.05
-0.367017,-2.43158,6.09809,0.3,0.05
-0.36954,-2.43352,6.09759,0.3,0.05
-0.372134,-2.43584,6.09709,0.3,0.05
-0.377281,-2.44007,6.09609,0.3,0.05
-0.379846,-2.4419,6.09559,0.3,0.05
-0.382323,-2.4431,6.09509,0.3,0.05
-0.387543,-2.44719,6.09409,0.3,0.05
-0.390197,-2.44929,6.09359,0.3,0.05
-0.392866,-2.4514,6.09309,0.3,0.05
-0.395466,-2.45271,6.09258,0.3,0.05
-0.398022,-2.45427,6.0921,0.3,0.05
-0.403141,-2.4569,6.0911,0.3,0.05
-0.40554,-2.45713,6.0906,0.3,0.05
-0.408091,-2.4583,6.0901,0.3,0.05
-0.413238,-2.46087,6.0891,0.3,0.05
-0.415755,-2.46177,6.08859,0.3,0.05
-0.41833,-2.46299,6.08809,0.3,0.05
-0.423525,-2.46555,6.08709,0.3,0.05
-0.426028,-2.46628,6.08659,0.3,0.05
-0.428566,-2.4672,6.08609,0.3,0.05
-0.431069,-2.46791,6.08559,0.3,0.05
-0.433637,-2.46898,6.08509,0.3,0.05
-0.43627,-2.4704,6.08459,0.3,0.05
-0.439181,-2.47332,6.08408,0.3,0.05
-0.442137,-2.47555,6.08355,0.3,0.05
-0.444794,-2.47766,6.08308,0.3,0.05
-0.447669,-2.47981,6.08257,0.3,0.05
-0.450423,-2.48175,6.08208,0.3,0.05
-0.45616,-2.486,6.08108,0.3,0.05
-0.461966,-2.49029,6.08008,0.3,0.05
-0.464912,-2.49256,6.07958,0.3,0.05
-0.468013,-2.49528,6.07906,0.3,0.05
-0.470916,-2.49738,6.07857,0.3,0.05
-0.473972,-2.49994,6.07807,0.3,0.05
-0.477011,-2.5023,6.07757,0.3,0.05
-0.480063,-2.50464,6.07707,0.3,0.05
-0.48627,-2.50961,6.07608,0.3,0.05
-0.489491,-2.51248,6.07558,0.3,0.05
-0.492651,-2.51492,6.07508,0.3,0.05
-0.498917,-2.51914,6.07407,0.3,0.05
-0.50513,-2.52332,6.07308,0.3,0.05
-0.508198,-2.52485,6.07258,0.3,0.05
-0.511254,-2.52627,6.07208,0.3,0.05
-0.51752,-2.52993,6.07109,0.3,0.05
-0.523848,-2.53363,6.07009,0.3,0.05
-0.527044,-2.5354,6.06959,0.3,0.05
-0.530265,-2.53724,6.06909,0.3,0.05
-0.533447,-2.53882,6.0686,0.3,0.05
-0.536736,-2.54059,6.06809,0.3,0.05
-0.542934,-2.54323,6.0671,0.3,0.05
-0.546041,-2.54428,6.0666,0.3,0.05
-0.549205,-2.54556,6.0661,0.3,0.05
-0.552498,-2.5474,6.06561,0.3,0.05
-0.555825,-2.54933,6.06511,0.3,0.05
-0.562272,-2.55228,6.06411,0.3,0.05
-0.565463,-2.55317,6.0636,0.3,0.05
-0.568523,-2.55397,6.06311,0.3,0.05
-0.574995,-2.55674,6.06211,0.3,0.05
-0.581398,-2.55904,6.06112,0.3,0.05
-0.584612,-2.56012,6.06062,0.3,0.05
-0.587838,-2.56122,6.06012,0.3,0.05
-0.59426,-2.56334,6.05912,0.3,0.05
-0.597621,-2.56495,6.05862,0.3,0.05
-0.600992,-2.56654,6.05812,0.3,0.05
-0.60434,-2.56798,6.05762,0.3,0.05
-0.60773,-2.56955,6.05712,0.3,0.05
-0.614561,-2.57262,6.05611,0.3,0.05
-0.621361,-2.5756,6.05511,0.3,0.05
-0.624877,-2.57769,6.05463,0.3,0.05
-0.628436,-2.57963,6.05413,0.3,0.05
-0.632126,-2.58178,6.05362,0.3,0.05
-0.635653,-2.5837,6.05313,0.3,0.05
-0.642524,-2.58627,6.05213,0.3,0.05
-0.645999,-2.58759,6.05163,0.3,0.05
-0.649221,-2.58785,6.05113,0.3,0.05
-0.655992,-2.58978,6.05013,0.3,0.05
-0.659437,-2.59089,6.04964,0.3,0.05
-0.662868,-2.5919,6.04914,0.3,0.05
-0.666323,-2.59298,6.04864,0.3,0.05
-0.6697,-2.59373,6.04814,0.3,0.05
-0.676489,-2.59538,6.04714,0.3,0.05
-0.683431,-2.59728,6.04613,0.3,0.05
-0.690334,-2.59939,6.04514,0.3,0.05
-0.697423,-2.60183,6.04414,0.3,0.05
-0.700972,-2.603,6.04364,0.3,0.05
-0.704655,-2.60463,6.04314,0.3,0.05
-0.708363,-2.6063,6.04264,0.3,0.05
-0.712188,-2.60833,6.04214,0.3,0.05
-0.719463,-2.61089,6.04114,0.3,0.05
-0.726857,-2.61301,6.04011,0.3,0.05
-0.730271,-2.61406,6.03964,0.3,0.05
-0.733634,-2.61419,6.03914,0.3,0.05
-0.740722,-2.61572,6.03813,0.3,0.05
-0.747902,-2.61748,6.03713,0.3,0.05
-0.751326,-2.61776,6.03663,0.3,0.05
-0.754746,-2.61802,6.03613,0.3,0.05
-0.762,-2.61986,6.03513,0.3,0.05
-0.769515,-2.62225,6.03412,0.3,0.05
-0.776959,-2.62469,6.03313,0.3,0.05
-0.780521,-2.62523,6.03263,0.3,0.05
-0.784207,-2.62617,6.03212,0.3,0.05
-0.787691,-2.6264,6.03162,0.3,0.05
-0.791423,-2.62745,6.03112,0.3,0.05
-0.795233,-2.62872,6.03062,0.3,0.05
-0.79888,-2.62942,6.03012,0.3,0.05
-0.802432,-2.62978,6.02962,0.3,0.05
-0.806143,-2.63065,6.02912,0.3,0.05
-0.813623,-2.63241,6.02811,0.3,0.05
-0.817445,-2.63355,6.02761,0.3,0.05
-0.821327,-2.63485,6.02711,0.3,0.05
-0.829254,-2.63774,6.02611,0.3,0.05
-0.833318,-2.63945,6.02561,0.3,0.05
-0.837339,-2.64098,6.02511,0.3,0.05
-0.845456,-2.64406,6.02411,0.3,0.05
-0.84966,-2.64597,6.02361,0.3,0.05
-0.853628,-2.6471,6.02311,0.3,0.05
-0.85756,-2.64807,6.02261,0.3,0.05
-0.861428,-2.64881,6.02211,0.3,0.05
-0.869177,-2.65026,6.0211,0.3,0.05
-0.872963,-2.65068,6.0206,0.3,0.05
-0.876601,-2.65063,6.0201,0.3,0.05
-0.884509,-2.65239,6.0191,0.3,0.05
-0.888711,-2.65396,6.0186,0.3,0.05
-0.892914,-2.65548,6.0181,0.3,0.05
-0.900972,-2.65736,6.0171,0.3,0.05
-0.90507,-2.65845,6.0166,0.3,0.05
-0.909377,-2.6601,6.0161,0.3,0.05
-0.917844,-2.66263,6.01509,0.3,0.05
-0.926168,-2.665,6.0141,0.3,0.05
-0.930816,-2.66736,6.01361,0.3,0.05
-0.935601,-2.67003,6.01311,0.3,0.05
-0.940431,-2.67273,6.01261,0.3,0.05
-0.945041,-2.6745,6.0121,0.3,0.05
-0.949184,-2.67534,6.01161,0.3,0.05
