xji,yji,thetaji,vj,wj
-0.211124,-2.30074,6.1447,0.3,0.05
-0.212104,-2.30249,6.1442,0.3,0.05
-0.213129,-2.30425,6.1437,0.3,0.05
-0.214072,-2.30602,6.1432,0.3,0.05
-0.216809,-2.30952,6.1422,0.3,0.05
-0.219509,-2.31304,6.14119,0.3,0.05
-0.222309,-2.31658,6.14019,0.3,0.05
-0.225259,-2.32013,6.13919,0.3,0.05
-0.228373,-2.32368,6.13819,0.3,0.05
-0.2297,-2.3255,6.13768,0.3,0.05
-0.231274,-2.3273,6.13718,0.3,0.05
-0.232697,-2.32911,6.13668,0.3,0.05
-0.234124,-2.33093,6.13618,0.3,0.05
-0.237558,-2.33451,6.13518,0.3,0.05
-0.239286,-2.33631,6.13467,0.3,0.05
-0.240966,-2.33812,6.13417,0.3,0.05
-0.242581,-2.33999,6.13366,0.3,0.05
-0.243805,-2.34182,6.13317,0.3,0.05
-0.245105,-2.34369,6.13266,0.3,0.05
-0.246547,-2.34559,6.13215,0.3,0.05
-0.247917,-2.34743,6.13166,0.3,0.05
-0.249535,-2.34929,6.13116,0.3,0.05
-0.251079,-2.3512,6.13065,0.3,0.05
-0.252168,-2.35309,6.13015,0.3,0.05
-0.253241,-2.35502,6.12965,0.3,0.05
-0.254108,-2.357,6.12915,0.3,0.05
-0.257135,-2.36077,6.12815,0.3,0.05
-0.258422,-2.36273,6.12764,0.3,0.05
-0.259777,-2.36472,6.12713,0.3,0.05
-0.263395,-2.36844,6.12614,0.3,0.05
-0.266632,-2.37225,6.12514,0.3,0.05
-0.268372,-2.37419,6.12464,0.3,0.05
-0.270603,-2.37608,6.12413,0.3,0.05
-0.275305,-2.37975,6.12313,0.3,0.05
-0.277977,-2.38158,6.12263,0.3,0.05
-0.280551,-2.38346,6.12212,0.3,0.05
-0.282972,-2.38531,6.12161,0.3,0.05
-0.285255,-2.38718,6.12111,0.3,0.05
-0.289964,-2.39078,6.12012,0.3,0.05
-0.292061,-2.39267,6.11962,0.3,0.05
-0.294123,-2.39456,6.11912,0.3,0.05
-0.296527,-2.39642,6.11862,0.3,0.05
-0.298968,-2.39826,6.11811,0.3,0.05
-0.303703,-2.40189,6.11711,0.3,0.05
-0.305825,-2.40378,6.11661,0.3,0.05
-0.307666,-2.4057,6.11611,0.3,0.05
-0.309413,-2.40764,6.11561,0.3,0.05
-0.311126,-2.40959,6.1151,0.3,0.05
-0.312973,-2.41157,6.11459,0.3,0.05
-0.314637,-2.41349,6.1141,0.3,0.05
-0.318448,-2.41729,6.1131,0.3,0.05
-0.320176,-2.41927,6.1126,0.3,0.05
-0.322132,-2.42122,6.11209,0.3,0.05
-0.326543,-2.42496,6.11109,0.3,0.05
-0.328738,-2.42689,6.11059,0.3,0.05
-0.330944,-2.42882,6.11009,0.3,0.05
-0.335584,-2.43254,6.10909,0.3,0.05
-0.338082,-2.43443,6.10859,0.3,0.05
-0.34073,-2.4363,6.10808,0.3,0.05
-0.343263,-2.43822,6.10757,0.3,0.05
-0.345451,-2.44011,6.10708,0.3,0.05
-0.350056,-2.44384,6.10608,0.3,0.05
-0.352637,-2.44571,6.10558,0.3,0.05
-0.355333,-2.44757,6.10508,0.3,0.05
-0.360486,-2.45121,6.10408,0.3,0.05
-0.363121,-2.45308,6.10357,0.3,0.05
-0.365797,-2.45493,6.10307,0.3,0.05
-0.371254,-2.45851,6.10207,0.3,0.05
-0.374273,-2.4603,6.10157,0.3,0.05
-0.377,-2.46213,6.10107,0.3,0.05
-0.379633,-2.46398,6.10057,0.3,0.05
-0.382292,-2.46582,6.10007,0.3,0.05
-0.385115,-2.46763,6.09956,0.3,0.05
-0.387884,-2.46945,6.09906,0.3,0.05
-0.390631,-2.4714,6.09853,0.3,0.05
-0.393242,-2.47311,6.09806,0.3,0.05
-0.39607,-2.47496,6.09755,0.3,0.05
-0.398645,-2.47675,6.09706,0.3,0.05
-0.404142,-2.48027,6.09606,0.3,0.05
-0.40985,-2.48374,6.09506,0.3,0.05
-0.412867,-2.4855,6.09456,0.3,0.05
-0.415881,-2.48729,6.09404,0.3,0.05
-0.418859,-2.489,6.09355,0.3,0.05
-0.421901,-2.49074,6.09305,0.3,0.05
-0.424811,-2.49249,6.09255,0.3,0.05
-0.42804,-2.49419,6.09205,0.3,0.05
-0.433979,-2.49756,6.09105,0.3,0.05
-0.437032,-2.49927,6.09055,0.3,0.05
-0.440023,-2.50099,6.09005,0.3,0.05
-0.446268,-2.50432,6.08904,0.3,0.05
-0.45256,-2.50753,6.08805,0.3,0.05
-0.456205,-2.5091,6.08755,0.3,0.05
-0.4599,-2.51065,6.08704,0.3,0.05
-0.466276,-2.51383,6.08604,0.3,0.05
-0.472928,-2.51694,6.08504,0.3,0.05
-0.476639,-2.51844,6.08454,0.3,0.05
-0.480299,-2.51995,6.08404,0.3,0.05
-0.483845,-2.52147,6.08354,0.3,0.05
-0.487477,-2.523,6.08303,0.3,0.05
-0.493911,-2.52602,6.08204,0.3,0.05
-0.497506,-2.52749,6.08154,0.3,0.05
-0.5011,-2.52896,6.08104,0.3,0.05
-0.504661,-2.53042,6.08054,0.3,0.05
-0.508399,-2.53184,6.08004,0.3,0.05
-0.515228,-2.53473,6.07904,0.3,0.05
-0.519201,-2.53612,6.07853,0.3,0.05
-0.522967,-2.53745,6.07804,0.3,0.05
-0.529732,-2.54029,6.07704,0.3,0.05
-0.536595,-2.54308,6.07604,0.3,0.05
-0.54033,-2.54442,6.07554,0.3,0.05
-0.544027,-2.54575,6.07503,0.3,0.05
-0.550865,-2.54849,6.07403,0.3,0.05
-0.554736,-2.54975,6.07353,0.3,0.05
-0.558293,-2.55108,6.07303,0.3,0.05
-0.561515,-2.55248,6.07253,0.3,0.05
-0.564677,-2.55388,6.07203,0.3,0.05
-0.57098,-2.55671,6.07102,0.3,0.05
-0.576826,-2.55959,6.07002,0.3,0.05
-0.579269,-2.5611,6.06953,0.3,0.05
-0.581952,-2.56261,6.06903,0.3,0.05
-0.584567,-2.56418,6.06852,0.3,0.05
-0.587249,-2.56565,6.06803,0.3,0.05
-0.593569,-2.56842,6.06703,0.3,0.05
-0.596675,-2.56983,6.06653,0.3,0.05
-0.599937,-2.5712,6.06603,0.3,0.05
-0.606238,-2.57394,6.06503,0.3,0.05
-0.609489,-2.57531,6.06453,0.3,0.05
-0.612724,-2.57667,6.06403,0.3,0.05
-0.616081,-2.578,6.06353,0.3,0.05
-0.619553,-2.5793,6.06303,0.3,0.05
-0.626157,-2.58192,6.06203,0.3,0.05
-0.632669,-2.5846,6.06102,0.3,0.05
-0.639135,-2.58718,6.06003,0.3,0.05
-0.646154,-2.58966,6.05903,0.3,0.05
-0.649773,-2.59088,6.05853,0.3,0.05
-0.653395,-2.59209,6.05803,0.3,0.05
-0.656977,-2.59331,6.05753,0.3,0.05
-0.660448,-2.59455,6.05702,0.3,0.05
-0.667509,-2.59694,6.05602,0.3,0.05
-0.674692,-2.5994,6.05499,0.3,0.05
-0.677849,-2.60057,6.05452,0.3,0.05
-0.680954,-2.60188,6.05402,0.3,0.05
-0.687749,-2.60428,6.05302,0.3,0.05
-0.694293,-2.60673,6.05202,0.3,0.05
-0.697456,-2.60801,6.05152,0.3,0.05
-0.700809,-2.60924,6.05102,0.3,0.05
-0.707581,-2.6116,6.05002,0.3,0.05
-0.714162,-2.61405,6.04901,0.3,0.05
-0.720447,-2.61649,6.04802,0.3,0.05
-0.723546,-2.61777,6.04752,0.3,0.05
-0.726891,-2.61899,6.04702,0.3,0.05
-0.730574,-2.62011,6.04652,0.3,0.05
-0.734277,-2.62122,6.04602,0.3,0.05
-0.738255,-2.62224,6.04552,0.3,0.05
-0.742329,-2.62322,6.04502,0.3,0.05
-0.746566,-2.62415,6.04452,0.3,0.05
-0.750748,-2.62508,6.04402,0.3,0.05
-0.75855,-2.627,6.04303,0.3,0.05
-0.76253,-2.62796,6.04253,0.3,0.05
-0.766084,-2.62903,6.04203,0.3,0.05
-0.773544,-2.63099,6.04103,0.3,0.05
-0.777145,-2.63203,6.04053,0.3,0.05
-0.78078,-2.63306,6.04003,0.3,0.05
-0.787884,-2.63508,6.03903,0.3,0.05
-0.791582,-2.63608,6.03853,0.3,0.05
-0.795557,-2.63698,6.03803,0.3,0.05
-0.799726,-2.63782,6.03753,0.3,0.05
-0.804049,-2.63859,6.03703,0.3,0.05
-0.812319,-2.64016,6.03603,0.3,0.05
-0.816977,-2.64079,6.03553,0.3,0.05
-0.821466,-2.64146,6.03503,0.3,0.05
-0.829847,-2.6429,6.03403,0.3,0.05
-0.834461,-2.64349,6.03353,0.3,0.05
-0.838866,-2.64413,6.03303,0.3,0.05
-0.847023,-2.64554,6.03203,0.3,0.05
-0.851135,-2.64624,6.03153,0.3,0.05
-0.855144,-2.64697,6.03103,0.3,0.05
-0.862911,-2.64847,6.03002,0.3,0.05
-0.870452,-2.64994,6.02903,0.3,0.05
-0.874155,-2.65073,6.02853,0.3,0.05
-0.877832,-2.65152,6.02803,0.3,0.05
-0.881445,-2.65233,6.02753,0.3,0.05
-0.885306,-2.65309,6.02702,0.3,0.05
-0.889177,-2.65376,6.02653,0.3,0.05
-0.893058,-2.65446,6.02604,0.3,0.05
-0.897022,-2.65516,6.02553,0.3,0.05
-0.901258,-2.65572,6.02503,0.3,0.05
-0.905278,-2.65631,6.02454,0.3,0.05
-0.909307,-2.65692,6.02404,0.3,0.05
-0.913302,-2.65754,6.02354,0.3,0.05
-0.917197,-2.65822,6.02303,0.3,0.05
-0.925029,-2.65938,6.02204,0.3,0.05
-0.929106,-2.65994,6.02154,0.3,0.05
-0.933328,-2.66047,6.02103,0.3,0.05
-0.94124,-2.66154,6.02004,0.3,0.05
-0.949329,-2.66255,6.01904,0.3,0.05
-0.953049,-2.66318,6.01854,0.3,0.05
-0.957028,-2.66371,6.01804,0.3,0.05
-0.960816,-2.6643,6.01754,0.3,0.05
-0.964786,-2.66482,6.01704,0.3,0.05
-0.968597,-2.66539,6.01654,0.3,0.05
-0.97255,-2.6659,6.01605,0.3,0.05
-0.980656,-2.66678,6.01505,0.3,0.05
-0.988827,-2.6676,6.01405,0.3,0.05
-0.996948,-2.6684,6.01305,0.3,0.05
-1.0052,-2.66911,6.01205,0.3,0.05
-1.01354,-2.66976,6.01105,0.3,0.05
-1.01748,-2.67017,6.01055,0.3,0.05
-1.0215,-2.67059,6.01004,0.3,0.05
-1.02928,-2.67134,6.00905,0.3,0.05
-1.03269,-2.67194,6.00855,0.3,0.05
-1.03649,-2.67238,6.00805,0.3,0.05
-1.04421,-2.67315,6.00705,0.3,0.05
-1.05191,-2.6739,6.00606,0.3,0.05
-1.05538,-2.67445,6.00556,0.3,0.05
-1.05857,-2.67511,6.00506,0.3,0.05
-1.06151,-2.67587,6.00456,0.3,0.05
-1.06438,-2.67666,6.00406,0.3,0.05
-1.06734,-2.67742,6.00356,0.3,0.05
-1.07026,-2.67821,6.00306,0.3,0.05
-1.07745,-2.67914,6.00206,0.3,0.05
-1.08462,-2.68008,6.00107,0.3,0.05
-1.08777,-2.68077,6.00057,0.3,0.05
-1.09096,-2.6815,6.00006,0.3,0.05
-1.09419,-2.68213,5.99957,0.3,0.05
-1.09755,-2.68279,5.99906,0.3,0.05
-1.10083,-2.6834,5.99857,0.3,0.05
-1.10429,-2.68398,5.99807,0.3,0.05
-1.11215,-2.6846,5.99708,0.3,0.05
-1.1199,-2.68523,5.99608,0.3,0.05
-1.12385,-2.68562,5.99557,0.3,0.05
-1.12742,-2.6861,5.99508,0.3,0.05
-1.1316,-2.68639,5.99457,0.3,0.05
-1.13572,-2.68666,5.99408,0.3,0.05
-1.14009,-2.68685,5.99357,0.3,0.05
-1.14447,-2.68691,5.99309,0.3,0.05
-1.15326,-2.68697,5.99209,0.3,0.05
-1.16224,-2.6869,5.9911,0.3,0.05
-1.16686,-2.68688,5.9906,0.3,0.05
-1.1715,-2.68682,5.9901,0.3,0.05
-1.17612,-2.6868,5.98959,0.3,0.05
-1.18067,-2.68672,5.9891,0.3,0.05
-1.18526,-2.68665,5.98861,0.3,0.05
-1.19,-2.6865,5.98811,0.3,0.05
-1.19903,-2.68619,5.98711,0.3,0.05
-1.20379,-2.68599,5.98661,0.3,0.05
-1.20852,-2.68578,5.98612,0.3,0.05
-1.21766,-2.68531,5.98512,0.3,0.05
-1.22263,-2.68499,5.98461,0.3,0.05
-1.22744,-2.68467,5.98411,0.3,0.05
-1.23215,-2.68436,5.98363,0.3,0.05
-1.23732,-2.68385,5.98313,0.3,0.05
-1.24244,-2.68335,5.98263,0.3,0.05
-1.24769,-2.68276,5.98213,0.3,0.05
-1.25699,-2.68196,5.98114,0.3,0.05
-1.26598,-2.68125,5.98014,0.3,0.05
-1.27064,-2.68085,5.97964,0.3,0.05
-1.27531,-2.68044,5.97914,0.3,0.05
-1.28409,-2.67973,5.97815,0.3,0.05
-1.29314,-2.67882,5.97715,0.3,0.05
-1.29764,-2.67842,5.97665,0.3,0.05
-1.30226,-2.67795,5.97616,0.3,0.05
-1.30709,-2.67736,5.97566,0.3,0.05
-1.31182,-2.6768,5.97516,0.3,0.05
-1.32074,-2.67579,5.97416,0.3,0.05
-1.32527,-2.67529,5.97367,0.3,0.05
-1.32961,-2.67486,5.97317,0.3,0.05
-1.33851,-2.67376,5.97217,0.3,0.05
-1.34307,-2.67319,5.97167,0.3,0.05
-1.34751,-2.67267,5.97118,0.3,0.05
-1.35645,-2.67144,5.97018,0.3,0.05
-1.36553,-2.67008,5.96918,0.3,0.05
-1.37039,-2.66927,5.96869,0.3,0.05
-1.37507,-2.66853,5.96819,0.3,0.05
-1.38424,-2.66704,5.96718,0.3,0.05
-1.3888,-2.66628,5.96669,0.3,0.05
-1.39356,-2.66543,5.9662,0.3,0.05
-1.39847,-2.66449,5.9657,0.3,0.05
-1.40333,-2.66355,5.9652,0.3,0.05
-1.40811,-2.66264,5.96471,0.3,0.05
-1.41282,-2.66175,5.96421,0.3,0.05
-1.41747,-2.66087,5.96371,0.3,0.05
-1.42242,-2.65985,5.9632,0.3,0.05
-1.43121,-2.65818,5.96222,0.3,0.05
-1.4402,-2.65637,5.96122,0.3,0.05
-1.44911,-2.65455,5.96022,0.3,0.05
-1.45401,-2.6534,5.95973,0.3,0.05
-1.4586,-2.65241,5.95923,0.3,0.05
-1.46771,-2.65036,5.95823,0.3,0.05
-1.47687,-2.6482,5.95723,0.3,0.05
-1.48598,-2.64601,5.95624,0.3,0.05
-1.49057,-2.64491,5.95574,0.3,0.05
-1.4951,-2.64381,5.95524,0.3,0.05
-1.49974,-2.64264,5.95475,0.3,0.05
-1.50421,-2.64154,5.95425,0.3,0.05
-1.50857,-2.64053,5.95374,0.3,0.05
-1.51279,-2.63952,5.95325,0.3,0.05
-1.51741,-2.6383,5.95276,0.3,0.05
-1.5219,-2.63713,5.95226,0.3,0.05
-1.5303,-2.63505,5.95126,0.3,0.05
-1.53449,-2.63403,5.95077,0.3,0.05
-1.53874,-2.63295,5.95027,0.3,0.05
-1.54302,-2.63185,5.94977,0.3,0.05
-1.5474,-2.63067,5.94927,0.3,0.05
-1.55593,-2.62835,5.94828,0.3,0.05
-1.56036,-2.62711,5.94778,0.3,0.05
-1.56472,-2.62588,5.94728,0.3,0.05
-1.56896,-2.62472,5.94679,0.3,0.05
-1.57333,-2.62349,5.94628,0.3,0.05
-1.57775,-2.62216,5.94579,0.3,0.05
-1.58193,-2.62098,5.9453,0.3,0.05
-1.59039,-2.61852,5.94429,0.3,0.05
-1.59871,-2.61603,5.9433,0.3,0.05
-1.60742,-2.61334,5.94228,0.3,0.05
-1.6114,-2.61214,5.94181,0.3,0.05
-1.61577,-2.61077,5.9413,0.3,0.05
-1.62424,-2.60803,5.94031,0.3,0.05
-1.62851,-2.60665,5.93982,0.3,0.05
-1.633,-2.60512,5.93932,0.3,0.05
-1.64178,-2.60209,5.93832,0.3,0.05
-1.64653,-2.60034,5.93783,0.3,0.05
-1.65117,-2.59864,5.93733,0.3,0.05
-1.65983,-2.59555,5.93633,0.3,0.05
-1.66428,-2.59391,5.93584,0.3,0.05
-1.6687,-2.59228,5.93534,0.3,0.05
-1.67326,-2.59054,5.93484,0.3,0.05
-1.67774,-2.58884,5.93434,0.3,0.05
