,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
108,8.89307099045176,5.330770192563768,1.0900000000000007,10.502940608067519,4.77514873856487,0.9528875000337375,0.0,0.0,0.06495862081728868,0.01156756084595541,0.0,0.05,0.010000000000000002
109,8.93931952713929,5.4194328840087165,1.1000000000000008,10.540492587673352,4.8279825391687305,0.9743801702573265,0.0,0.0,0.06481945432171843,0.021492670223589028,0.0,0.05,0.010000000000000002
110,8.984679139281848,5.50855362001486,1.1100000000000008,10.58751969674602,4.897253288063857,0.9864119798650495,0.0,0.0,0.08372565700085187,0.012031809607723012,0.0,0.05,0.010000000000000002
111,9.029145290956018,5.598123488582865,1.1200000000000008,10.627528304941727,4.9577392444008135,0.9956374538674954,0.0,0.0,0.07252061530181479,0.009225474002445937,0.0,0.05,0.010000000000000002
112,9.07271353558369,5.688133532800515,1.1300000000000008,10.67110480729247,5.024958809761249,0.9934205156714175,0.0,0.0,0.08010856086817605,-0.002216938196077853,0.0,0.05,0.010000000000000002
113,9.115379516376706,5.778574751738398,1.1400000000000008,10.762309668154401,5.164967196777728,1.0039202377747998,0.0,0.0,0.16709480865604506,0.010499722103382137,0.0,0.05,0.010000000000000002
114,9.157138966772541,5.869438101349986,1.1500000000000008,10.82970884858917,5.270845858994571,1.0129457215100024,0.0,0.0,0.12551071920799015,0.009025483735202611,0.0,0.05,0.010000000000000002
115,9.197987710860957,5.960714495376038,1.1600000000000008,10.904516474679827,5.390737692754064,1.0312546672238365,0.0,0.0,0.1413160738328559,0.01830894571383415,0.0,0.05,0.010000000000000002
116,9.237921663801584,6.052394806253215,1.1700000000000008,10.897510228074392,5.379037346303418,1.0177064082530696,0.0,0.0,-0.013637653704406661,-0.013548258970767028,0.0,0.05,0.010000000000000002
117,9.276936832232407,6.144469866026829,1.1800000000000008,10.965850761187948,5.4897345275968386,1.0404859099779153,0.0,0.0,0.13009340649146425,0.022779501724845795,0.0,0.05,0.010000000000000002
118,9.315029314669095,6.236930467267631,1.1900000000000008,11.058594122427829,5.647909475683703,1.0328406022476753,0.0,0.0,0.1833593337039422,-0.007645307730240175,0.0,0.05,0.010000000000000002
119,9.352195301895149,6.329767363992548,1.2000000000000008,11.089579895390422,5.699842023453259,1.0340560817744409,0.0,0.0,0.0604740245388586,0.0012154795267656532,0.0,0.05,0.010000000000000002
120,9.388431077342815,6.422971272589271,1.2100000000000009,11.13201252498732,5.771156502889179,1.0556615256020059,9.35267367820652,6.557648666891333,0.08298363110712748,0.021605443827565123,0.1,0.05,0.010000000000000002
121,9.423733017464748,6.51653287274461,1.2200000000000009,11.18837189056594,5.870710320344619,1.0544980666828299,0.0,0.0,0.11439991546489703,-0.001163458919176115,0.0,0.05,0.010000000000000002
122,9.458097592096353,6.610442808376517,1.2300000000000009,11.240913813772707,5.963269611219892,1.0565656527185654,0.0,0.0,0.10643249513940317,0.0020675860357355774,0.0,0.05,0.010000000000000002
123,9.491521364808802,6.704691688569687,1.2400000000000009,11.376176086383419,6.202703095531782,1.0655047444887251,0.0,0.0,0.2749986832723869,0.00893909177015973,0.0,0.05,0.010000000000000002
124,9.52400099325268,6.799270088514641,1.2500000000000009,11.43626059868321,6.311317048717919,1.0808093405398638,0.0,0.0,0.124125498770495,0.015304596051138692,0.0,0.05,0.010000000000000002
