ceres_huber_x,ceres_huber_y,ceres_huber_theta
-0.193003,-2.60508,6.14837
-0.199155,-2.60858,6.14752
-0.202121,-2.61036,6.14717
-0.20833,-2.61384,6.14634
-0.21132,-2.61562,6.146
-0.214321,-2.6174,6.14567
-0.217395,-2.61922,6.14534
-0.22363,-2.62263,6.14453
-0.226666,-2.62442,6.14422
-0.22971,-2.6262,6.14391
-0.232763,-2.62799,6.14361
-0.235828,-2.62978,6.14332
-0.242195,-2.63334,6.14292
-0.245237,-2.63527,6.14303
-0.248291,-2.63721,6.14315
-0.254874,-2.64036,6.14225
-0.25809,-2.64195,6.14186
-0.261313,-2.64355,6.14147
-0.264616,-2.64518,6.14108
-0.26779,-2.64675,6.14071
-0.271042,-2.64836,6.14033
-0.274302,-2.64998,6.13997
-0.281028,-2.65308,6.13911
-0.284313,-2.65469,6.13876
-0.287607,-2.65629,6.13841
-0.294401,-2.65934,6.13757
-0.301233,-2.66236,6.13675
-0.304578,-2.66394,6.13642
-0.307935,-2.66552,6.13611
-0.311299,-2.6671,6.1358
-0.318226,-2.67005,6.13501
-0.321619,-2.67161,6.13472
-0.325022,-2.67316,6.13444
-0.328438,-2.67473,6.13417
-0.331868,-2.6763,6.13391
-0.335307,-2.67787,6.13365
-0.338828,-2.67944,6.1334
-0.342215,-2.68096,6.13317
-0.349316,-2.68379,6.13245
-0.356453,-2.68657,6.13174
-0.35996,-2.68809,6.13154
-0.363477,-2.6896,6.13136
-0.370684,-2.69231,6.13068
-0.377923,-2.69498,6.13003
-0.381487,-2.69646,6.12988
-0.385062,-2.69794,6.12975
-0.388643,-2.69941,6.12962
-0.392233,-2.70087,6.12951
-0.395827,-2.70231,6.12941
-0.399429,-2.70375,6.12932
-0.40304,-2.70518,6.12924
-0.40666,-2.7066,6.12918
-0.414057,-2.70905,6.12863
-0.417704,-2.71045,6.1286
-0.421358,-2.71184,6.12857
-0.425024,-2.71321,6.12856
-0.428698,-2.71458,6.12857
-0.436187,-2.71686,6.12809
-0.439877,-2.71819,6.12813
-0.443743,-2.71925,6.12771
-0.447465,-2.72027,6.12732
-0.451345,-2.72132,6.12692
-0.455078,-2.72232,6.12655
-0.45897,-2.72336,6.12617
-0.470442,-2.72601,6.12482
-0.474285,-2.72699,6.12447
-0.482022,-2.72875,6.12364
-0.485883,-2.72971,6.12331
-0.489754,-2.73066,6.12299
-0.497618,-2.73236,6.12218
-0.501429,-2.73328,6.12189
-0.505325,-2.73421,6.12161
-0.513162,-2.73582,6.12084
-0.517079,-2.73672,6.12058
-0.521083,-2.73764,6.12032
-0.52889,-2.73916,6.1196
-0.536798,-2.74065,6.11889
-0.540755,-2.74151,6.11868
-0.54472,-2.74235,6.11849
-0.54869,-2.74319,6.1183
-0.552746,-2.74403,6.11812
-0.556742,-2.7445,6.11744
-0.560822,-2.74498,6.11676
-0.564909,-2.74546,6.11608
-0.569082,-2.74595,6.1154
-0.573096,-2.74641,6.11474
-0.577144,-2.74714,6.11471
-0.585219,-2.74833,6.11421
-0.589284,-2.74903,6.11421
-0.593522,-2.74938,6.11368
-0.601633,-2.75013,6.11268
-0.605799,-2.75045,6.11218
-0.609969,-2.75077,6.11167
-0.614157,-2.75102,6.11108
-0.61835,-2.75128,6.1105
-0.622624,-2.75153,6.10991
-0.626981,-2.75178,6.10931
-0.631018,-2.75166,6.10824
-0.635256,-2.75183,6.10777
-0.64356,-2.75231,6.1068
-0.647804,-2.75245,6.10634
-0.65212,-2.7523,6.10542
-0.656436,-2.75215,6.1045
-0.660751,-2.752,6.10357
-0.669142,-2.75211,6.10214
-0.673515,-2.7517,6.10081
-0.677887,-2.7513,6.09948
-0.68635,-2.75117,6.09763
-0.690725,-2.75076,6.09627
-0.695096,-2.75036,6.09491
-0.699459,-2.74996,6.09354
-0.703823,-2.74956,6.09216
-0.708182,-2.74915,6.09077
-0.712539,-2.74875,6.08938
-0.716897,-2.74836,6.08798
-0.721252,-2.74797,6.08657
-0.72973,-2.7479,6.08464
-0.734169,-2.74753,6.0832
-0.73844,-2.74715,6.08177
-0.742878,-2.74679,6.0803
-0.751257,-2.747,6.07898
-0.755647,-2.74655,6.07762
-0.760038,-2.74612,6.07625
-0.764428,-2.74569,6.07487
-0.768816,-2.74527,6.07348
-0.773201,-2.74486,6.07208
-0.781835,-2.74479,6.07015
-0.790307,-2.74468,6.06822
-0.794776,-2.74428,6.06675
-0.799077,-2.74387,6.0653
-0.803462,-2.74348,6.06382
-0.807865,-2.743,6.06219
-0.812269,-2.74254,6.06055
-0.816673,-2.74209,6.0589
-0.825287,-2.74201,6.05672
-0.829697,-2.74157,6.05503
-0.834105,-2.74114,6.05332
-0.842826,-2.74111,6.05108
-0.847151,-2.74067,6.04935
-0.851556,-2.74024,6.04759
-0.860213,-2.74024,6.04531
-0.864622,-2.73982,6.04351
-0.869011,-2.73969,6.04234
-0.877678,-2.73998,6.04065
-0.882075,-2.73983,6.03946
-0.886474,-2.73969,6.03825
-0.895154,-2.74015,6.037
-0.899543,-2.74017,6.03624
-0.903938,-2.74019,6.03548
-0.908332,-2.7402,6.03471
-0.91273,-2.74021,6.03394
-0.921444,-2.74058,6.03265
-0.925844,-2.74056,6.03186
-0.930243,-2.74052,6.03106
-0.934647,-2.74049,6.03026
-0.939048,-2.74043,6.02945
-0.947874,-2.7407,6.02812
-0.956536,-2.74092,6.02679
-0.965297,-2.74112,6.02544
-0.974069,-2.74128,6.02408
-0.982849,-2.7414,6.02271
-0.987256,-2.74124,6.02183
-0.991663,-2.74108,6.02094
-1.00046,-2.74113,6.01954
-1.00487,-2.74093,6.01863
-1.00937,-2.74074,6.0177
-1.01369,-2.74061,6.01697
-1.01811,-2.74047,6.01622
-1.02694,-2.74051,6.01496
-1.03137,-2.74034,6.01419
-1.03588,-2.74016,6.01341
-1.04021,-2.73997,6.01264
-1.04472,-2.74004,6.01248
-1.04905,-2.74009,6.01235
-1.05347,-2.74013,6.0122
-1.05798,-2.74015,6.01205
-1.0624,-2.74014,6.0119
-1.07116,-2.74016,6.01126
-1.07559,-2.74011,6.01111
-1.0801,-2.74004,6.01095
-1.08887,-2.73992,6.0103
-1.0933,-2.7398,6.01015
-1.09772,-2.73966,6.01
-1.10215,-2.7395,6.00984
-1.10657,-2.73932,6.00969
-1.11552,-2.73899,6.00902
-1.11994,-2.73876,6.00886
-1.12427,-2.73851,6.00872
-1.13313,-2.73803,6.00806
-1.13754,-2.73772,6.0079
-1.14196,-2.73739,6.00774
-1.14645,-2.73704,6.00757
-1.15077,-2.73668,6.00742
-1.15518,-2.7363,6.00725
-1.15959,-2.7359,6.00709
-1.16852,-2.73514,6.00642
-1.17284,-2.73471,6.00627
-1.17724,-2.73426,6.0061
-1.18173,-2.73378,6.00593
-1.18604,-2.73329,6.00578
-1.19487,-2.73233,6.00511
-1.20368,-2.7313,6.00445
-1.20807,-2.73073,6.00428
-1.21687,-2.72959,6.00361
-1.22123,-2.72894,6.00344
-1.23001,-2.72769,6.00277
-1.23879,-2.72637,6.0021
-1.24314,-2.72563,6.00193
-1.24749,-2.72487,6.00175
-1.25625,-2.72308,6.00054
-1.26059,-2.72196,5.99983
-1.26493,-2.72082,5.9991
-1.26926,-2.71968,5.99837
-1.27358,-2.71852,5.99764
-1.28229,-2.71662,5.99638
-1.29099,-2.71468,5.99512
-1.29529,-2.71348,5.99434
-1.29958,-2.71226,5.99355
-1.30387,-2.71104,5.99276
-1.30816,-2.7098,5.99196
-1.31243,-2.70856,5.99116
-1.3167,-2.70731,5.99034
-1.32546,-2.70549,5.98964
-1.32965,-2.70449,5.98947
-1.33392,-2.70345,5.98928
-1.33829,-2.70238,5.98907
-1.34246,-2.70133,5.98888
-1.35108,-2.69905,5.98774
-1.35533,-2.69767,5.98709
-1.35957,-2.69628,5.98643
-1.36815,-2.69392,5.98525
-1.37237,-2.69249,5.98457
-1.37657,-2.69103,5.98388
-1.38078,-2.68958,5.98317
-1.38931,-2.68713,5.98195
-1.39359,-2.68565,5.98121
-1.40201,-2.68318,5.97998
-1.41051,-2.68065,5.97871
-1.41467,-2.67914,5.97794
-1.41883,-2.67762,5.97715
-1.42297,-2.6761,5.97636
-1.42711,-2.67456,5.97556
-1.43124,-2.67302,5.97475
-1.43536,-2.67146,5.97394
-1.44377,-2.66881,5.9726
-1.44786,-2.66723,5.97175
-1.45624,-2.66453,5.97038
-1.46032,-2.66292,5.9695
-1.46867,-2.66017,5.9681
-1.47272,-2.65853,5.9672
-1.47685,-2.65688,5.96627
-1.48089,-2.65524,5.96534
-1.48483,-2.65363,5.96441
-1.48886,-2.65198,5.96346
-1.49287,-2.65033,5.9625
-1.50114,-2.64741,5.96084
-1.50513,-2.64564,5.95966
-1.50912,-2.64388,5.95847
-1.51328,-2.64217,5.95749
-1.5171,-2.64054,5.95653
-1.52108,-2.63887,5.95554
-1.52506,-2.6372,5.95454
-1.52903,-2.63552,5.95352
-1.53307,-2.63381,5.95249
-1.53699,-2.63242,5.95211
-1.54098,-2.63099,5.95171
-1.54497,-2.62954,5.95131
-1.54895,-2.62808,5.9509
-1.55715,-2.62539,5.94998
-1.5611,-2.62373,5.94928
-1.56927,-2.62082,5.94806
-1.5732,-2.61913,5.94733
-1.57713,-2.61745,5.94659
-1.58105,-2.61575,5.94585
-1.58507,-2.61413,5.94532
-1.59311,-2.61126,5.94431
-1.59703,-2.60963,5.94377
-1.60512,-2.60666,5.94272
-1.60901,-2.605,5.94216
-1.61297,-2.60329,5.94158
