ceres_huber_x,ceres_huber_y,ceres_huber_theta
-2.61941,-1.58679,5.81457
-2.61942,-1.58291,5.81444
-2.61943,-1.57904,5.81432
-2.61923,-1.57489,5.81368
-2.61904,-1.57078,5.81304
-2.61871,-1.56641,5.81204
-2.61838,-1.56222,5.81106
-2.61804,-1.55799,5.81007
-2.61771,-1.55378,5.80908
-2.61735,-1.54565,5.80759
-2.61699,-1.54151,5.8066
-2.61664,-1.53733,5.80561
-2.61621,-1.52943,5.80413
-2.61573,-1.52145,5.80263
-2.61534,-1.51753,5.80165
-2.61493,-1.51355,5.80067
-2.61438,-1.5058,5.79918
-2.61395,-1.50182,5.79819
-2.61352,-1.49801,5.79723
-2.61289,-1.49035,5.79574
-2.61223,-1.48292,5.79427
-2.61177,-1.47915,5.7933
-2.61131,-1.4754,5.79233
-2.61085,-1.47167,5.79137
-2.61039,-1.46798,5.79041
-2.60992,-1.46431,5.78946
-2.60948,-1.46064,5.7886
-2.60875,-1.45358,5.78726
-2.60797,-1.44644,5.78591
-2.60751,-1.44294,5.78507
-2.60705,-1.43953,5.78425
-2.60658,-1.43607,5.78343
-2.60611,-1.43263,5.78261
-2.60563,-1.42922,5.7818
-2.60515,-1.42583,5.781
-2.60407,-1.41879,5.77917
-2.60337,-1.41513,5.77783
-2.60269,-1.41163,5.77652
-2.60156,-1.40472,5.77467
-2.60086,-1.4013,5.77335
-2.60017,-1.39784,5.77202
-2.59939,-1.39431,5.77048
-2.59861,-1.39082,5.76894
-2.59765,-1.38709,5.76687
-2.59668,-1.3834,5.76479
-2.59573,-1.37976,5.7627
-2.59477,-1.37617,5.7606
-2.59382,-1.37263,5.7585
-2.59287,-1.36913,5.75639
-2.59191,-1.36568,5.75426
-2.59113,-1.36248,5.75277
-2.59035,-1.35925,5.75127
-2.58913,-1.35336,5.74927
-2.58835,-1.35027,5.74776
-2.58756,-1.34723,5.74625
-2.58658,-1.34394,5.7442
-2.58578,-1.3409,5.74278
-2.58454,-1.33526,5.74084
-2.58374,-1.33229,5.7394
-2.58293,-1.32936,5.73796
-2.58212,-1.32647,5.73651
-2.58087,-1.32109,5.73454
-2.58005,-1.31823,5.73306
-2.57926,-1.3155,5.7316
-2.578,-1.31034,5.72961
-2.57718,-1.30764,5.72811
-2.57638,-1.30497,5.72661
-2.57559,-1.30234,5.72511
-2.57479,-1.29974,5.7236
-2.574,-1.29718,5.72209
-2.57322,-1.29465,5.72057
-2.57245,-1.29216,5.71905
-2.57169,-1.2897,5.71752
-2.57048,-1.28515,5.71548
-2.56972,-1.28277,5.71393
-2.56894,-1.28039,5.71237
-2.56819,-1.27813,5.71082
-2.56744,-1.27586,5.70926
-2.56629,-1.27165,5.70719
-2.56555,-1.26946,5.70561
-2.56482,-1.2673,5.70402
-2.56409,-1.26517,5.70243
-2.56337,-1.26307,5.70084
-2.56227,-1.2592,5.69873
-2.56126,-1.25551,5.69692
-2.56065,-1.25364,5.6956
-2.56004,-1.2518,5.69428
-2.55907,-1.24828,5.69245
-2.55848,-1.2465,5.69112
-2.55752,-1.24312,5.68928
-2.55694,-1.2414,5.68794
-2.55637,-1.23972,5.6866
-2.5558,-1.23806,5.68525
-2.55489,-1.23491,5.6834
-2.55433,-1.23332,5.68204
-2.55378,-1.23176,5.68068
-2.55292,-1.2288,5.67881
-2.55208,-1.22591,5.67693
-2.55174,-1.22466,5.67618
-2.5514,-1.2234,5.67542
-2.55077,-1.22087,5.67418
-2.55045,-1.21968,5.67344
-2.55014,-1.2185,5.6727
-2.54983,-1.21733,5.67196
-2.54952,-1.21618,5.67122
-2.54921,-1.21504,5.67048
-2.5489,-1.21391,5.66975
-2.54859,-1.2128,5.66902
-2.54828,-1.2117,5.66829
-2.54798,-1.21059,5.66755
-2.54758,-1.20854,5.66691
-2.54724,-1.20739,5.66624
-2.54691,-1.20626,5.66557
-2.54658,-1.20514,5.6649
-2.54597,-1.20287,5.66371
-2.54539,-1.20069,5.66255
-2.54507,-1.19963,5.66188
-2.54475,-1.19858,5.66121
-2.54444,-1.19754,5.66054
-2.54414,-1.19652,5.65987
-2.54384,-1.19551,5.6592
-2.54354,-1.19451,5.65852
-2.54326,-1.19351,5.65784
-2.54299,-1.19256,5.65718
-2.54274,-1.19161,5.65651
-2.54247,-1.19068,5.65585
-2.54198,-1.18877,5.65468
-2.54173,-1.18787,5.65401
-2.54148,-1.18698,5.65334
-2.54124,-1.18611,5.65267
-2.54101,-1.18525,5.65201
-2.54079,-1.1844,5.65134
-2.54053,-1.18288,5.65083
-2.54049,-1.18226,5.65082
-2.54045,-1.18164,5.65082
-2.5402,-1.18014,5.65034
-2.54017,-1.17953,5.65035
-2.53994,-1.17866,5.64985
-2.53971,-1.17779,5.64935
-2.53948,-1.17694,5.64885
