ceres_null_x,ceres_null_y,ceres_null_theta
0.0188214,-2.71547,6.22204
0.0157115,-2.71731,6.22214
0.0086729,-2.7199,6.2208
0.00525096,-2.7212,6.21996
0.00182837,-2.72251,6.21914
-0.00167247,-2.72387,6.21832
-0.00502806,-2.72519,6.21754
-0.00846138,-2.72656,6.21675
-0.0118955,-2.72795,6.21598
-0.0190201,-2.73064,6.21473
-0.0224682,-2.73204,6.21399
-0.0259191,-2.73345,6.21326
-0.0330911,-2.73615,6.21205
-0.0402922,-2.73884,6.21086
-0.0437776,-2.74027,6.21018
-0.0472691,-2.74172,6.20952
-0.0507636,-2.74317,6.20888
-0.0580368,-2.74586,6.20775
-0.06155,-2.74732,6.20714
-0.0650706,-2.74879,6.20655
-0.0685975,-2.75028,6.20597
-0.0721345,-2.75179,6.20541
-0.0756767,-2.75331,6.20487
-0.0793025,-2.75484,6.20434
-0.0827824,-2.75634,6.20384
-0.0901914,-2.75904,6.20286
-0.0976325,-2.76172,6.2019
-0.101224,-2.76324,6.20146
-0.104823,-2.76476,6.20104
-0.112323,-2.76741,6.20015
-0.11985,-2.77003,6.19929
-0.123485,-2.77156,6.19895
-0.127129,-2.77309,6.19863
-0.130775,-2.77462,6.19832
-0.134429,-2.77615,6.19804
-0.138084,-2.77767,6.19778
-0.141746,-2.7792,6.19755
-0.145414,-2.78073,6.19733
-0.149088,-2.78225,6.19714
-0.156754,-2.78476,6.19648
-0.160449,-2.78628,6.19634
-0.164151,-2.7878,6.19622
-0.167863,-2.78931,6.19613
-0.171581,-2.79082,6.19606
-0.179333,-2.79321,6.19553
-0.183064,-2.79469,6.19552
-0.186999,-2.79592,6.19507
-0.190777,-2.79713,6.19465
-0.194721,-2.79836,6.19424
-0.198508,-2.79956,6.19387
-0.202461,-2.80079,6.1935
-0.21443,-2.80354,6.19218
-0.218327,-2.80473,6.19187
-0.226338,-2.80665,6.1911
-0.230252,-2.80782,6.19084
-0.234172,-2.80899,6.19061
-0.242312,-2.81085,6.1899
-0.246166,-2.812,6.18973
-0.250108,-2.81315,6.18957
-0.258213,-2.81492,6.18895
-0.262173,-2.81606,6.18885
-0.266222,-2.81721,6.18876
-0.274288,-2.81889,6.18823
-0.282459,-2.82053,6.18772
-0.286456,-2.82163,6.18774
-0.290457,-2.82272,6.18778
-0.294464,-2.8238,6.18785
-0.29856,-2.82488,6.18793
-0.302721,-2.82533,6.18706
-0.306968,-2.8258,6.18619
-0.311219,-2.82627,6.18534
-0.315556,-2.82675,6.1845
-0.319723,-2.82722,6.18369
-0.323866,-2.82808,6.18383
-0.332255,-2.8293,6.18351
-0.336411,-2.83013,6.18371
-0.340869,-2.83037,6.18295
-0.349405,-2.83089,6.18173
-0.353777,-2.83111,6.181
-0.358151,-2.83132,6.18029
-0.362543,-2.83149,6.17949
-0.366934,-2.83166,6.17871
-0.371409,-2.83183,6.17792
-0.375967,-2.83201,6.17714
-0.380288,-2.83162,6.17552
-0.384753,-2.83167,6.17489
-0.393488,-2.83196,6.17377
-0.39795,-2.83201,6.17316
-0.402505,-2.83176,6.17209
-0.407054,-2.83153,6.17103
-0.411599,-2.8313,6.16998
-0.420418,-2.83127,6.16842
-0.425032,-2.8308,6.16697
-0.42964,-2.83033,6.16553
-0.438532,-2.83008,6.16357
-0.443133,-2.82962,6.16212
-0.447726,-2.82917,6.16066
-0.452308,-2.82872,6.1592
-0.456885,-2.82828,6.15774
-0.461454,-2.82784,6.15629
-0.466018,-2.82741,6.15483
-0.470578,-2.82699,6.15337
-0.475131,-2.82657,6.1519
-0.483981,-2.82642,6.14993
-0.48861,-2.82603,6.14845
-0.49306,-2.82563,6.14698
-0.49768,-2.82525,6.14549
-0.506361,-2.82547,6.14435
-0.511009,-2.82476,6.14264
-0.515653,-2.82407,6.14091
-0.520289,-2.8234,6.13918
-0.524917,-2.82274,6.13744
-0.529536,-2.82209,6.1357
-0.53856,-2.82176,6.13342
-0.547407,-2.82141,6.13113
-0.552092,-2.8208,6.12932
-0.556599,-2.82019,6.12752
-0.561186,-2.8196,6.1257
-0.565793,-2.81895,6.12373
-0.570396,-2.81831,6.12175
-0.574994,-2.8177,6.11976
-0.583939,-2.81747,6.11725
-0.588531,-2.81688,6.11522
-0.593116,-2.8163,6.11318
-0.602149,-2.81616,6.11061
-0.606636,-2.8156,6.10854
-0.611202,-2.81505,6.10646
-0.620148,-2.81498,6.10384
-0.624707,-2.81446,6.10172
-0.629213,-2.81424,6.1003
-0.638121,-2.81454,6.09836
-0.642626,-2.81433,6.09691
-0.647128,-2.81413,6.09546
-0.656017,-2.81462,6.09396
-0.660485,-2.8146,6.09296
-0.664954,-2.81458,6.09196
-0.66942,-2.81456,6.09095
-0.673886,-2.81454,6.08994
-0.68279,-2.81499,6.08842
-0.68725,-2.81496,6.0874
-0.691707,-2.81491,6.08637
-0.696165,-2.81487,6.08534
-0.700617,-2.81483,6.08431
-0.709619,-2.81523,6.08275
-0.718449,-2.81559,6.0812
-0.727376,-2.81594,6.07963
-0.736311,-2.81626,6.07804
-0.74525,-2.81655,6.07645
-0.749689,-2.81643,6.07534
-0.754124,-2.8163,6.07424
-0.763068,-2.81655,6.07262
-0.7675,-2.81641,6.07149
-0.772026,-2.81629,6.07035
-0.776358,-2.81621,6.06941
-0.780783,-2.81615,6.06846
-0.789743,-2.81643,6.06699
-0.79417,-2.81634,6.06602
-0.798682,-2.81626,6.06503
-0.803011,-2.81615,6.06407
-0.807479,-2.81641,6.06391
-0.811766,-2.81663,6.06378
-0.816145,-2.81685,6.06364
-0.820612,-2.81706,6.06349
-0.824983,-2.81723,6.06336
-0.83383,-2.81762,6.06274
-0.838202,-2.81775,6.06261
-0.842662,-2.81787,6.06248
-0.851513,-2.81813,6.06186
-0.855881,-2.8182,6.06174
-0.860246,-2.81825,6.06163
-0.864608,-2.81828,6.06152
-0.868969,-2.8183,6.06141
-0.877997,-2.81835,6.0608
-0.882349,-2.81831,6.0607
-0.886605,-2.81825,6.06061
-0.89553,-2.81816,6.06001
-0.899872,-2.81804,6.05992
-0.904208,-2.81791,6.05984
-0.908632,-2.81776,6.05974
-0.912867,-2.8176,6.05968
-0.917191,-2.81741,6.0596
-0.921512,-2.81721,6.05953
-0.930506,-2.81683,6.05895
-0.934729,-2.8166,6.0589
-0.939038,-2.81634,6.05884
