ceres_cauchy_x,ceres_cauchy_y,ceres_cauchy_theta
-0.305998,-2.49897,6.10773
-0.308723,-2.50094,6.10727
-0.314272,-2.50487,6.10631
-0.317033,-2.50684,6.10586
-0.32265,-2.51075,6.1049
-0.32544,-2.51271,6.10444
-0.328244,-2.51467,6.10398
-0.331115,-2.51666,6.10351
-0.336784,-2.52049,6.10256
-0.33963,-2.52243,6.10209
-0.342487,-2.52436,6.10163
-0.345353,-2.52629,6.10117
-0.348234,-2.52822,6.10071
-0.354091,-2.53206,6.09981
-0.356998,-2.534,6.09942
-0.359917,-2.53594,6.09902
-0.365871,-2.53973,6.09811
-0.368826,-2.54163,6.09769
-0.371791,-2.54353,6.09728
-0.374832,-2.54547,6.09685
-0.377759,-2.54732,6.09645
-0.380762,-2.54921,6.09604
-0.383774,-2.5511,6.09563
-0.389906,-2.5548,6.09472
-0.39295,-2.55667,6.09431
-0.396004,-2.55852,6.0939
-0.40222,-2.56216,6.09299
-0.408481,-2.56576,6.09209
-0.411597,-2.56758,6.09168
-0.414725,-2.56939,6.09128
-0.417863,-2.5712,6.09088
-0.424238,-2.57472,6.08998
-0.427409,-2.5765,6.08958
-0.430593,-2.57826,6.08918
-0.433791,-2.58004,6.08878
-0.437005,-2.58181,6.08838
-0.44023,-2.58357,6.08798
-0.443532,-2.58535,6.08757
-0.446714,-2.58704,6.08719
-0.453292,-2.59043,6.08629
-0.459914,-2.59379,6.0854
-0.463215,-2.59548,6.08501
-0.466528,-2.59716,6.08462
-0.473232,-2.60045,6.08373
-0.479975,-2.6037,6.08285
-0.483341,-2.60535,6.08247
-0.486719,-2.60699,6.08208
-0.490104,-2.60862,6.0817
-0.493499,-2.61024,6.08132
-0.4969,-2.61185,6.08094
-0.500309,-2.61344,6.08056
-0.503728,-2.61503,6.08019
-0.507156,-2.6166,6.07981
-0.514087,-2.61968,6.07894
-0.517545,-2.62123,6.07857
-0.521012,-2.62278,6.0782
-0.524492,-2.62431,6.07783
-0.527981,-2.62583,6.07746
-0.535023,-2.62878,6.07659
-0.53853,-2.63027,6.07623
-0.542125,-2.63175,6.07581
-0.545588,-2.63316,6.07542
-0.5492,-2.63462,6.07501
-0.552678,-2.63601,6.07461
-0.556307,-2.63744,6.0742
-0.567045,-2.64153,6.07281
-0.570639,-2.64289,6.07241
-0.577898,-2.64558,6.07151
-0.581516,-2.64691,6.07111
-0.585145,-2.64823,6.07072
-0.592545,-2.65086,6.06981
-0.596125,-2.65213,6.06942
-0.599788,-2.65342,6.06903
-0.607185,-2.65594,6.06813
-0.610874,-2.65721,6.06774
-0.614649,-2.65849,6.06733
-0.622039,-2.66093,6.06645
-0.629536,-2.66335,6.06556
-0.633278,-2.66456,6.06517
-0.637028,-2.66576,6.06479
-0.640787,-2.66695,6.0644
-0.644629,-2.66815,6.064
-0.648331,-2.66928,6.06361
-0.652116,-2.67042,6.06321
-0.655912,-2.67155,6.0628
-0.659794,-2.67269,6.06239
-0.663526,-2.67377,6.062
-0.667341,-2.67488,6.06163
-0.675028,-2.67703,6.06076
-0.678867,-2.67811,6.0604
-0.682794,-2.67919,6.06
-0.690464,-2.68123,6.05913
-0.694333,-2.68225,6.05874
-0.698212,-2.68326,6.05836
-0.702108,-2.68422,6.05791
-0.706013,-2.68518,6.05747
-0.710001,-2.68613,6.05701
-0.714074,-2.6871,6.05654
-0.717762,-2.68794,6.05611
-0.721692,-2.68885,6.05567
-0.729587,-2.69065,6.05473
-0.733538,-2.69153,6.05429
-0.7375,-2.69238,6.05381
-0.741468,-2.69322,6.05333
-0.745443,-2.69405,6.05286
-0.753418,-2.6957,6.05188
-0.757413,-2.69647,6.05136
-0.761415,-2.69723,6.05083
-0.769448,-2.69877,6.04981
-0.773472,-2.6995,6.04928
-0.777498,-2.70021,6.04876
-0.781524,-2.70091,6.04823
-0.785555,-2.70159,6.04771
-0.789588,-2.70225,6.04718
-0.793626,-2.7029,6.04665
-0.79767,-2.70354,6.04612
-0.801717,-2.70417,6.04559
-0.809853,-2.70549,6.04456
-0.813999,-2.70611,6.04402
-0.817984,-2.70669,6.04349
-0.82214,-2.70729,6.04295
-0.830246,-2.70851,6.04195
-0.834336,-2.70906,6.04143
-0.838433,-2.70961,6.0409
-0.842535,-2.71015,6.04038
-0.84664,-2.71068,6.03985
-0.850748,-2.7112,6.03932
-0.859093,-2.71231,6.03828
-0.867291,-2.71334,6.03726
-0.871508,-2.71383,6.03671
-0.875563,-2.71429,6.03619
-0.879707,-2.71475,6.03565
-0.883864,-2.71516,6.03504
-0.888027,-2.71557,6.03444
-0.892195,-2.71597,6.03382
-0.900568,-2.71683,6.03271
-0.904754,-2.7172,6.0321
-0.908943,-2.71756,6.03148
-0.917439,-2.71835,6.03035
-0.921556,-2.71867,6.02974
-0.925756,-2.71897,6.02912
-0.934199,-2.71967,6.02799
-0.938413,-2.71995,6.02736
-0.94263,-2.72024,6.02677
-0.951111,-2.72088,6.02567
-0.955345,-2.72114,6.02508
-0.959583,-2.7214,6.02448
-0.968096,-2.72198,6.02343
-0.972343,-2.72223,6.02289
-0.976599,-2.72246,6.02234
-0.980857,-2.72269,6.02179
-0.985122,-2.72291,6.02125
-0.993685,-2.72337,6.0202
-0.997959,-2.72355,6.01964
-1.00223,-2.72372,6.01909
-1.00652,-2.72389,6.01854
-1.0108,-2.72403,6.01798
-1.01949,-2.72436,6.01692
-1.02802,-2.72463,6.01587
-1.03665,-2.72487,6.01481
-1.04529,-2.72506,6.01375
-1.05394,-2.72521,6.01268
-1.05825,-2.72522,6.01211
-1.06256,-2.72523,6.01155
-1.07123,-2.72528,6.01048
-1.07555,-2.72524,6.0099
-1.07997,-2.72521,6.00932
-1.08421,-2.72519,6.00884
-1.08854,-2.72517,6.00835
-1.09726,-2.72511,6.00736
-1.1016,-2.72505,6.00687
-1.10604,-2.72497,6.00637
-1.1103,-2.72488,6.00588
-1.11474,-2.72479,6.00541
-1.11901,-2.72469,6.00496
-1.12337,-2.72459,6.0045
-1.12782,-2.72447,6.00403
-1.13218,-2.72433,6.00357
-1.14086,-2.72404,6.00261
-1.14524,-2.72387,6.00215
-1.1497,-2.72368,6.00168
-1.15839,-2.7233,6.00072
-1.16278,-2.72308,6.00026
-1.16716,-2.72286,5.9998
-1.17155,-2.72262,5.99933
-1.17594,-2.72237,5.99887
-1.18484,-2.72182,5.99789
-1.18923,-2.72153,5.99743
-1.19353,-2.72123,5.99697
-1.20234,-2.72059,5.99601
-1.20674,-2.72024,5.99554
-1.21114,-2.71988,5.99508
-1.21562,-2.7195,5.9946
-1.21993,-2.71913,5.99414
-1.22433,-2.71873,5.99368
-1.22874,-2.71833,5.99321
-1.23766,-2.71748,5.99224
-1.24198,-2.71706,5.99178
-1.24639,-2.71662,5.99131
-1.25089,-2.71616,5.99084
-1.25522,-2.7157,5.99038
-1.26406,-2.71472,5.98942
-1.2729,-2.71369,5.98846
-1.27731,-2.71316,5.98799
-1.28615,-2.71204,5.98703
-1.29055,-2.71145,5.98656
-1.29937,-2.71023,5.9856
-1.3082,-2.70896,5.98463
-1.3126,-2.7083,5.98417
-1.317,-2.70763,5.9837
-1.32582,-2.70625,5.98272
-1.33022,-2.70552,5.98223
-1.33461,-2.70478,5.98175
-1.339,-2.70404,5.98126
-1.34339,-2.70327,5.98077
-1.35219,-2.70173,5.97979
-1.36099,-2.70014,5.9788
-1.36537,-2.69931,5.97831
-1.36975,-2.69847,5.97782
-1.37413,-2.69761,5.97732
-1.37851,-2.69674,5.97683
-1.38288,-2.69585,5.97634
-1.38725,-2.69495,5.97584
-1.39611,-2.69314,5.97487
-1.40039,-2.69224,5.97441
-1.40476,-2.6913,5.97395
-1.40922,-2.69034,5.97347
-1.4135,-2.6894,5.97301
-1.42226,-2.68744,5.97201
-1.42663,-2.68642,5.9715
-1.43099,-2.6854,5.97099
-1.43973,-2.68334,5.96997
-1.44408,-2.68226,5.96946
-1.44843,-2.68117,5.96894
-1.45277,-2.68007,5.96843
-1.4615,-2.67789,5.96741
-1.46593,-2.67675,5.96688
-1.47456,-2.67453,5.96587
-1.48326,-2.67224,5.96484
-1.4876,-2.67107,5.96432
-1.49193,-2.66988,5.96379
-1.49626,-2.66868,5.96327
-1.50058,-2.66746,5.96274
-1.5049,-2.66623,5.96221
-1.50921,-2.66499,5.96168
-1.51787,-2.66251,5.96065
-1.52216,-2.66122,5.96012
-1.53079,-2.65866,5.95908
-1.53508,-2.65734,5.95855
-1.54369,-2.6547,5.95751
-1.54796,-2.65334,5.95697
-1.55232,-2.65194,5.95641
-1.55659,-2.65057,5.95587
-1.56077,-2.64921,5.95533
-1.56503,-2.64781,5.95479
-1.56929,-2.6464,5.95424
-1.57784,-2.64355,5.95312
-1.58209,-2.64207,5.9525
-1.58633,-2.64059,5.95187
-1.59074,-2.63907,5.95131
-1.59481,-2.63765,5.95078
-1.59905,-2.63617,5.95024
-1.60329,-2.63468,5.94969
-1.60752,-2.63318,5.94914
-1.61183,-2.63163,5.94858
-1.61597,-2.63015,5.94806
-1.62019,-2.62862,5.94754
-1.62441,-2.62709,5.94701
-1.62863,-2.62554,5.94649
-1.63709,-2.62245,5.94546
-1.6413,-2.62084,5.94487
-1.64974,-2.61765,5.94378
-1.65393,-2.61601,5.94319
-1.65813,-2.61437,5.9426
-1.66232,-2.61271,5.94201
-1.66659,-2.61105,5.94148
-1.67491,-2.6078,5.94047
-1.67909,-2.60614,5.93996
-1.68746,-2.6028,5.93894
-1.69163,-2.6011,5.93842
-1.69587,-2.59935,5.93789
-1.70412,-2.59595,5.93688
-1.71243,-2.59247,5.93586
-1.71664,-2.59067,5.93533
-1.72069,-2.58893,5.93481
-1.72895,-2.58536,5.93379
-1.73306,-2.58354,5.93326
-1.73716,-2.58172,5.93274
-1.74538,-2.57807,5.93171
-1.74945,-2.5762,5.93118
-1.75763,-2.57247,5.93015
-1.76177,-2.57053,5.92961
-1.76992,-2.56675,5.92857
-1.77389,-2.56487,5.92805
-1.77793,-2.56291,5.92748
-1.78197,-2.56096,5.92691
-1.78608,-2.55895,5.92633
-1.79002,-2.557,5.92577
-1.79412,-2.55496,5.92518
-1.8021,-2.55104,5.92412
-1.80609,-2.54902,5.92354
-1.81009,-2.547,5.92301
-1.8181,-2.54297,5.92197
-1.82207,-2.54092,5.92144
-1.82605,-2.53886,5.9209
-1.83001,-2.53679,5.92037
-1.83397,-2.53471,5.91983
-1.83792,-2.53262,5.91929
-1.84187,-2.53051,5.91875
-1.85374,-2.52424,5.91721
-1.85766,-2.5221,5.91667
-1.86158,-2.51995,5.91613
-1.86548,-2.51778,5.91558
-1.86946,-2.51557,5.91503
-1.87327,-2.51343,5.91449
-1.87715,-2.51124,5.91394
-1.88111,-2.509,5.91339
-1.88881,-2.50467,5.91235
-1.89267,-2.50245,5.9118
-1.89653,-2.50023,5.91125
-1.90039,-2.498,5.9107
-1.90423,-2.49576,5.91015
-1.91192,-2.49128,5.9091
-1.91574,-2.489,5.90855
-1.91954,-2.48671,5.908
-1.92334,-2.48442,5.90744
-1.92721,-2.48207,5.90688
-1.93093,-2.47983,5.90642
-1.93479,-2.4775,5.90594
-1.93848,-2.47524,5.90548
-1.94225,-2.47292,5.90501
-1.94601,-2.47059,5.90454
-1.94984,-2.46822,5.90405
-1.95727,-2.46357,5.90309
-1.961,-2.46122,5.90262
-1.9648,-2.4588,5.90214
-1.96844,-2.45646,5.90168
-1.97215,-2.45409,5.90125
-1.97585,-2.4517,5.90081
-1.97954,-2.44929,5.90037
-1.98321,-2.44687,5.89993
-1.98688,-2.44444,5.8995
-1.99053,-2.44199,5.89906
-1.99418,-2.43954,5.89862
-2.00146,-2.43456,5.89762
-2.00508,-2.43205,5.89715
-2.00868,-2.42952,5.89667
-2.01227,-2.42699,5.8962
-2.01592,-2.42437,5.89566
-2.02303,-2.41934,5.8947
-2.02658,-2.41677,5.89423
-2.0302,-2.41414,5.89375
-2.04081,-2.40649,5.89229
-2.04432,-2.40387,5.89181
-2.04782,-2.40125,5.89134
-2.05132,-2.39863,5.89087
-2.0548,-2.39599,5.89037
-2.05828,-2.39334,5.88988
-2.06175,-2.39069,5.88938
-2.06528,-2.38798,5.88887
-2.06866,-2.38537,5.88839
-2.07209,-2.38269,5.88789
-2.07552,-2.38002,5.88739
-2.07894,-2.37733,5.88689
-2.08922,-2.36929,5.88539
-2.0926,-2.36658,5.88489
-2.09597,-2.36386,5.88439
-2.09934,-2.36113,5.88389
-2.10269,-2.3584,5.88339
-2.10603,-2.35565,5.88288
-2.11278,-2.35011,5.88187
-2.11936,-2.34464,5.88087
-2.12596,-2.33908,5.87987
-2.12923,-2.33628,5.87939
-2.13249,-2.33348,5.8789
-2.13902,-2.32788,5.87792
-2.14225,-2.32505,5.87744
-2.14547,-2.32222,5.87696
-2.14867,-2.31938,5.87647
-2.15186,-2.31653,5.87599
-2.15505,-2.31367,5.8755
-2.15822,-2.31081,5.87502
-2.16139,-2.30794,5.87453
-2.16462,-2.30501,5.87403
-2.17088,-2.29932,5.87306
-2.17407,-2.29638,5.87256
-2.17719,-2.29348,5.87207
-2.18023,-2.29064,5.87159
-2.18332,-2.28772,5.8711
-2.1895,-2.28189,5.87011
-2.19255,-2.27893,5.86959
-2.19558,-2.27598,5.86911
-2.19861,-2.27302,5.86862
-2.20169,-2.27,5.86812
-2.20767,-2.26411,5.86709
-2.21065,-2.26113,5.86664
-2.21404,-2.25773,5.86611
-2.21658,-2.25516,5.86573
-2.21953,-2.25215,5.86525
-2.22545,-2.24616,5.86427
-2.22836,-2.24314,5.86379
-2.23427,-2.23706,5.8628
-2.23709,-2.23408,5.86233
-2.24286,-2.22802,5.86134
-2.2457,-2.22497,5.86086
-2.24853,-2.22191,5.86037
-2.25422,-2.21581,5.85938
-2.25702,-2.21274,5.85889
-2.2598,-2.20966,5.8584
-2.26541,-2.20352,5.85741
-2.26815,-2.20043,5.85692
-2.27089,-2.19733,5.85642
-2.27362,-2.19422,5.85592
-2.27633,-2.19111,5.85543
-2.27902,-2.18798,5.85491
-2.28176,-2.18478,5.85439
-2.2871,-2.17861,5.85338
-2.29246,-2.17236,5.85235
-2.29777,-2.16609,5.85133
-2.30038,-2.16293,5.8508
-2.30296,-2.15976,5.85027
-2.30817,-2.15346,5.84924
-2.31072,-2.15028,5.84871
-2.31587,-2.14396,5.84767
-2.31839,-2.14077,5.84713
-2.32348,-2.13444,5.84609
-2.32596,-2.13123,5.84552
-2.32848,-2.12795,5.84493
-2.33346,-2.12159,5.84386
-2.33584,-2.11843,5.84329
-2.33826,-2.11521,5.84271
-2.34067,-2.112,5.84216
-2.34307,-2.10879,5.8416
-2.34547,-2.10559,5.84104
-2.34789,-2.10232,5.84047
-2.35021,-2.09917,5.83992
-2.35257,-2.09596,5.83936
-2.35491,-2.09275,5.83879
-2.35723,-2.08951,5.8382
-2.35954,-2.08628,5.83761
-2.36184,-2.08305,5.83702
-2.36415,-2.07982,5.83643
-2.36643,-2.07659,5.83583
-2.36871,-2.07336,5.83523
-2.37332,-2.06695,5.83413
-2.37556,-2.06371,5.83352
-2.3801,-2.0573,5.83241
-2.38231,-2.05407,5.8318
-2.38455,-2.05076,5.83118
-2.38897,-2.04442,5.83013
-2.39115,-2.04121,5.82957
-2.39333,-2.03802,5.82909
-2.39555,-2.03476,5.8286
-2.39768,-2.03164,5.82813
-2.40203,-2.02525,5.82714
-2.40417,-2.02207,5.82666
-2.40629,-2.01888,5.82617
-2.41057,-2.01248,5.82518
-2.41483,-2.00602,5.82419
-2.41687,-2.00289,5.82371
-2.41893,-1.99969,5.82322
-2.42098,-1.99649,5.82273
-2.42302,-1.99329,5.82224
-2.42505,-1.99008,5.82175
-2.42706,-1.98687,5.82126
-2.42905,-1.98366,5.82076
-2.43104,-1.98044,5.82027
-2.43503,-1.974,5.81927
-2.43703,-1.97072,5.81877
-2.43894,-1.96757,5.81828
-2.44283,-1.96112,5.81728
-2.44474,-1.95791,5.81678
-2.44665,-1.95469,5.81628
-2.45045,-1.94824,5.81528
-2.45232,-1.94503,5.81478
-2.45419,-1.94183,5.81431
-2.45791,-1.93539,5.81334
-2.45974,-1.93218,5.81287
-2.46156,-1.92897,5.8124
-2.46337,-1.92577,5.81193
-2.46517,-1.92256,5.81146
-2.46876,-1.91611,5.81049
-2.47229,-1.90966,5.80951
-2.47403,-1.90645,5.80904
-2.47576,-1.90324,5.80857
-2.4792,-1.89678,5.80759
-2.48091,-1.8935,5.80711
-2.48254,-1.89034,5.80664
-2.48756,-1.88064,5.80516
-2.48919,-1.87744,5.80471
-2.49081,-1.87423,5.80427
-2.49244,-1.87095,5.80381
-2.49561,-1.86456,5.80287
-2.49717,-1.86133,5.80241
-2.49871,-1.85811,5.80196
-2.5018,-1.85164,5.80101
-2.50484,-1.84518,5.80005
-2.50638,-1.84182,5.79957
-2.50778,-1.83871,5.79913
-2.50923,-1.83548,5.79867
-2.51066,-1.83224,5.79821
-2.51209,-1.82901,5.79775
-2.5135,-1.82578,5.79728
-2.51493,-1.82248,5.79681
-2.51632,-1.81925,5.79634
-2.51908,-1.81285,5.79537
-2.52042,-1.80962,5.7949
-2.52176,-1.80639,5.79443
-2.52446,-1.79994,5.79345
-2.52576,-1.79671,5.79297
-2.52705,-1.79348,5.79249
-2.52833,-1.79026,5.792
-2.52959,-1.78704,5.79152
-2.53085,-1.78382,5.79103
-2.53209,-1.78061,5.79054
-2.53332,-1.77739,5.79005
-2.53454,-1.77418,5.78955
-2.53574,-1.77097,5.78906
-2.53696,-1.7677,5.78855
-2.53814,-1.76457,5.78806
-2.53933,-1.76138,5.78756
-2.54172,-1.755,5.78655
-2.54287,-1.75181,5.78605
-2.544,-1.74862,5.78554
-2.54511,-1.74544,5.78503
-2.54624,-1.74219,5.7845
-2.54731,-1.73908,5.784
-2.54839,-1.7359,5.78349
-2.54946,-1.73266,5.78296
-2.55049,-1.72955,5.78245
-2.55153,-1.72639,5.78193
-2.55256,-1.72322,5.7814
-2.55359,-1.72,5.78087
-2.55457,-1.7169,5.78035
-2.55555,-1.71374,5.77982
-2.55654,-1.71062,5.77937
-2.55855,-1.70436,5.7784
-2.55949,-1.70122,5.77792
-2.56042,-1.69809,5.77745
-2.56133,-1.69496,5.77697
-2.56226,-1.69178,5.77648
-2.56314,-1.68872,5.776
-2.56402,-1.68561,5.77552
-2.5649,-1.68251,5.77507
-2.5667,-1.67631,5.77409
-2.56754,-1.67322,5.7736
-2.56838,-1.67006,5.77311
-2.56918,-1.66703,5.77264
-2.56999,-1.66395,5.77215
-2.57079,-1.66087,5.77166
-2.57157,-1.6578,5.77117
-2.57234,-1.65472,5.77068
-2.5731,-1.65166,5.77018
-2.57385,-1.6486,5.76969
-2.57542,-1.64251,5.76869
-2.57615,-1.63947,5.76819
-2.57685,-1.63644,5.76768
-2.57756,-1.63342,5.76718
-2.57825,-1.63039,5.76666
-2.57969,-1.62435,5.76563
-2.58036,-1.62134,5.7651
-2.58103,-1.61836,5.76465
-2.58243,-1.6124,5.7637
-2.5831,-1.60939,5.76324
-2.58373,-1.6065,5.76279
-2.58506,-1.60058,5.76184
-2.58568,-1.59765,5.76139
-2.58694,-1.59176,5.76044
-2.58753,-1.58884,5.75998
-2.58811,-1.58592,5.75953
-2.58868,-1.583,5.75907
-2.58985,-1.5771,5.75811
-2.59097,-1.57129,5.75715
-2.59148,-1.56846,5.75671
-2.592,-1.56558,5.75625
-2.59305,-1.55981,5.7553
-2.59406,-1.55406,5.75434
-2.59453,-1.55121,5.75389
-2.59499,-1.54836,5.75343
-2.59593,-1.54259,5.75247
-2.59636,-1.53982,5.75203
-2.59678,-1.537,5.75157
-2.59719,-1.53419,5.75112
-2.59803,-1.52848,5.75015
-2.59841,-1.52574,5.74971
-2.59879,-1.52296,5.74925
-2.59916,-1.52018,5.7488
-2.59992,-1.5146,5.74784
-2.60026,-1.51184,5.74739
-2.6006,-1.50902,5.74693
-2.60127,-1.50354,5.74598
-2.60156,-1.5008,5.74553
-2.60185,-1.49806,5.74508
-2.60215,-1.49535,5.74471
-2.60245,-1.49259,5.74433
-2.60302,-1.4872,5.74348
-2.60329,-1.48451,5.74311
-2.60355,-1.48184,5.74274
-2.60408,-1.47644,5.74188
-2.60456,-1.47106,5.74102
-2.60478,-1.4684,5.74064
-2.605,-1.4657,5.74026
-2.60519,-1.4631,5.73987
-2.60539,-1.46045,5.73948
-2.60576,-1.45512,5.73859
-2.60593,-1.4525,5.73824
-2.6061,-1.44989,5.73788
-2.60626,-1.44728,5.73753
-2.60641,-1.44468,5.73718
-2.60667,-1.43944,5.73632
-2.60678,-1.43684,5.73596
-2.60688,-1.43425,5.73559
-2.60707,-1.42905,5.73473
-2.60715,-1.42648,5.73437
-2.60727,-1.42124,5.73343
-2.60731,-1.41866,5.73301
-2.60736,-1.4135,5.73209
-2.6074,-1.40843,5.73118
-2.60738,-1.40587,5.73074
-2.60736,-1.40333,5.7303
-2.60732,-1.39824,5.72935
-2.60726,-1.39571,5.72889
-2.60719,-1.39319,5.72843
-2.60712,-1.39069,5.72797
-2.60705,-1.38819,5.72751
-2.60692,-1.38321,5.72655
-2.60683,-1.38074,5.72609
-2.60674,-1.37828,5.72563
-2.60657,-1.37339,5.72467
-2.60637,-1.36852,5.72371
-2.60625,-1.3661,5.72326
-2.60613,-1.3637,5.7228
